Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao fold it?,Yes,20.0,0,-0.9698947668075562,-1.9872177839279175,0.5118416868723357,-0.6370174397642796,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
2,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao pour it?,No,20.0,0,-2.599555015563965,-0.4337559640407562,-1.117818561884073,0.9164443801228817,-1.4817364536798918,-1.3502003441636379,No,True,False,True
3,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao fold it?,No,20.0,0,-3.498626947402954,-0.32308682799339294,-2.0168904937230625,1.027113516170245,-1.4817364536798918,-1.3502003441636379,No,True,False,True
4,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao pour it?,Yes,20.0,0,-1.1042944192886353,-1.739007592201233,0.37744203439125656,-0.38880724803759503,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
5,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao fold it?,Yes,20.0,0,-1.1443299055099487,-1.7055771350860596,0.3374065481699431,-0.3553767909224217,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
6,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao pour it?,No,20.0,0,-1.7219632863998413,-0.7689127922058105,-0.2402268327199495,0.5812875519578273,-1.4817364536798918,-1.3502003441636379,No,True,False,True
7,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao fold it?,No,20.0,0,-2.610839366912842,-0.5242568850517273,-1.12910291323295,0.8259434591119106,-1.4817364536798918,-1.3502003441636379,No,True,False,True
8,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao pour it?,Yes,20.0,0,-1.4880799055099487,-1.0772455930709839,-0.006343451830056912,0.272954751092654,-1.4817364536798918,-1.3502003441636379,No,False,False,False
10,3,material-dynamics,3,material,1,Chao sees something that is fabric.,Can Chao stir it?,No,20.0,0,-1.876858115196228,-0.6827335953712463,-0.3951216615163362,0.6674667487923915,-1.4817364536798918,-1.3502003441636379,No,True,False,True
12,3,material-dynamics,3,material,2,Chao sees something that is liquid.,Can Chao stir it?,Yes,20.0,0,-1.214483380317688,-1.3157132863998413,0.26725307336220383,0.03448705776379657,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
16,4,material-dynamics,4,material,2,Chao sees the water.,Can Chao stir it?,Yes,20.0,0,-1.5331361293792725,-1.0494158267974854,-0.05139967569938064,0.3007845173661525,-1.4817364536798918,-1.3502003441636379,No,False,False,False
20,5,material-dynamics,5,material,2,Chao sees something that is gas.,Can Chao stir it?,Yes,20.0,0,-2.2229294776916504,-0.5435396432876587,-0.7411930240117586,0.8066607008759792,-1.4817364536798918,-1.3502003441636379,No,False,False,False
24,6,material-dynamics,6,material,2,Chao sees the oxygen.,Can Chao stir it?,Yes,20.0,0,-1.5405123233795166,-0.9065715670585632,-0.05877586969962478,0.44362877710507465,-1.4817364536798918,-1.3502003441636379,No,False,False,False
25,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it break?,Yes,20.0,0,-0.8542944192886353,-2.471963405609131,0.6274420343912566,-1.121763061445493,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
26,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it ripple?,No,20.0,0,-2.7095541954040527,-0.46448343992233276,-1.227817741724161,0.8857169042413051,-1.4817364536798918,-1.3502003441636379,No,True,False,True
27,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it break?,No,20.0,0,-0.8802911639213562,-1.899458646774292,0.6014452897585356,-0.5492583026106541,-1.4817364536798918,-1.3502003441636379,Yes,False,True,False
28,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it ripple?,Yes,20.0,0,-0.7654135227203369,-2.754528522491455,0.7163229309595549,-1.4043281783278172,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
31,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it break?,No,20.0,0,-1.1349912881851196,-1.1118271350860596,0.3467451654947722,0.2383732090775783,-1.4817364536798918,-1.3502003441636379,No,True,True,False
32,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it ripple?,Yes,20.0,0,-0.6537998914718628,-3.067028522491455,0.827936562208029,-1.7168281783278172,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
33,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it break?,Yes,20.0,0,-0.7032188177108765,-2.8079726696014404,0.7785176359690154,-1.4577723254378026,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
34,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it ripple?,No,20.0,0,-0.647953450679779,-3.5394959449768066,0.8337830030001128,-2.1892956008131685,-1.4817364536798918,-1.3502003441636379,Yes,False,True,False
37,10,material-dynamics,10,material,1,Chao sees the feather.,Can it break?,Yes,20.0,0,-1.4996109008789062,-1.2707966566085815,-0.01787444719901443,0.07940368755505633,-1.4817364536798918,-1.3502003441636379,No,False,False,False
38,10,material-dynamics,10,material,1,Chao sees the feather.,Can it ripple?,No,20.0,0,-1.525638222694397,-0.8821485638618469,-0.043901769014505154,0.46805178030179095,-1.4817364536798918,-1.3502003441636379,No,True,False,True
40,10,material-dynamics,10,material,2,Chao sees the denim.,Can it ripple?,Yes,20.0,0,-0.9607744216918945,-2.0749082565307617,0.5209620319879973,-0.7247079123671238,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
47,12,material-dynamics,12,material,2,Chao sees the water.,Can it break?,No,20.0,0,-1.3326661586761475,-1.2292944192886353,0.14907029500374436,0.12090592487500262,-1.4817364536798918,-1.3502003441636379,No,True,True,False
48,12,material-dynamics,12,material,2,Chao sees the water.,Can it ripple?,Yes,20.0,0,-0.8887854814529419,-2.482492446899414,0.5929509722269499,-1.1322921027357762,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
50,13,material-dynamics,13,material,1,Chao sees something that is fabric.,Can it disperse?,No,20.0,0,-0.938999593257904,-1.3658041954040527,0.5427368604219878,-0.015603851240414857,-1.4817364536798918,-1.3502003441636379,Yes,False,True,False
52,13,material-dynamics,13,material,2,Chao sees something that is gas.,Can it disperse?,Yes,20.0,0,-0.6765075325965881,-3.1470541954040527,0.8052289210833037,-1.7968538512404149,-1.4817364536798918,-1.3502003441636379,Yes,True,True,True
53,14,material-dynamics,14,material,1,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,20.0,1,-2.2475411891937256,-0.528791069984436,-0.7541082214850645,0.8745849321667964,-1.493432967708661,-1.4033760021512325,No,False,False,False
57,15,material-dynamics,15,material,1,Chao sees the cup.,Can Chao squeeze it?,Yes,20.0,1,-1.6730402708053589,-1.1326178312301636,-0.1796073030966978,0.2707581709210689,-1.493432967708661,-1.4033760021512325,No,False,False,False
58,15,material-dynamics,15,material,1,Chao sees the cup.,Can Chao pour it?,No,20.0,1,-1.4508638381958008,-1.2334955930709839,0.04256912951286029,0.1698804090802486,-1.493432967708661,-1.4033760021512325,No,True,False,True
59,15,material-dynamics,15,material,2,Chao sees the water.,Can Chao squeeze it?,No,20.0,1,-2.1439127922058105,-0.6272909641265869,-0.6504798244971495,0.7760850380246456,-1.493432967708661,-1.4033760021512325,No,True,False,True
61,16,material-dynamics,16,material,1,Chao sees something that is non-rigid.,Can Chao compresse it?,Yes,20.0,1,-0.8866426944732666,-1.993208646774292,0.6067902732353945,-0.5898326446230595,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
64,16,material-dynamics,16,material,2,Chao sees something that is granular.,Can Chao pour it?,Yes,20.0,1,-1.1840546131134033,-1.150607705116272,0.30937835459525775,0.2527682970349605,-1.493432967708661,-1.4033760021512325,No,False,True,True
65,17,material-dynamics,17,material,1,Chao sees the feather.,Can Chao compresse it?,Yes,20.0,1,-1.561039686203003,-1.054748773574829,-0.06760671849434186,0.3486272285764034,-1.493432967708661,-1.4033760021512325,No,False,False,False
66,17,material-dynamics,17,material,1,Chao sees the feather.,Can Chao pour it?,No,20.0,1,-2.0092623233795166,-0.6457639336585999,-0.5158293556708555,0.7576120684926326,-1.493432967708661,-1.4033760021512325,No,True,False,True
68,17,material-dynamics,17,material,2,Chao sees the sesame.,Can Chao pour it?,Yes,20.0,1,-1.4720271825790405,-1.2292944192886353,0.021405785129620547,0.17408158286259723,-1.493432967708661,-1.4033760021512325,No,False,False,False
77,20,material-dynamics,20,material,1,Chao sees something that is non-rigid.,Can Chao squeeze it?,Yes,20.0,1,-0.8376652002334595,-2.189901828765869,0.6557677674752016,-0.7865258266146367,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
81,21,material-dynamics,21,material,1,Chao sees the feather.,Can Chao squeeze it?,Yes,20.0,1,-1.5791682004928589,-1.0198044776916504,-0.08573523278419781,0.3835715244595821,-1.493432967708661,-1.4033760021512325,No,False,False,False
86,22,material-dynamics,22,material,1,Chao sees something that is granular.,Can Chao rip it?,No,20.0,1,-1.3478496074676514,-0.9732785820960999,0.1455833602410097,0.43009742005513263,-1.493432967708661,-1.4033760021512325,No,True,False,True
88,22,material-dynamics,22,material,2,Chao sees something that is fabric.,Can Chao rip it?,Yes,20.0,1,-1.1130799055099487,-1.835790753364563,0.38035306219871234,-0.4324147512133305,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
90,23,material-dynamics,23,material,1,Chao sees the sesame.,Can Chao rip it?,No,20.0,1,-1.4295244216918945,-1.2460142374038696,0.06390854601676654,0.15736176474736285,-1.493432967708661,-1.4033760021512325,No,True,False,True
92,23,material-dynamics,23,material,2,Chao sees the denim.,Can Chao rip it?,Yes,20.0,1,-1.2183609008789062,-1.6233057975769043,0.2750720668297548,-0.21992979542567181,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
96,24,material-dynamics,24,material,2,Chao sees something that is fabric.,Can Chao compresse it?,Yes,20.0,1,-1.0845541954040527,-1.530273199081421,0.40887877230460834,-0.12689719693018842,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
100,25,material-dynamics,25,material,2,Chao sees the denim.,Can Chao compresse it?,Yes,20.0,1,-1.284687876701355,-1.4287960529327393,0.2087450910073061,-0.025420050781506776,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
102,26,material-dynamics,26,material,1,Chao sees something that is granular.,Can Chao wrinkle it?,No,20.0,1,-1.3219125270843506,-1.0458000898361206,0.1715204406243105,0.3575759123151119,-1.493432967708661,-1.4033760021512325,No,True,False,True
104,26,material-dynamics,26,material,2,Chao sees something that is fabric.,Can Chao wrinkle it?,Yes,20.0,1,-0.9868271350860596,-2.1320438385009766,0.5066058326226015,-0.7286678363497441,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
106,27,material-dynamics,27,material,1,Chao sees the sesame.,Can Chao wrinkle it?,No,20.0,1,-1.6007939577102661,-1.092773199081421,-0.10736099000160504,0.3106028030698116,-1.493432967708661,-1.4033760021512325,No,True,False,True
108,27,material-dynamics,27,material,2,Chao sees the denim.,Can Chao wrinkle it?,Yes,20.0,1,-1.107492446899414,-1.8970541954040527,0.385940520809247,-0.49367819325282025,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
112,28,material-dynamics,28,material,2,Chao sees something that is fabric.,Can Chao drape it?,Yes,20.0,1,-1.0099912881851196,-2.265718936920166,0.48344167952354145,-0.8623429347689335,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
114,29,material-dynamics,29,material,1,Chao sees the sesame.,Can Chao drape it?,No,20.0,1,-1.6057660579681396,-1.019837737083435,-0.11233309025947857,0.3835382650677974,-1.493432967708661,-1.4033760021512325,No,True,False,True
116,29,material-dynamics,29,material,2,Chao sees the denim.,Can Chao drape it?,Yes,20.0,1,-1.1936835050582886,-1.9457459449768066,0.2997494626503725,-0.5423699428255742,-1.493432967708661,-1.4033760021512325,Yes,True,True,True
