question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,(A) 18 gauge.,(B) 20 gauge.,(C) 22 gauge.,(D) 24 gauge.,A,A,True,20.0,0,-1.0751922130584717,-1.4073244333267212,-1.2399580478668213,-2.4310483932495117,0.5367247518706357,0.7365742128652832,0.7972459114112316,0.011365642039371515,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,C,True,False
"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?",(A) 30 minutes.,(B) 90 minutes.,(C) 4 hours.,(D) 12 hours.,A,C,False,20.0,0,-1.231791615486145,-1.6495306491851807,-1.0198757648468018,-2.0880370140075684,0.3801253494429624,0.49436799700682377,1.017328194431251,0.3543770212813149,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,C,C,False,False
Which of the following is true about rectal bleeding?,(A) A painful digital examination suggests an anal fissure,(B) Bright red blood on the finger usually signifies a caecal lesion,(C) Proctoscopy is of no value in the assessment of rectal bleeding,(D) Rectal cancer is the commonest cause of rectal bleeding,A,D,False,20.0,0,-1.7911851406097412,-2.3333122730255127,-3.267670154571533,-0.386189341545105,-0.1792681756806338,-0.18941362683350826,-1.2304661952934803,2.0562246937437783,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,D,D,False,False
Wound drainage should be assessed for volume and consistency:,(A) each time post-operative observations are undertaken.,(B) daily.,(C) every hour.,(D) only when the wound dressing is changed.,A,A,True,20.0,0,-0.7179811596870422,-1.6547678709030151,-2.3678791522979736,-1.5945801734924316,0.8939358052420652,0.4891307752889893,-0.33067519301992077,0.8478338617964516,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,A,True,True
A change in blood pressure is detected by the:,(A) baroreceptors.,(B) chemoreceptors.,(C) vasomotor centre.,(D) cardiovascular centre.,A,A,True,20.0,0,-0.18367068469524384,-3.3790359497070312,-3.075031042098999,-2.8933258056640625,1.4282462802338636,-1.2351373035150268,-1.0378270828209462,-0.45091177037517927,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,A,True,True
When you are taking a musculoskeletal history which of the following is true?,(A) Drugs may be implicated in the causation of gout,(B) A history of diarrhoea is not relevant,(C) Difficulty rising from a chair is diagnostic of polymyalgic rheumatica,(D) Joint stiffness of 5 minutes duration suggests an arthropathy,A,D,False,20.0,0,-1.4380803108215332,-2.234795093536377,-1.8711297512054443,-0.751884400844574,0.1738366541075742,-0.09089644734437252,0.16607420807260853,1.6905296344443093,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,D,D,False,False
Which of these combinations of clinical features is most suggestive of mixed mitral valve disease with a predominance of mitral regurgitation?,(A) Displaced apex beat; soft first heart sound; pan-systolic murmur; short mid-diastolic murmur,"(B) Irregularly, irregular pulse; displaced apex beat; ejection systolic murmur; short mid-diastolic murmur",(C) Displaced apex beat; normal first heart sound; pan-systolic murmur; long mid-diastolic murmur,(D) Tapping apex beat; loud first heart sound; pan-systolic murmur; long mid-diastolic murmur,A,A,True,20.0,0,-0.7954851984977722,-1.4937270879745483,-1.7125921249389648,-2.6342718601226807,0.8164317664313352,0.6501715582174561,0.324611834339088,-0.19185782483379743,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,A,True,True
Which of the following nucleotide bases is not found in RNA?,(A) Thymine,(B) Adenine,(C) Uracil,(D) Guanine,A,A,True,20.0,0,-0.24000917375087738,-3.3471198081970215,-2.3345844745635986,-2.9520785808563232,1.37190779117823,-1.203221162005017,-0.29738051528554577,-0.50966454556744,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,A,True,True
An action potential arriving at the motor endplate causes release of:,(A) acetylcholine which traverses the neuromuscular junction.,(B) sodium ions which binds to sodium receptors on the muscle membrane.,(C) calcium ions which initiate an action potential along the muscle fibre.,(D) noradrenaline which increases muscle metabolic activity.,A,A,True,20.0,0,-0.11778604984283447,-3.5958523750305176,-3.0501186847686768,-4.015448093414307,1.494130915086273,-1.4519537288385131,-1.012914725490624,-1.5730340581254234,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,A,True,True
Name the bones of the middle finger in the correct order from the hand.,"(A) Proximal phalynx, middle phalynx, distal phalynx.","(B) Distal phalynx, middle phalynx, proximal phalynx.","(C) Middle phalynx, distal phalynx, proximal phalynx.","(D) Distal phalynx, proximal phalynx, middle phalynx.",A,A,True,20.0,0,-0.9776447415351868,-1.552908182144165,-1.6855107545852661,-1.6368787288665771,0.6342722233939206,0.5909904640478394,0.35169320469278675,0.8055353064223061,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,D,True,False
Which of the following is true about the carpal tunnel syndrome?,(A) It can be caused by rheumatoid arthritis,(B) It is caused by compression of the ulna nerve,(C) It causes pain and tingling in the medial three and half digits,(D) Paraesthesia is worse during the day,A,C,False,20.0,0,-2.7648823261260986,-3.7135531902313232,-0.1838437169790268,-3.061901092529297,-1.1529653611969912,-1.5696545440393188,1.853360242299026,-0.6194870572404136,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,C,C,False,False
Codons are composed of:,(A) triplet sequences of nucleotide bases in mRNA or DNA .,(B) quadruplet sequences of nucleotide bases in mRNA or DNA.,(C) triplet sequences of amino acids in polypeptide chains.,(D) triplet sequences of deoxyribose sugars in DNA.,A,A,True,20.0,0,-0.043571535497903824,-5.005551815032959,-4.280722618103027,-5.679651260375977,1.5683454294312036,-2.8616531688409546,-2.2435186588249745,-3.2372372250870933,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,A,True,True
Your first action following confirmation of cardiac arrest is to:,(A) ensure the emergency team/services are called.,(B) give two rescue breaths.,(C) give 30 chest compressions.,(D) check the notes to see if the patient has a DNAR order.,A,A,True,20.0,0,-0.17156124114990234,-3.971585512161255,-3.43757963180542,-2.648909091949463,1.440355723779205,-1.8276868659692505,-1.400375672527367,-0.20649505666057966,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,A,True,True
What type of covalent bonds link the amino acids in a protein?,(A) Peptide bonds,(B) Hydrogen bonds,(C) Ionic bonds,(D) Glycosidic bonds,A,A,True,20.0,0,-0.0289341788738966,-5.169053077697754,-4.891246318817139,-5.686624526977539,1.5829827860552108,-3.0251544315057495,-2.854042359539086,-3.244210491688656,-1.6119169649291074,-2.1438986461920044,-2.037203959278053,-2.4424140352888832,A,A,True,True
Performance enhancing synthetic steroids are based on the structure of the hormone:,(A) testosterone.,(B) cortisol.,(C) progesterone.,(D) aldosterone.,A,A,True,20.0,1,-0.05789463594555855,-4.085063457489014,-4.30513334274292,-4.887813091278076,1.5282682748622305,-1.9558864985814406,-2.2063172401505566,-2.400039898963379,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,A,True,True
An allele that is masked is referred to as:,(A) recessive.,(B) redundant.,(C) repressed.,(D) reclusive.,A,C,False,20.0,1,-1.3742992877960205,-2.730736255645752,-0.48506951332092285,-3.0534701347351074,0.21186362301176853,-0.6015592967381789,1.6137465892714404,-0.5656969424204101,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,C,C,False,False
Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?,(A) More prominent in expiration,(B) Alters with coughing,(C) No pain over the area,(D) Clubbing,A,A,True,20.0,1,-1.0190621614456177,-1.6528234481811523,-1.3324558734893799,-2.0594067573547363,0.5671007493621714,0.47635351072642074,0.7663602291029834,0.42836643495996096,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,C,True,False
"If a transfusion reaction is suspected, you should:","(A) turn off the transfusion, inform medical staff immediately, and follow transfusion policy advice on dealing with acute transfusion reactions.",(B) leave the transfusion running and contact the medical staff immediately.,(C) disconnect and dispose of the blood bag immediately.,(D) leave the transfusion running and record a set of observations on the patient.,A,A,True,20.0,1,-0.1956963986158371,-3.1637930870056152,-2.5325493812561035,-3.4153027534484863,1.390466512191952,-1.0346161280980422,-0.43373327866374023,-0.927529561133789,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,A,True,True
Complete the following: A variation of serial peak flow readings over a two week period are considered diagnostic in . . .,(A) . . . asthma.,(B) . . . COPD.,(C) . . . pneumonia.,(D) . . . tuberculosis.,A,A,True,20.0,1,-0.6964133381843567,-1.140095829963684,-2.5946121215820312,-2.904681921005249,0.8897495726234323,0.989081128943889,-0.49579601898966796,-0.41690872869055173,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,B,True,False
Which of the following tools is the first choice for cleaning the mouth?,"(A) Small, soft toothbrush.",(B) Gloved finger wrapped in gauze.,(C) Forceps wrapped in gauze.,(D) Foam stick.,A,A,True,20.0,1,-0.10967236757278442,-3.354644775390625,-3.4357423782348633,-3.977954387664795,1.4764905432350046,-1.225467816483052,-1.3369262756425,-1.4901811953500976,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,A,True,True
Which products of ADP degradation increase in concentration in the blood during multiple sprint sports?,"(A) Ammonia, hypoxanthine and uric acid.","(B) Ammonia, urea and uric acid.","(C) Ammonia, urea and creatinine.","(D) Ammonia, urea and creatine.",A,A,True,20.0,1,-0.7086060047149658,-1.6960501670837402,-1.7079904079437256,-2.189554452896118,0.8775569060928232,0.43312679182383285,0.3908256946486377,0.2982187394185791,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,A,True,True
"Which potential complication of IV therapy is described thus: 'Leakage of vesicant (irritant) medication or fluid into surrounding tissues, causing tissue damage'?",(A) Extravasation.,(B) Phlebitis.,(C) Inflammation.,(D) Infiltration.,A,A,True,20.0,1,-0.028041960671544075,-5.001489639282227,-5.101629734039307,-5.321228504180908,1.558120950136245,-2.8723126803746535,-3.0028136314469434,-2.833455311866211,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,A,True,True
A hypertonic solution is:,(A) a solution that has a higher concentration of solutes than the normal human cell.,(B) a solution that blocks off enteral tubes easily.,(C) a solution that has a lower concentration of solutes than the normal human cell.,(D) a solution with a high fibre content.,A,A,True,20.0,1,-0.44411754608154297,-3.252291202545166,-1.3100918531417847,-4.0281147956848145,1.142045364726246,-1.123114243637593,0.7887242494505786,-1.5403416033701172,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,A,True,True
Why should the short-acting bronchodilator be taken first?,"(A) It works to dilate the airways quickly, allowing better deposition of other medications.",(B) They are colour-coded.,(C) It is warmer than the others.,(D) It is less moist than the others.,A,A,True,20.0,1,-0.04614488407969475,-4.173040390014648,-4.809383392333984,-4.855518341064453,1.5400180267280943,-2.0438634311070754,-2.710567289741621,-2.367745148749756,-1.586162910807789,-2.129176958907573,-2.0988161025923633,-2.4877731923146973,A,A,True,True
