question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Dr. Delbert Dinwoody is currently treating a 35-year-old client who has received a diagnosis of Alcohol Dependence. With the client's permission, Dr. Dinwoody invites the client's wife to participate in couple therapy. Inviting the wife to participate in therapy is:",(A) acceptable as long as he believes couple therapy will benefit the client's progress in dealing with his alcohol problem.,(B) acceptable as long as the wife is not receiving mental health services from another professional.,"(C) ""unacceptable because in this situation, the wife is “vulnerable to undue inﬂuence.""""""","(D) ""unacceptable because doing so creates a """"conﬂict of interest.”""",A,A,True,20.0,0,-1.1014258861541748,-1.851417064666748,-1.6010857820510864,-1.3513637781143188,1.2721192847768013,0.9144743543866118,0.9836751500854852,0.5773515707879053,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,A,A,True,True
"At the termination of an extensive training program, management may expect to find chat","(A) most trainees have improved, but relative standing is generally maintained",(B) primarily low-ability trainees have improved in performance,(C) primarily high-ability trainees have improved in performance,(D) all trainees are at the same performance level,A,C,False,20.0,0,-1.648134469985962,-2.906144618988037,-0.5273171663284302,-2.0310122966766357,0.7254107009450141,-0.14025319993467722,2.0574437658081415,-0.10229694777441156,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,C,C,False,False
"The reticular formation and reticular activating system are associated with all of the following functions, EXCEPT:",(A) Decussation of auditory stimuli,(B) Alertness,(C) Consciousness,(D) Pain,A,A,True,20.0,0,-0.7147998809814453,-3.968575954437256,-3.218677520751953,-0.8397386074066162,1.6587452899495307,-1.202684535383896,-0.6339165886153815,1.088976741495608,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,A,A,True,True
The vocalizations of deaf and normal children differ in that,"(A) during the second half of the first year, normal children increase the variety of sound, whereas deaf children do now","(B) deaf children vocalize more than normal children during the first 6 months, then less thereafter","(C) normal children babble extensively, whereas deaf infants do not","(D) during the first 6 months, normal children increase their range of sound output more than deaf children do",A,D,False,20.0,0,-2.0621848106384277,-1.93730890750885,-2.812425136566162,-0.43739771842956543,0.3113603602925483,0.8285825115445098,-0.22766420442959046,1.4913176304726588,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,D,D,False,False
"Studies of persons in their 70s, 80s, and 90s indicate thar intellectual functioning is most closely related to",(A) social support,(B) life experience,(C) chronological age,(D) health status,A,C,False,20.0,0,-3.4059250354766846,-2.0312001705169678,-0.40610575675964355,-1.9059804677963257,-1.0323798645457085,0.7346912485363921,2.178655175376928,0.022734881105898497,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,C,C,False,False
An organizational psychologist would most likely recommend the use of vestibule training for which of the following jobs?,(A) airline pilot,(B) word processor,(C) salesperson.,(D) clinical psychologist.,A,C,False,20.0,0,-1.2025270462036133,-3.952488660812378,-0.9530333280563354,-1.3275270462036133,1.1710181247273628,-1.186597241759018,1.6317276040802362,0.6011883026986109,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,C,C,False,False
"In learned helplessness research, it was found that giving solvable problems eliminated the helplessness caused by unsolvable problems. It is argued thar this is due to",(A) a change in attribution with the realization that one can sometimes succeed,(B) the shift in locus of control from internal to external,(C) a practice effect,(D) the application of a partial reinforcement schedule,A,A,True,20.0,0,-0.3337002098560333,-2.45285964012146,-2.8279917240142822,-2.3278050422668457,2.0398449610749427,0.31303177893189993,-0.24323079187771057,-0.3990896933646215,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,A,A,True,True
Dr. Marcos Manzetti uses a “sliding scale” that is based on a client’s current income to set his fees for therapy. Dr. Manzetti’s practice is:,(A) ethically acceptable since it serves the best interests of his clients.,(B) explicitly recommended in the ethical guidelines.,(C) ethically unacceptable since it treats clients inequitably.,(D) explicitly prohibited in the ethical guidelines.,A,A,True,20.0,0,-0.812437891960144,-2.8124098777770996,-1.062351107597351,-2.187433958053589,1.561107278970832,-0.04651845872373972,1.5224098245392206,-0.2587186091513647,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,A,A,True,True
"When using multiple regression, multicollinearity occurs when:",(A) the predictors are highly correlated with one another.,(B) the criterion measures are highly correlated with one another.,(C) there is a low correlation between the predictors and the criterion.,(D) there is a high (significant) correlation between the predictors and the criterion.,A,A,True,20.0,0,-0.10628975927829742,-4.468462944030762,-5.593332767486572,-2.73431396484375,2.2672554116526786,-1.7025715249774018,-3.0085718353500006,-0.8055986159415258,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,A,A,True,True
"On average, men perform better than women on all the following tasks with the exception of:",(A) Simultaneous processing,(B) Mental rotation,(C) Target-directed motor skills,(D) Mathematical problem solving,A,D,False,20.0,0,-1.757727026939392,-2.640533447265625,-1.6327370405197144,-0.6327027082443237,0.615818143991584,0.1253579717877349,0.9520238916168573,1.2960126406579004,-2.373545170930976,-2.76589141905336,-2.5847609321365717,-1.9287153489022242,D,D,False,False
