Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel transparent?,Yes,-1.2961962223052979,-1.2951791286468506,-12.775757789611816,-13.79996109008789,11.479561567306519,12.50478196144104,No,False
2.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel opaque?,No,-3.9191458225250244,-0.16914573311805725,-12.775757789611816,-13.79996109008789,8.856611967086792,13.630815356969833,No,True
3.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel transparent?,No,-4.1878533363342285,-0.687574028968811,-12.775757789611816,-13.79996109008789,8.587904453277588,13.11238706111908,No,True
4.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,-0.8618131279945374,-3.611222267150879,-12.775757789611816,-13.79996109008789,11.913944661617279,10.188738822937012,Yes,True
5.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,-4.831498622894287,-0.08140339702367783,-12.775757789611816,-13.79996109008789,7.944259166717529,13.718557693064213,No,False
6.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel opaque?,No,-0.7558539509773254,-2.753095865249634,-12.775757789611816,-13.79996109008789,12.019903838634491,11.046865224838257,Yes,False
7.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel transparent?,No,-5.566542625427246,-0.06654254347085953,-12.775757789611816,-13.79996109008789,7.20921516418457,13.733418546617031,No,True
8.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel opaque?,Yes,-0.4928058087825775,-3.4922149181365967,-12.775757789611816,-13.79996109008789,12.282951980829239,10.307746171951294,Yes,True
9.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,-1.4057459831237793,-5.654440402984619,-12.775757789611816,-13.79996109008789,11.370011806488037,8.145520687103271,Yes,True
10.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,-4.127340316772461,-0.37726616859436035,-12.775757789611816,-13.79996109008789,8.648417472839355,13.42269492149353,No,True
11.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel smooth?,No,-4.6233110427856445,-0.12338490039110184,-12.775757789611816,-13.79996109008789,8.152446746826172,13.676576189696789,No,True
12.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel rough?,Yes,-0.6532970666885376,-3.902836799621582,-12.775757789611816,-13.79996109008789,12.122460722923279,9.897124290466309,Yes,True
