question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
How many human polyomaviruses are known at present?,(A) 100,(B) 1,(C) 10,(D) unknown,A,-0.9942213296890259,-1.640865683555603,-1.3108463287353516,-2.2467143535614014,A,True
AIDS activism in the U.S. resulted in:,(A) Food and Drug Administration reforms,(B) Easier access to investigational drugs,(C) Changes in the way medicine was practiced in the U.S.,(D) All of the above,D,-2.2415504455566406,-3.5149800777435303,-1.0845420360565186,-0.8790695667266846,D,True
"Globally, the most deaths are caused by:",(A) Respiratory infections,(B) Diarrheal diseases,(C) Malaria,(D) Tuberculosis,B,-1.838220477104187,-0.33821597695350647,-3.24688720703125,-2.8584647178649902,B,True
What happens during the 'incubation period'?,(A) The virus is cleared from the body by the immune system,(B) Virus replication happens at an intracellular level,(C) This period commonly lasts for a few days,(D) This period commonly lasts for a few hours,B,-4.090289115905762,-2.8295154571533203,-0.11725696921348572,-3.987769365310669,C,False
Newborn infants in countries with limited access to safe water and low levels of education should be:,(A) Exclusively formula fed for six months,(B) Exclusively breast fed for six months,(C) Should receive both breast milk and other foods as tolerated in the first 6,(D) months,B,-3.2356154918670654,-0.13063590228557587,-2.9877233505249023,-4.142441272735596,B,True
Achieving effective change in a community is usually dependent on which of the following segments of society?,(A) Innovators,(B) Early adapters,(C) Middle adapters,(D) Late adapters,A,-0.668977677822113,-1.9170855283737183,-1.7627358436584473,-2.1983518600463867,A,True
“Contingency management” is”:,(A) A strategy of last resort for reducing high-risk behaviors,(B) Paying drug users for negative urine specimens,(C) Paying sex workers to use condoms,(D) Paying drug users to use condoms,B,-0.2220868468284607,-2.997253179550171,-2.6360621452331543,-3.014601230621338,A,False
Typical clinical symptoms following infection with astroviruses include which of the following?,(A) Acute pneumonia,(B) Gastroenteritis in children,(C) Hepatitis,(D) rashes,B,-4.409407615661621,-0.04978979751467705,-4.264119625091553,-5.085886001586914,B,True
Which of the following is the most special characteristic of the adaptive immune system?,(A) Antibodies,(B) T cells,(C) Memory T cells,(D) Clonal expansion of pre-existing antibodies and/or T cells,D,-3.1305596828460693,-3.263159990310669,-1.4970407485961914,-0.4027708172798157,D,True
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,(A) Interferon and ribavirin,(B) Lamivudine and ribavirin,(C) Combinations of adefovir and entecavir and/or tenofovir (DAA),(D) Interferons alone,B,-2.909444808959961,-3.1772983074188232,-0.2020154446363449,-2.8796534538269043,C,False
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",(A) Incidence,(B) Lifetime expectancy,(C) Lifetime prevalence,(D) Period prevalence,C,-0.5106506943702698,-2.1312062740325928,-2.525442600250244,-1.8202080726623535,A,False
How were retroviruses discovered?,(A) In chickens as Rous sarcoma,(B) In humans as HTLV-1,(C) In mice causing leukaemia,(D) In cats causing leukaemia,C,-0.48670586943626404,-2.306830406188965,-1.6143887042999268,-2.900787353515625,A,False
Most surveillance systems use which of the following study designs?,(A) Cohort,(B) Serial cross-sectional,(C) Mortality,(D) Syndromic,B,-1.2489947080612183,-1.6168895959854126,-1.7818812131881714,-1.2474136352539062,D,False
Polio can be eradicated by which of the following?,(A) Attention to sewage control and hygiene,(B) Killed polio vaccine,(C) Live polio vaccine,(D) Combination of the killed and live vaccines.,A,-1.7459468841552734,-2.1680891513824463,-1.3146969079971313,-0.9586460590362549,D,False
Public health ethics is:,(A) Patient-centered,(B) Population-centered,(C) Subject-centered,(D) Must respect the rights of individuals,B,-0.9564192891120911,-0.7266019582748413,-3.5657923221588135,-2.5998072624206543,B,True
How many people globally are currently infected with hepatitis B?,(A) 350 million,(B) 2 billion,"(C) 100,000",(D) 1 million,A,-0.6163814663887024,-1.6537829637527466,-2.0058865547180176,-2.5087127685546875,A,True
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",(A) Clinical trial,(B) Double-blind,(C) Longitudinal,(D) Prospective cohort,D,-4.025198936462402,-3.9671616554260254,-0.7519503831863403,-0.7433299422264099,D,True
Which disease do polyomaviruses predominantly cause?,(A) Tumours,(B) Brain pathology,(C) No disease at all,(D) Kidney infections,C,-0.43224674463272095,-1.6709095239639282,-2.472860097885132,-3.151921272277832,A,False
How are antibody producing cells stimulated?,(A) Interacting with a virus short peptide,(B) Interacting with a T helper cell.,(C) Interacting with a plasma cell,(D) Interacting with a virus infected cell,B,-0.5376558303833008,-1.0119024515151978,-3.8166356086730957,-4.390826225280762,A,False
The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,(A) The brilliance of the principal investigator,(B) The commitment of the staff,(C) The commitment of the participants,(D) The quality of the laboratories,C,-2.5133538246154785,-1.6961952447891235,-0.424137145280838,-3.193927526473999,C,True
Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?,(A) Virions carry RNA transcriptase enzyme into the cell,(B) The virion RNA is translated into a single large polyprotein,(C) The virion RNA acting as mRNA,(D) The virus exits by apoptosis of the cell,C,-2.2075257301330566,-0.2981402277946472,-2.3900256156921387,-3.5213589668273926,B,False
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,(A) The genome has been identified by the new method of deep sequencing,(B) A new vector has been discovered,(C) They infect a wide range of domestic animals and so contaminate meat,(D) Knowledge of their replication as positive sense ssRNA viruses is now complete,A,-0.7229238748550415,-2.6516361236572266,-1.6288111209869385,-1.5511976480484009,A,True
Which virus infection was not first identified by clinical observation?,(A) HIV,(B) Rubella teratogenicity,(C) Microcephaly and Zika,(D) Hepatitis C,D,-1.3495073318481445,-1.2410409450531006,-1.2004755735397339,-2.3567116260528564,C,False
The particular quality of the U.S. health care system is its:,"(A) Systematic, democratic approach","(B) Fragmented, uncoordinated approach",(C) The result of rationale decisions by informed legislators,(D) a. and c. above,B,-1.0524669885635376,-1.8192012310028076,-1.8763433694839478,-1.4731090068817139,A,False
The three key intervention strategies according to Professor Shoptaw are:,"(A) Behavioral intervention, treatment and structural interventions","(B) Condoms, drug therapy and regulation of commercial sex establishments","(C) Drug replacement therapy, community intervention and needle exchange","(D) HIV testing, drug therapy and condom use",A,-1.4922062158584595,-2.3814749717712402,-0.6902703642845154,-1.9366874694824219,C,False
Measles has been controlled in many countries by which of the following?,(A) By hygiene,(B) By MMR vaccine,(C) By new molecular peptide vaccines,(D) By humanised monoclonal antibodies to F protein,B,-3.8158793449401855,-0.08174604922533035,-3.55702805519104,-4.958181858062744,B,True
How can the spread of filoviruses be restricted?,(A) New antivirals,(B) New humanised monoclonal antibodies,(C) Hygiene and social distancing,(D) New vaccines,C,-3.377535581588745,-3.8655576705932617,-0.250800758600235,-2.3583409786224365,C,True
Most pandemics have arisen from influenza viruses from which of the following animals?,(A) Pigs,(B) Wild birds,(C) Bats,(D) Humans,A,-2.678328275680542,-1.987808346748352,-0.3166642487049103,-3.1603198051452637,C,False
PreP is an effective strategy for reducing the incidence of HIV in:,(A) Women,(B) Drug users,(C) Pregnant women,(D) a. and b. above,B,-3.1760244369506836,-2.1604554653167725,-1.913021445274353,-0.5892395973205566,D,False
