Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao friendly?,Yes,0,-0.3157772719860077,-1.4370694160461426,0.21454247215698508,-1.9673891601891353,-0.5303197441429928,Yes,True
2.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao hostile?,No,0,-3.905561923980713,-0.035212013870477676,-3.37524217983772,-0.5655317580134704,-0.5303197441429928,No,True
3.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao friendly?,No,0,-4.03036642074585,-0.034527260810136795,-3.5000466766028566,-0.5648470049531296,-0.5303197441429928,No,True
4.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao hostile?,Yes,0,-0.6908847093582153,-0.8161091208457947,-0.16056496521522257,-1.3464288649887874,-0.5303197441429928,Yes,True
5.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao friendly?,Yes,0,-0.8978349566459656,-0.8355233073234558,-0.3675152125029728,-1.3658430514664486,-0.5303197441429928,Yes,True
6.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao hostile?,No,0,-3.202488660812378,-0.08069092780351639,-2.672168916669385,-0.6110106719465092,-0.5303197441429928,No,True
7.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao friendly?,No,0,-3.4367902278900146,-0.05840883031487465,-2.9064704837470217,-0.5887285744578674,-0.5303197441429928,No,True
8.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao hostile?,Yes,0,-0.8275271058082581,-0.7027843594551086,-0.2972073616652653,-1.2331041035981014,-0.5303197441429928,Yes,True
9.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao friendly?,Yes,0,-0.7650271058082581,-0.7652843594551086,-0.2347073616652653,-1.2956041035981014,-0.5303197441429928,Yes,True
10.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao hostile?,No,0,-3.4211761951446533,-0.051869940012693405,-2.8908564510016603,-0.5821896841556862,-0.5303197441429928,No,True
11.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao friendly?,No,0,-2.3900270462036133,-0.14221471548080444,-1.8597073020606205,-0.6725344596237972,-0.5303197441429928,No,True
12.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao hostile?,Yes,0,-1.9683326482772827,-0.21657386422157288,-1.43801290413429,-0.7468936083645656,-0.5303197441429928,No,False
13.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao friendly?,Yes,0,-1.3041034936904907,-0.4918748736381531,-0.773783749547498,-1.0221946177811458,-0.5303197441429928,Yes,True
14.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao hostile?,No,0,-2.1244804859161377,-0.18919137120246887,-1.594160741773145,-0.7195111153454616,-0.5303197441429928,No,True
15.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao friendly?,No,0,-4.530184268951416,-0.028616035357117653,-3.999864524808423,-0.5589357795001104,-0.5303197441429928,No,True
16.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao hostile?,Yes,0,-0.7533153891563416,-0.7535478472709656,-0.2229956450133488,-1.2838675914139583,-0.5303197441429928,Yes,True
17.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao trustworthy?,Yes,0,-0.909710168838501,-0.7223857045173645,-0.3793904246955082,-1.2527054486603573,-0.5303197441429928,Yes,True
18.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao untrustworthy?,No,0,-3.546131134033203,-0.048375945538282394,-3.01581138989021,-0.5786956896812752,-0.5303197441429928,No,True
19.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao trustworthy?,No,0,-3.265213966369629,-0.07052043825387955,-2.734894222226636,-0.6008401823968723,-0.5303197441429928,No,True
20.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao untrustworthy?,Yes,0,-0.6558057069778442,-0.905963122844696,-0.12548596283485147,-1.4362828669876888,-0.5303197441429928,Yes,True
21.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao trustworthy?,Yes,0,-0.38823530077934265,-1.2653757333755493,0.14208444336365011,-1.795695477518542,-0.5303197441429928,Yes,True
22.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao untrustworthy?,No,0,-3.4212582111358643,-0.047965120524168015,-2.8909384669928713,-0.5782848646671608,-0.5303197441429928,No,True
23.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao trustworthy?,No,0,-3.3120694160461426,-0.062238726764917374,-2.7817496719031496,-0.5925584709079101,-0.5303197441429928,No,True
24.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao untrustworthy?,Yes,0,-0.3784739673137665,-1.2497040033340454,0.1518457768292263,-1.7800237474770382,-0.5303197441429928,Yes,True
25.0,7.0,social-properties,7.0,antonym,1.0,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao trustworthy?,Yes,0,-0.8041720390319824,-0.7418938279151917,-0.27385229488898966,-1.2722135720581844,-0.5303197441429928,Yes,True
26.0,7.0,social-properties,7.0,antonym,1.0,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao untrustworthy?,No,0,-1.6556427478790283,-0.2808578908443451,-1.1253230037360356,-0.8111776349873379,-0.5303197441429928,No,True
27.0,7.0,social-properties,7.0,antonym,2.0,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao trustworthy?,No,0,-1.84317946434021,-0.2193801999092102,-1.3128597201972172,-0.749699944052203,-0.5303197441429928,No,True
28.0,7.0,social-properties,7.0,antonym,2.0,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao untrustworthy?,Yes,0,-1.1945970058441162,-0.44490477442741394,-0.6642772617011234,-0.9752245185704067,-0.5303197441429928,Yes,True
29.0,8.0,social-properties,8.0,antonym,1.0,Chao is good at completing important tasks.,Is Chao trustworthy?,Yes,0,-1.0854378938674927,-0.5856700539588928,-0.5551181497244999,-1.1159897981018856,-0.5303197441429928,Yes,True
30.0,8.0,social-properties,8.0,antonym,1.0,Chao is good at completing important tasks.,Is Chao untrustworthy?,No,0,-2.499333143234253,-0.11778660118579865,-1.9690133990912602,-0.6481063453287914,-0.5303197441429928,No,True
31.0,8.0,social-properties,8.0,antonym,2.0,Chao is bad at completing important tasks.,Is Chao trustworthy?,No,0,-2.2494471073150635,-0.18230359256267548,-1.7191273631720707,-0.7126233367056682,-0.5303197441429928,No,True
32.0,8.0,social-properties,8.0,antonym,2.0,Chao is bad at completing important tasks.,Is Chao untrustworthy?,Yes,0,-1.0697191953659058,-0.5699294209480286,-0.539399451222913,-1.1002491650910213,-0.5303197441429928,Yes,True
33.0,9.0,social-properties,9.0,antonym,1.0,Chao usually keeps promises.,Is Chao trustworthy?,Yes,1,-0.20749391615390778,-2.077824354171753,0.3295912249334927,-2.6149094952591536,-0.5370851410874005,Yes,True
34.0,9.0,social-properties,9.0,antonym,1.0,Chao usually keeps promises.,Is Chao untrustworthy?,No,1,-3.921031951904297,-0.04310518503189087,-3.383946810816896,-0.5801903261192913,-0.5370851410874005,No,True
35.0,9.0,social-properties,9.0,antonym,2.0,Chao usually breaks promises.,Is Chao trustworthy?,No,1,-4.530679702758789,-0.038410745561122894,-3.9935945616713884,-0.5754958866485234,-0.5370851410874005,No,True
36.0,9.0,social-properties,9.0,antonym,2.0,Chao usually breaks promises.,Is Chao untrustworthy?,Yes,1,-0.28062352538108826,-1.6558579206466675,0.2564616157063122,-2.192943061734068,-0.5370851410874005,Yes,True
37.0,10.0,social-properties,10.0,antonym,1.0,Chao is respectful towards differences in background and belief.,Is Chao tolerant?,Yes,1,-0.5499861836433411,-0.9253556728363037,-0.0129010425559406,-1.4624408139237042,-0.5370851410874005,Yes,True
38.0,10.0,social-properties,10.0,antonym,1.0,Chao is respectful towards differences in background and belief.,Is Chao bigoted?,No,1,-3.3115296363830566,-0.05617881938815117,-2.774444495295656,-0.5932639604755516,-0.5370851410874005,No,True
