property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-3.16438627243042,-2.9178595542907715,-8.30986499786377,-6.029493808746338,5.14547872543335,3.1116342544555664,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-3.7281625270843506,-4.004949569702148,-8.30986499786377,-6.029493808746338,4.581702470779419,2.0245442390441895,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-3.738952159881592,-3.3690714836120605,-8.30986499786377,-6.029493808746338,4.570912837982178,2.6604223251342773,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-4.430784702301025,-2.6843223571777344,-8.30986499786377,-6.029493808746338,3.879080295562744,3.3451714515686035,Yes,False
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-3.9603993892669678,-3.088676929473877,-8.30986499786377,-6.029493808746338,4.349465608596802,2.940816879272461,Yes,False
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-5.046110153198242,-5.805063724517822,-8.30986499786377,-6.029493808746338,3.2637548446655273,0.22443008422851562,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-4.961958408355713,-3.9736998081207275,-8.30986499786377,-6.029493808746338,3.3479065895080566,2.0557940006256104,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-3.311840295791626,-4.051452159881592,-8.30986499786377,-6.029493808746338,4.9980247020721436,1.978041648864746,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-4.492563724517822,-6.500532150268555,-8.30986499786377,-6.029493808746338,3.8173012733459473,-0.4710383415222168,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.5428595542907715,-4.310024261474609,-8.30986499786377,-6.029493808746338,4.767005443572998,1.7194695472717285,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-3.336958646774292,-4.601754665374756,-8.30986499786377,-6.029493808746338,4.9729063510894775,1.427739143371582,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,-4.184695243835449,-3.435797929763794,-8.30986499786377,-6.029493808746338,4.12516975402832,2.593695878982544,Yes,False
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-2.6807847023010254,-4.6822662353515625,-8.30986499786377,-6.029493808746338,5.629080295562744,1.3472275733947754,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-2.479222059249878,-4.2447662353515625,-8.30986499786377,-6.029493808746338,5.830642938613892,1.7847275733947754,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-2.3484976291656494,-4.616385459899902,-8.30986499786377,-6.029493808746338,5.96136736869812,1.4131083488464355,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-2.8232080936431885,-4.576153755187988,-8.30986499786377,-6.029493808746338,5.486656904220581,1.4533400535583496,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-2.26874041557312,-4.515705108642578,-8.30986499786377,-6.029493808746338,6.041124582290649,1.5137887001037598,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-4.3101043701171875,-4.696211814880371,-8.30986499786377,-6.029493808746338,3.999760627746582,1.3332819938659668,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-4.207000732421875,-4.9663543701171875,-8.30986499786377,-6.029493808746338,4.1028642654418945,1.0631394386291504,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-3.9550790786743164,-5.604458332061768,-8.30986499786377,-6.029493808746338,4.354785919189453,0.4250354766845703,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-3.945117712020874,-5.836958408355713,-8.30986499786377,-6.029493808746338,4.3647472858428955,0.192535400390625,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-3.1807847023010254,-4.4322662353515625,-8.30986499786377,-6.029493808746338,5.129080295562744,1.5972275733947754,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-4.023813724517822,-4.148813724517822,-8.30986499786377,-6.029493808746338,4.286051273345947,1.8806800842285156,Yes,False
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-3.5764126777648926,-4.336958408355713,-8.30986499786377,-6.029493808746338,4.733452320098877,1.692535400390625,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-3.007617712020874,-4.769500732421875,-8.30986499786377,-6.029493808746338,5.3022472858428955,1.259993076324463,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-3.242820978164673,-5.388912677764893,-8.30986499786377,-6.029493808746338,5.067044019699097,0.6405811309814453,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-3.038867712020874,-4.663867950439453,-8.30986499786377,-6.029493808746338,5.2709972858428955,1.3656258583068848,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-2.9794580936431885,-4.1068501472473145,-8.30986499786377,-6.029493808746338,5.330406904220581,1.9226436614990234,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-3.6701626777648926,-4.5601043701171875,-8.30986499786377,-6.029493808746338,4.639702320098877,1.4693894386291504,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-2.5637402534484863,-4.051452159881592,-8.30986499786377,-6.029493808746338,5.746124744415283,1.978041648864746,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-2.769500970840454,-6.149458408355713,-8.30986499786377,-6.029493808746338,5.540364027023315,-0.119964599609375,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-3.9940714836120605,-3.7463998794555664,-8.30986499786377,-6.029493808746338,4.315793514251709,2.2830939292907715,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-3.7829296588897705,-4.051452159881592,-8.30986499786377,-6.029493808746338,4.526935338973999,1.978041648864746,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-3.052227258682251,-4.073208332061768,-8.30986499786377,-6.029493808746338,5.2576377391815186,1.9562854766845703,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,-3.0557847023010254,-3.4343223571777344,-8.30986499786377,-6.029493808746338,5.254080295562744,2.5951714515686035,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-4.183421611785889,-3.6694376468658447,-8.30986499786377,-6.029493808746338,4.126443386077881,2.360056161880493,Yes,False
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-3.201242446899414,-4.601754665374756,-8.30986499786377,-6.029493808746338,5.1086225509643555,1.427739143371582,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-3.1139161586761475,-4.479458332061768,-8.30986499786377,-6.029493808746338,5.195948839187622,1.5500354766845703,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-3.9404196739196777,-4.553885459899902,-8.30986499786377,-6.029493808746338,4.369445323944092,1.4756083488464355,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-3.6611998081207275,-4.546465873718262,-8.30986499786377,-6.029493808746338,4.648665189743042,1.4830279350280762,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,-3.854222059249878,-4.090669631958008,-8.30986499786377,-6.029493808746338,4.455642938613892,1.93882417678833,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-3.988250970840454,-5.002401828765869,-8.30986499786377,-6.029493808746338,4.321614027023315,1.0270919799804688,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-2.8726043701171875,-4.757275581359863,-8.30986499786377,-6.029493808746338,5.437260627746582,1.2722182273864746,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-4.152042388916016,-3.6369683742523193,-8.30986499786377,-6.029493808746338,4.157822608947754,2.3925254344940186,Yes,False
