Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao friendly?,Yes,0,-2.617820978164673,-3.451242446899414,-1.9913627328029992,-4.077700692261088,-0.6264582453616736,Yes,True
2.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao hostile?,No,0,-6.6815714836120605,-1.8169037103652954,-6.055113238250387,-2.443361955726969,-0.6264582453616736,No,True
3.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao friendly?,No,0,-4.885858535766602,-1.5816837549209595,-4.259400290404928,-2.208142000282633,-0.6264582453616736,No,True
4.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao hostile?,Yes,0,-3.069643497467041,-3.195399522781372,-2.4431852521053674,-3.8218577681430457,-0.6264582453616736,Yes,True
5.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao friendly?,Yes,0,-2.2670865058898926,-4.63633394241333,-1.640628260528219,-5.262792187775004,-0.6264582453616736,Yes,True
6.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao hostile?,No,0,-4.772363185882568,-3.026176929473877,-4.145904940520895,-3.6526351748355506,-0.6264582453616736,No,True
7.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao friendly?,No,0,-5.051452159881592,-2.0074033737182617,-4.424993914519918,-2.6338616190799353,-0.6264582453616736,No,True
8.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao hostile?,Yes,0,-3.573432207107544,-4.497195243835449,-2.9469739617458703,-5.123653489197123,-0.6264582453616736,Yes,True
9.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao friendly?,Yes,0,-2.5601043701171875,-4.97292947769165,-1.933646124755514,-5.599387723053324,-0.6264582453616736,Yes,True
10.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao hostile?,No,0,-5.05787992477417,-2.057879686355591,-4.431421679412496,-2.6843379317172644,-0.6264582453616736,No,True
11.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao friendly?,No,0,-6.086822032928467,-1.1443907022476196,-5.460363787566793,-1.7708489476092932,-0.6264582453616736,No,True
12.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao hostile?,Yes,0,-3.654132127761841,-2.7797000408172607,-3.027673882400167,-3.4061582861789343,-0.6264582453616736,Yes,True
13.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao friendly?,Yes,0,-2.3925790786743164,-3.956829786300659,-1.7661208333126428,-4.583288031662333,-0.6264582453616736,Yes,True
14.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao hostile?,No,0,-5.080845832824707,-2.9761533737182617,-4.454387587463033,-3.6026116190799353,-0.6264582453616736,No,True
15.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao friendly?,No,0,-4.827210903167725,-1.7637571096420288,-4.200752657806051,-2.3902153550037024,-0.6264582453616736,No,True
16.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao hostile?,Yes,0,-3.3353993892669678,-3.2767715454101562,-2.708941143905294,-3.90322979077183,-0.6264582453616736,Yes,True
17.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao trustworthy?,Yes,0,-2.9704296588897705,-4.530860900878906,-2.343971413528097,-5.15731914624058,-0.6264582453616736,Yes,True
18.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao untrustworthy?,No,0,-6.870921611785889,-3.6377761363983154,-6.244463366424215,-4.264234381759989,-0.6264582453616736,No,True
19.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao trustworthy?,No,0,-4.393345832824707,-2.375786781311035,-3.7668875874630334,-3.0022450266727088,-0.6264582453616736,No,True
20.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao untrustworthy?,Yes,0,-2.4195852279663086,-5.121399879455566,-1.793126982604635,-5.74785812481724,-0.6264582453616736,Yes,True
21.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao trustworthy?,Yes,0,-2.3866426944732666,-4.757617950439453,-1.760184449111593,-5.384076195801127,-0.6264582453616736,Yes,True
22.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao untrustworthy?,No,0,-4.44883394241333,-2.8902158737182617,-3.8223756970516565,-3.5166741190799353,-0.6264582453616736,No,True
23.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao trustworthy?,No,0,-4.0288543701171875,-3.149458646774292,-3.402396124755514,-3.7759168921359656,-0.6264582453616736,Yes,False
24.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao untrustworthy?,Yes,0,-2.221268892288208,-4.48824405670166,-1.5948106469265344,-5.114702302063334,-0.6264582453616736,Yes,True
25.0,7.0,social-properties,7.0,antonym,1.0,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao trustworthy?,Yes,0,-3.269493818283081,-3.7698535919189453,-2.6430355729214075,-4.396311837280619,-0.6264582453616736,Yes,True
