question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following trisomy karyotypes has the mildest effect on human development?,"(A) 47,XXX","(B) 47,XXY","(C) 47,XX,+13","(D) 47,XY,+21",A,D,False,20.0,0,-5.2126336097717285,-6.984930038452148,-3.0536134243011475,-2.923769235610962,-1.3947516163190206,-2.2053505251804983,1.3764602502187095,1.9628556032975517,-3.817881993452708,-4.77957951327165,-4.430073674519857,-4.886624838908514,D,D,False,False
Severe anaemia at birth is a feature of what?,(A) Alpha-thalassaemia,(B) Beta-thalassaemia,(C) Hereditary persistence of fetal haemoglobin,(D) Sickle cell disease,A,A,True,20.0,0,-1.9272310733795166,-2.681753158569336,-5.649322032928467,-5.243284702301025,1.8906509200731914,2.097826354702314,-1.2192483584086098,-0.35665986339251177,-3.817881993452708,-4.77957951327165,-4.430073674519857,-4.886624838908514,A,B,True,False
The most common cystic fibrosis mutation consists of:,(A) a deletion.,(B) a duplication.,(C) a substitution.,(D) an insertion.,A,A,True,20.0,0,-1.4728193283081055,-6.927743911743164,-6.428332328796387,-3.945399522781372,2.3450626651446025,-2.148164398471514,-1.9982586542765297,0.9412253161271416,-3.817881993452708,-4.77957951327165,-4.430073674519857,-4.886624838908514,A,A,True,True
Transcriptional activator proteins,(A) bind regions near a eukaryotic gene and allow an RNA polymerase to transcribe a gene,(B) bind to ribosomes to activate the production of specific proteins,(C) are produced during an infection of bacteria by a phage,(D) are essential to function of transfer RNAs during translation,A,A,True,20.0,0,-1.5184036493301392,-6.44883394241333,-6.703205108642578,-8.037774085998535,2.299478344122569,-1.66925442914168,-2.273131434122721,-3.1511492470900215,-3.817881993452708,-4.77957951327165,-4.430073674519857,-4.886624838908514,A,A,True,True
X-chromosome inactivation,(A) results in genetically turning off one of the two X chromosomes in female mammals,(B) takes place in humans so that the same X chromosome is inactive in all of the cells of a female,(C) is the cause of the Y chromosome being genetically inactive,(D) occurs in fruit flies but not in mammals,A,A,True,20.0,0,-1.6052324771881104,-5.771185874938965,-7.61324405670166,-8.05074405670166,2.2126495162645976,-0.9916063616673148,-3.183170382181803,-3.1641192177931465,-3.817881993452708,-4.77957951327165,-4.430073674519857,-4.886624838908514,A,A,True,True
Homeobox sequences,(A) are present in the genome of many animal species,(B) are found in prokaryotes but not in eukaryotes,(C) were identified as the integration sites for bacterial viruses,(D) represent integration sites for transposable elements,A,A,True,20.0,1,-2.3702335357666016,-6.269123077392578,-6.023403167724609,-6.705845832824707,1.6691531419754027,-1.3218603382507963,-1.6558471004168194,-1.9014913151661554,-4.039386677742004,-4.947262739141782,-4.36755606730779,-4.804354517658552,A,A,True,True
Twin studies in humans are useful because,(A) they allow genetic as opposed to environmental influences on variation in a trait to be estimated,(B) cloning of genes is facilitated by the presence of extra copies,(C) they allow improved expression of genes,(D) twins have a greater likelihood of being heterozygous,A,A,True,20.0,1,-1.4092587232589722,-5.8916401863098145,-7.147899627685547,-7.1068501472473145,2.630127954483032,-0.9443774471680326,-2.780343560377757,-2.302495629588763,-4.039386677742004,-4.947262739141782,-4.36755606730779,-4.804354517658552,A,A,True,True
Which component of transcribed RNA in eukaryotes is present in the initial transcript but is removed before translation occurs?,(A) Intron,(B) 3’ Poly A tail,(C) Ribosome binding site,(D) 5’ cap,A,A,True,20.0,1,-1.3937079906463623,-5.706623077392578,-7.053332328796387,-5.9541401863098145,2.645678687095642,-0.7593603382507963,-2.6857762614885967,-1.1497856686512629,-4.039386677742004,-4.947262739141782,-4.36755606730779,-4.804354517658552,A,A,True,True
The mutational mechanism in δβ-thalassaemia consists of:,(A) a deletion.,(B) a duplication.,(C) an insertion.,(D) a point mutation.,A,A,True,20.0,1,-1.8885397911071777,-5.681190013885498,-6.025503158569336,-3.666722059249878,2.1508468866348265,-0.7339272747437162,-1.657947091261546,1.1376324584086737,-4.039386677742004,-4.947262739141782,-4.36755606730779,-4.804354517658552,A,A,True,True
Zinc finger proteins and helix-turn-helix proteins are,(A) types of DNA-binding proteins,(B) involved in the control of translation,(C) components of ribosomes,(D) part of the hemoglobin in blood cells,A,A,True,20.0,1,-1.7221875190734863,-8.36324405670166,-8.803885459899902,-8.983965873718262,2.317199158668518,-3.4159813175598783,-4.436329392592112,-4.17961135605971,-4.039386677742004,-4.947262739141782,-4.36755606730779,-4.804354517658552,A,A,True,True
Normal adult haemoglobin (Hb A) consists of:,(A) two α (alpha) and two β (beta) chains.,(B) two α and two γ (gamma) chains.,(C) two α and two δ (delta) chains.,(D) four γ chains.,A,A,True,20.0,2,-1.8789507150650024,-7.2041401863098145,-6.739618301391602,-7.702210903167725,2.043665421009064,-1.9550677299499508,-2.150619830687841,-2.847690426309904,-3.9226161360740663,-5.249072456359864,-4.5889984707037605,-4.854520476857821,A,A,True,True
The maternal serum level of alpha-fetoprotein (AFP) is lower than average in which situation?,(A) Down syndrome,(B) Exomphalos,(C) Neural tube defects,(D) Twin pregnancies,A,C,False,20.0,2,-3.310314893722534,-2.5410380363464355,-1.7542957067489624,-4.089271545410156,0.6123012423515322,2.708034420013428,2.834702763954798,0.7652489314476645,-3.9226161360740663,-5.249072456359864,-4.5889984707037605,-4.854520476857821,C,C,False,False
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,(A) Brother,(B) Nephew,(C) Grandchild,(D) Aunt,A,A,True,20.0,2,-1.3729472160339355,-3.947103261947632,-6.556190013885498,-5.2440714836120605,2.549668920040131,1.3019691944122318,-1.9671915431817375,-0.3895510067542398,-3.9226161360740663,-5.249072456359864,-4.5889984707037605,-4.854520476857821,A,A,True,True
______ explained genetic disorders such as alkaptonuria and albinism.,(A) Recessive inheritance has,(B) Dominant genes have,(C) X chromosomes,(D) Y chromosomes,A,A,True,20.0,2,-2.6848649978637695,-4.273877143859863,-4.964542388916016,-4.211822032928467,1.2377511382102968,0.9751953125000004,-0.3755439182122551,0.6426984439293539,-3.9226161360740663,-5.249072456359864,-4.5889984707037605,-4.854520476857821,A,A,True,True
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",(A) structural and anatomical; psychological and social,(B) psychological and social; structural and anatomical,(C) structural and psychological; anatomical and social,(D) social and anatomical; psychological and structural,A,B,False,20.0,2,-2.3891913890838623,-1.7001856565475464,-4.74701452255249,-5.089542388916016,1.533424746990204,3.5488867998123172,-0.1580160518487297,-0.2350219120581949,-3.9226161360740663,-5.249072456359864,-4.5889984707037605,-4.854520476857821,B,B,False,False
The most common chromosome abnormality in first trimester spontaneous miscarriages is:,(A) trisomy.,(B) monosomy.,(C) triploidy.,(D) tetrasomy.,A,A,True,20.0,3,-1.9084484577178955,-5.04918909072876,-2.475348949432373,-5.859930038452148,1.9746600170930226,0.047922282417615314,2.151038984457652,-0.9613893797000248,-3.883108474810918,-5.097111373146375,-4.626387933890025,-4.898540658752124,A,C,True,False
