question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
How many human polyomaviruses are known at present?,(A) 100,(B) 1,(C) 10,(D) unknown,A,-2.9687232971191406,-3.718693494796753,-2.468693494796753,-1.726518154144287,D,False
AIDS activism in the U.S. resulted in:,(A) Food and Drug Administration reforms,(B) Easier access to investigational drugs,(C) Changes in the way medicine was practiced in the U.S.,(D) All of the above,D,-3.859370231628418,-3.6093690395355225,-2.1093623638153076,-0.35350966453552246,D,True
"Globally, the most deaths are caused by:",(A) Respiratory infections,(B) Diarrheal diseases,(C) Malaria,(D) Tuberculosis,B,-2.5781195163726807,-3.3281147480010986,-2.3281004428863525,-1.5859241485595703,D,False
What happens during the 'incubation period'?,(A) The virus is cleared from the body by the immune system,(B) Virus replication happens at an intracellular level,(C) This period commonly lasts for a few days,(D) This period commonly lasts for a few hours,B,-4.812483310699463,-4.062478542327881,-0.31634771823883057,-2.0624725818634033,C,False
Newborn infants in countries with limited access to safe water and low levels of education should be:,(A) Exclusively formula fed for six months,(B) Exclusively breast fed for six months,(C) Should receive both breast milk and other foods as tolerated in the first 6,(D) months,B,-3.2811570167541504,-1.5311774015426636,-1.531052827835083,-1.2811774015426636,D,False
Achieving effective change in a community is usually dependent on which of the following segments of society?,(A) Innovators,(B) Early adapters,(C) Middle adapters,(D) Late adapters,A,-2.468703269958496,-3.2186899185180664,-1.7186508178710938,-1.218672752380371,D,False
“Contingency management” is”:,(A) A strategy of last resort for reducing high-risk behaviors,(B) Paying drug users for negative urine specimens,(C) Paying sex workers to use condoms,(D) Paying drug users to use condoms,B,-3.593733787536621,-2.093729257583618,-2.5937061309814453,-0.6015415191650391,D,False
Typical clinical symptoms following infection with astroviruses include which of the following?,(A) Acute pneumonia,(B) Gastroenteritis in children,(C) Hepatitis,(D) rashes,B,-2.5155892372131348,-2.765565872192383,-1.765527367591858,-1.0155657529830933,D,False
Which of the following is the most special characteristic of the adaptive immune system?,(A) Antibodies,(B) T cells,(C) Memory T cells,(D) Clonal expansion of pre-existing antibodies and/or T cells,D,-3.6718623638153076,-4.156229496002197,-1.4140279293060303,-0.6679524183273315,D,True
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,(A) Interferon and ribavirin,(B) Lamivudine and ribavirin,(C) Combinations of adefovir and entecavir and/or tenofovir (DAA),(D) Interferons alone,B,-2.7812135219573975,-2.7812135219573975,-2.281172752380371,-0.777307391166687,D,False
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",(A) Incidence,(B) Lifetime expectancy,(C) Lifetime prevalence,(D) Period prevalence,C,-4.562485218048096,-4.312483310699463,-1.8046424388885498,-0.80466628074646,D,False
How were retroviruses discovered?,(A) In chickens as Rous sarcoma,(B) In humans as HTLV-1,(C) In mice causing leukaemia,(D) In cats causing leukaemia,C,-2.5312232971191406,-1.7890279293060303,-1.7890055179595947,-1.039018154144287,D,False
Most surveillance systems use which of the following study designs?,(A) Cohort,(B) Serial cross-sectional,(C) Mortality,(D) Syndromic,B,-3.296860456466675,-4.312478542327881,-2.5468013286590576,-1.3046634197235107,D,False
Polio can be eradicated by which of the following?,(A) Attention to sewage control and hygiene,(B) Killed polio vaccine,(C) Live polio vaccine,(D) Combination of the killed and live vaccines.,A,-3.0156033039093018,-2.265597105026245,-2.5155489444732666,-0.7734012603759766,D,False
Public health ethics is:,(A) Patient-centered,(B) Population-centered,(C) Subject-centered,(D) Must respect the rights of individuals,B,-3.328113317489624,-3.328108072280884,-2.078097105026245,-0.8242018222808838,D,False
How many people globally are currently infected with hepatitis B?,(A) 350 million,(B) 2 billion,"(C) 100,000",(D) 1 million,A,-3.203108072280884,-3.4531033039093018,-2.4530892372131348,-1.1952909231185913,D,False
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",(A) Clinical trial,(B) Double-blind,(C) Longitudinal,(D) Prospective cohort,D,-5.218741416931152,-3.9687418937683105,-1.7187278270721436,-1.2187365293502808,D,True
Which disease do polyomaviruses predominantly cause?,(A) Tumours,(B) Brain pathology,(C) No disease at all,(D) Kidney infections,C,-2.9999871253967285,-3.499978542327881,-2.7499725818634033,-0.7577993869781494,D,False
How are antibody producing cells stimulated?,(A) Interacting with a virus short peptide,(B) Interacting with a T helper cell.,(C) Interacting with a plasma cell,(D) Interacting with a virus infected cell,B,-3.015565872192383,-2.515565872192383,-1.2654640674591064,-1.265527367591858,C,False
The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,(A) The brilliance of the principal investigator,(B) The commitment of the staff,(C) The commitment of the participants,(D) The quality of the laboratories,C,-3.9374852180480957,-3.937478542327881,-1.9374545812606812,-0.9335770606994629,D,False
Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?,(A) Virions carry RNA transcriptase enzyme into the cell,(B) The virion RNA is translated into a single large polyprotein,(C) The virion RNA acting as mRNA,(D) The virus exits by apoptosis of the cell,C,-2.624941825866699,-2.124925136566162,-1.6247965097427368,-0.8749039173126221,D,False
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,(A) The genome has been identified by the new method of deep sequencing,(B) A new vector has been discovered,(C) They infect a wide range of domestic animals and so contaminate meat,(D) Knowledge of their replication as positive sense ssRNA viruses is now complete,A,-3.7187135219573975,-2.218721628189087,-2.2186508178710938,-0.7109012603759766,D,False
Which virus infection was not first identified by clinical observation?,(A) HIV,(B) Rubella teratogenicity,(C) Microcephaly and Zika,(D) Hepatitis C,D,-4.3124871253967285,-4.062483310699463,-2.812464714050293,-0.31638944149017334,D,True
The particular quality of the U.S. health care system is its:,"(A) Systematic, democratic approach","(B) Fragmented, uncoordinated approach",(C) The result of rationale decisions by informed legislators,(D) a. and c. above,B,-2.640608072280884,-2.8906033039093018,-2.3905892372131348,-0.3886549472808838,D,False
The three key intervention strategies according to Professor Shoptaw are:,"(A) Behavioral intervention, treatment and structural interventions","(B) Condoms, drug therapy and regulation of commercial sex establishments","(C) Drug replacement therapy, community intervention and needle exchange","(D) HIV testing, drug therapy and condom use",A,-2.812483310699463,-1.562483310699463,-1.5624545812606812,-1.0624724626541138,D,False
Measles has been controlled in many countries by which of the following?,(A) By hygiene,(B) By MMR vaccine,(C) By new molecular peptide vaccines,(D) By humanised monoclonal antibodies to F protein,B,-3.187478542327881,-0.67966628074646,-2.6874547004699707,-1.6796602010726929,B,True
How can the spread of filoviruses be restricted?,(A) New antivirals,(B) New humanised monoclonal antibodies,(C) Hygiene and social distancing,(D) New vaccines,C,-3.7030892372131348,-2.4530789852142334,-1.7108111381530762,-0.7108777761459351,D,False
Most pandemics have arisen from influenza viruses from which of the following animals?,(A) Pigs,(B) Wild birds,(C) Bats,(D) Humans,A,-3.656240224838257,-4.156223297119141,-2.4062061309814453,-1.6562292575836182,D,False
PreP is an effective strategy for reducing the incidence of HIV in:,(A) Women,(B) Drug users,(C) Pregnant women,(D) a. and b. above,B,-2.9374964237213135,-3.9374921321868896,-1.4296774864196777,-0.6835876703262329,D,False
The replication of hepatitis B includes which of the following stages?,(A) Movement of intact virus to the cellular cytoplasm for replication,(B) Conversion of relaxed circular viral DNA in to covalently closed circular (CCC) DNA in the nucleus,(C) Virions produced in the cytoplasm by cellular DNA polymerase,(D) Oncogenic activity to transform liver cells.,C,-2.296830415725708,-1.7968302965164185,-1.796718955039978,-1.046817660331726,D,False
How does the papilloma family of viruses cause cancer?,"(A) Replicate in dividing cells and encodes three oncogenic proteins E5, E6 and E7",(B) Integrates viral genome into cellular DNA,(C) Has an oncogene able to initiate cancer,(D) Acts as a co factor for a cellular oncogene,B,-1.6874724626541138,-1.6874645948410034,-1.687403917312622,-1.4374545812606812,D,False
