Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao fold it?,Yes,-0.7936978340148926,-2.1479077339172363,Yes,True
2,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao pour it?,No,-1.152584195137024,-1.5316892862319946,Yes,False
3,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao fold it?,No,-0.960925817489624,-1.756181001663208,Yes,False
4,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao pour it?,Yes,-0.8667815923690796,-2.15002179145813,Yes,True
5,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao fold it?,Yes,-0.8000397682189941,-1.906156063079834,Yes,True
6,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao pour it?,No,-0.9979628324508667,-1.7463524341583252,Yes,False
7,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao fold it?,No,-0.8949583172798157,-1.7134896516799927,Yes,False
8,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao pour it?,Yes,-0.8893536925315857,-1.944732427597046,Yes,True
10,3,material-dynamics,3,material,1,Chao sees something that is fabric.,Can Chao stir it?,No,-0.9764824509620667,-1.9096481800079346,Yes,False
12,3,material-dynamics,3,material,2,Chao sees something that is liquid.,Can Chao stir it?,Yes,-0.816885232925415,-2.254783868789673,Yes,True
16,4,material-dynamics,4,material,2,Chao sees the water.,Can Chao stir it?,Yes,-0.8075560331344604,-2.1279828548431396,Yes,True
20,5,material-dynamics,5,material,2,Chao sees something that is gas.,Can Chao stir it?,Yes,-0.8993303179740906,-2.0094211101531982,Yes,True
24,6,material-dynamics,6,material,2,Chao sees the oxygen.,Can Chao stir it?,Yes,-0.8714505434036255,-1.9834444522857666,Yes,True
25,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it break?,Yes,-1.3974071741104126,-1.112497329711914,No,False
26,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it ripple?,No,-1.3638184070587158,-1.19218909740448,No,True
27,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it break?,No,-0.9689722061157227,-1.605423927307129,Yes,False
28,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it ripple?,Yes,-0.7220450639724731,-2.2662808895111084,Yes,True
31,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it break?,No,-1.0884003639221191,-1.527968168258667,Yes,False
32,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it ripple?,Yes,-0.8087819218635559,-2.0829861164093018,Yes,True
33,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it break?,Yes,-1.0612627267837524,-1.6102449893951416,Yes,True
34,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it ripple?,No,-0.8646246790885925,-2.0985944271087646,Yes,False
37,10,material-dynamics,10,material,1,Chao sees the feather.,Can it break?,Yes,-0.9482620358467102,-1.5365616083145142,Yes,True
38,10,material-dynamics,10,material,1,Chao sees the feather.,Can it ripple?,No,-0.81381756067276,-1.8665845394134521,Yes,False
40,10,material-dynamics,10,material,2,Chao sees the denim.,Can it ripple?,Yes,-0.7244061827659607,-2.0673141479492188,Yes,True
47,12,material-dynamics,12,material,2,Chao sees the water.,Can it break?,No,-0.909700870513916,-1.7322559356689453,Yes,False
48,12,material-dynamics,12,material,2,Chao sees the water.,Can it ripple?,Yes,-0.6702044606208801,-2.2958083152770996,Yes,True
50,13,material-dynamics,13,material,1,Chao sees something that is fabric.,Can it disperse?,No,-0.8608692288398743,-1.9873205423355103,Yes,False
52,13,material-dynamics,13,material,2,Chao sees something that is gas.,Can it disperse?,Yes,-0.7366891503334045,-2.2758803367614746,Yes,True
53,14,material-dynamics,14,material,1,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,-1.2095422744750977,-1.53402578830719,Yes,True
57,15,material-dynamics,15,material,1,Chao sees the cup.,Can Chao squeeze it?,Yes,-0.9457855820655823,-1.8078832626342773,Yes,True
58,15,material-dynamics,15,material,1,Chao sees the cup.,Can Chao pour it?,No,-0.8798314332962036,-1.846301794052124,Yes,False
59,15,material-dynamics,15,material,2,Chao sees the water.,Can Chao squeeze it?,No,-0.9827254414558411,-1.800377607345581,Yes,False
61,16,material-dynamics,16,material,1,Chao sees something that is non-rigid.,Can Chao compresse it?,Yes,-1.2231873273849487,-1.7973806858062744,Yes,True
64,16,material-dynamics,16,material,2,Chao sees something that is granular.,Can Chao pour it?,Yes,-0.9313992857933044,-1.845884084701538,Yes,True
65,17,material-dynamics,17,material,1,Chao sees the feather.,Can Chao compresse it?,Yes,-1.081492304801941,-1.7816240787506104,Yes,True
66,17,material-dynamics,17,material,1,Chao sees the feather.,Can Chao pour it?,No,-0.9397612810134888,-1.7699966430664062,Yes,False
68,17,material-dynamics,17,material,2,Chao sees the sesame.,Can Chao pour it?,Yes,-1.0120470523834229,-1.9197664260864258,Yes,True
77,20,material-dynamics,20,material,1,Chao sees something that is non-rigid.,Can Chao squeeze it?,Yes,-1.0115855932235718,-1.8924500942230225,Yes,True
81,21,material-dynamics,21,material,1,Chao sees the feather.,Can Chao squeeze it?,Yes,-0.9827466607093811,-1.7735333442687988,Yes,True
86,22,material-dynamics,22,material,1,Chao sees something that is granular.,Can Chao rip it?,No,-0.9953861236572266,-1.8504291772842407,Yes,False
88,22,material-dynamics,22,material,2,Chao sees something that is fabric.,Can Chao rip it?,Yes,-0.9407683610916138,-1.879206657409668,Yes,True
90,23,material-dynamics,23,material,1,Chao sees the sesame.,Can Chao rip it?,No,-0.9907859563827515,-1.9956283569335938,Yes,False
92,23,material-dynamics,23,material,2,Chao sees the denim.,Can Chao rip it?,Yes,-0.9460338950157166,-1.811946988105774,Yes,True
96,24,material-dynamics,24,material,2,Chao sees something that is fabric.,Can Chao compresse it?,Yes,-1.0456340312957764,-2.0281782150268555,Yes,True
100,25,material-dynamics,25,material,2,Chao sees the denim.,Can Chao compresse it?,Yes,-1.0151439905166626,-1.9136474132537842,Yes,True
102,26,material-dynamics,26,material,1,Chao sees something that is granular.,Can Chao wrinkle it?,No,-0.9000729918479919,-1.8329261541366577,Yes,False
104,26,material-dynamics,26,material,2,Chao sees something that is fabric.,Can Chao wrinkle it?,Yes,-0.8053482174873352,-2.0721354484558105,Yes,True
106,27,material-dynamics,27,material,1,Chao sees the sesame.,Can Chao wrinkle it?,No,-0.9816222786903381,-1.8363416194915771,Yes,False
108,27,material-dynamics,27,material,2,Chao sees the denim.,Can Chao wrinkle it?,Yes,-0.789982795715332,-1.9256542921066284,Yes,True
112,28,material-dynamics,28,material,2,Chao sees something that is fabric.,Can Chao drape it?,Yes,-0.8036231994628906,-2.19877028465271,Yes,True
114,29,material-dynamics,29,material,1,Chao sees the sesame.,Can Chao drape it?,No,-0.9793916344642639,-1.9656882286071777,Yes,False
116,29,material-dynamics,29,material,2,Chao sees the denim.,Can Chao drape it?,Yes,-0.8171864748001099,-1.9368106126785278,Yes,True
118,30,material-dynamics,30,material,1,Chao sees something that is granular.,Can Chao hang it?,No,-0.9217374324798584,-1.8675066232681274,Yes,False
120,30,material-dynamics,30,material,2,Chao sees something that is fabric.,Can Chao hang it?,Yes,-0.8537194728851318,-2.0649514198303223,Yes,True
124,31,material-dynamics,31,material,2,Chao sees the denim.,Can Chao hang it?,Yes,-0.8298170566558838,-1.9774718284606934,Yes,True
127,32,material-dynamics,32,material,2,Chao sees something that is gas.,Can Chao pour it?,No,-0.9806172251701355,-1.7869222164154053,Yes,False
128,32,material-dynamics,32,material,2,Chao sees something that is gas.,Can Chao compresse it?,Yes,-1.0432721376419067,-2.0659637451171875,Yes,True
132,33,material-dynamics,33,material,2,Chao sees the oxygen.,Can Chao compresse it?,Yes,-0.9418884515762329,-2.0502471923828125,Yes,True
135,34,material-dynamics,34,material,2,Chao sees something that is liquid.,Can Chao rip it?,No,-1.0963183641433716,-1.7008966207504272,Yes,False
139,35,material-dynamics,35,material,2,Chao sees the water.,Can Chao rip it?,No,-1.0355435609817505,-1.6369891166687012,Yes,False
141,36,material-dynamics,36,material,1,Chao sees something that is fabric.,Can Chao squeeze it?,Yes,-1.0275708436965942,-1.8385859727859497,Yes,True
145,37,material-dynamics,37,material,1,Chao sees the denim.,Can Chao squeeze it?,Yes,-0.987738311290741,-1.838935375213623,Yes,True
159,40,material-dynamics,40,material,2,Chao sees something that is liquid.,Can Chao wrinkle it?,No,-1.0618747472763062,-1.6098748445510864,Yes,False
167,42,material-dynamics,42,material,2,Chao sees something that is liquid.,Can Chao drape it?,No,-1.0264748334884644,-1.7362785339355469,Yes,False
171,43,material-dynamics,43,material,2,Chao sees the water.,Can Chao drape it?,No,-0.9604892730712891,-1.7995567321777344,Yes,False
175,44,material-dynamics,44,material,2,Chao sees something that is liquid.,Can Chao hang it?,No,-1.0294265747070312,-1.6955417394638062,Yes,False
179,45,material-dynamics,45,material,2,Chao sees the water.,Can Chao hang it?,No,-0.9274094104766846,-1.886974811553955,Yes,False
190,48,material-dynamics,48,material,1,Chao sees something that is rigid.,Can Chao stir it?,No,-1.1596969366073608,-1.553706407546997,Yes,False
194,49,material-dynamics,49,material,1,Chao sees the cup.,Can Chao stir it?,No,-0.8062877058982849,-2.0285630226135254,Yes,False
197,50,material-dynamics,50,material,1,Chao sees something that is rigid.,Can Chao tap it?,Yes,-1.0361649990081787,-1.8667622804641724,Yes,True
