question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
The purposes for which the information is used is in the public's interest.,"(A) 1,2","(B) 1,3","(C) 2,3","(D) 1,2,3",A,B,False,20.0,0,-2.4218013286590576,-0.42771172523498535,-3.9218661785125732,-2.546872854232788,2.8289084073156117,5.905358921860655,2.4531504650910696,4.082551328341166,-5.250709735974669,-6.33307064709564,-6.375016643603643,-6.629424182573954,B,B,False,False
"_____ is a key driving force shaping the current and future state of business ethics, in particular regarding _____, ______ and _____ related issues.","(A) Globalisation, Cultural, Legal, Accountability","(B) Nationalisation, Cultural, Environmental, Accountability","(C) Privatisation, Cultural, Legal, Accountability","(D) Globalisation, Technological, Financial, Accountability",A,D,False,20.0,0,-3.0935401916503906,-10.435173988342285,-9.312445640563965,-0.09374988079071045,2.1571695443242787,-4.102103341246645,-2.937428996960322,6.535674301783244,-5.250709735974669,-6.33307064709564,-6.375016643603643,-6.629424182573954,D,D,False,False
"________ reasoning is considered by many to be prevalent within society and particularly within businesses, where it is often referred to in the form of a ___________.","(A) Consequentialist, Cost-benefit analysis","(B) Rationalised, Annual audit","(C) Consequentialist, Annual audit","(D) Rationalised, Cost-benefit analysis",A,A,True,20.0,0,-0.033921241760253906,-10.37116813659668,-8.624964714050293,-7.593740463256836,5.216788494214415,-4.038097489501039,-2.24994807044665,-0.9643162806828816,-5.250709735974669,-6.33307064709564,-6.375016643603643,-6.629424182573954,A,A,True,True
"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.","(A) Shareholders, Care and Skill, Diligence","(B) Stakeholder, Care and Skill, Diligence","(C) Shareholders, Self-interest, Diligence","(D) Stakeholders, Care and skill, Self-interest",A,A,True,20.0,0,-0.08047450333833694,-8.495379447937012,-9.624704360961914,-9.687438011169434,5.170235232636332,-2.1623088008413713,-3.249687717358271,-3.058013828595479,-5.250709735974669,-6.33307064709564,-6.375016643603643,-6.629424182573954,A,A,True,True
"There are a number of means by which can influence _______. These include _________to decision maker, varying from very direct modes to indirect modes, _________, being either public or private and ________ of communication.","(A) Government, Avenue of approach, Breadth of transmission, Content","(B) Consumers, Avenue of approach, Height of transmission, Content","(C) Government, Breath of transmission, Avenue of approach, Content","(D) Employees, Breadth of transmission, Content, Avenue of approach",A,A,True,20.0,0,-0.18839681148529053,-4.187012195587158,-6.624868869781494,-6.437466621398926,5.062312924489379,2.146058451508482,-0.2498522261778513,0.1919575611750286,-5.250709735974669,-6.33307064709564,-6.375016643603643,-6.629424182573954,A,A,True,True
" Although the benefit and contribution of civil society in encouraging sustainability, lobbying on important issues and helping the needy are taken for granted in many places, in many other countries, such as _____ and ______ civil society is far less developed than in, for instance, _______.","(A) Russia, China, Britain","(B) Norway, China, Russia","(C) Britain, United States, Australia","(D) Canada, Russia, United States",A,A,True,20.0,1,-0.07604683190584183,-9.116905212402344,-11.747815132141113,-10.187438011169434,5.9081947614749275,-2.388625357175867,-5.757694419225057,-3.649181930224101,-5.984241593380769,-6.728279855226477,-5.990120712916056,-6.538256080945333,A,A,True,True
"According to Evan and Freeman (1993), the Principle of ________ and the Principle of _______ can be used in a specific situation to determine who constitutes a _______.","(A) Corporate rights, Corporate effect, Stakeholder","(B) Corporate deniability, Corporate effect, Stakeholder","(C) Corporate rights, Corporate responsibility, Stakeholder","(D) Corporate rights, Corporate effect, Shareholder",A,D,False,20.0,1,-3.406026601791382,-2.7812347412109375,-6.5312347412109375,-0.2871091365814209,2.5782149915893875,3.9470451140155394,-0.5411140282948814,6.251146944363912,-5.984241593380769,-6.728279855226477,-5.990120712916056,-6.538256080945333,D,D,False,False
"What are, according to Wood (1991), the three outcomes of CSR?","(A) Social policies, Social programmes and Social impacts","(B) Social evaluations, Social programmes and Social impacts","(C) Social policies, Social evidencing and Social impacts","(D) Social policies, Social programmes and Social analysis",A,A,True,20.0,1,-0.07713437080383301,-6.124569416046143,-10.312309265136719,-6.374972343444824,5.907107222576936,0.6037104391803343,-4.322188552220663,0.1632837375005085,-5.984241593380769,-6.728279855226477,-5.990120712916056,-6.538256080945333,A,A,True,True
"Affirmative action involves ________ attempts to target ______ who are _________ within an organisation's workforce, for instance by trying to ______ the proportion of women, disabled or racial minorities in senior management positions.","(A) Proactive, Groups, Under-represented, Increase","(B) Passive, Groups, Under-represented, Retain","(C) Proactive, Individuals, Represented, Increase","(D) Passive, Individuals, Represented, Retain",A,A,True,20.0,1,-0.03255118429660797,-8.857940673828125,-11.185900688171387,-10.62476921081543,5.951690409084161,-2.129660818601648,-5.195779975255331,-4.086513129870097,-5.984241593380769,-6.728279855226477,-5.990120712916056,-6.538256080945333,A,A,True,True
What does Milton Friedman believe to be the sole responsibility of business?,(A) The only social responsibility of business is to its shareholders,(B) Managers should act in ways that balance the interest of society and shareholders,(C) The primary responsibility organizations have is to its employees,(D) The primary responsibility organizations have is to its stakeholders,A,A,True,20.0,1,-0.2323148250579834,-9.554893493652344,-12.37219524383545,-12.062254905700684,5.751926768322786,-2.826613638425867,-6.382074530919393,-5.523998824755351,-5.984241593380769,-6.728279855226477,-5.990120712916056,-6.538256080945333,A,A,True,True
"___________, ___________ and __________ are all factors which can impact the moral intensity","(A) Social consensus, Temporal immediacy, Proximity","(B) Proximity, Social dissensus, Futility of effect","(C) Proximity, Temporal immediacy, Social dissensus","(D) Social dissensus, Cultural immediacy, Proximity",A,C,False,20.0,2,-2.749244213104248,-3.8116955757141113,-0.3730379343032837,-7.062142848968506,2.994686622793476,2.944414941221476,5.751022150119145,-0.5553046107292179,-5.743930835897724,-6.756110516935587,-6.124060084422429,-6.506838238239288,C,C,False,False
"The race to the ______ is when, due to increased ________, countries compete for foreign investment through companies' relocation decisions by weakening their ______ and _____ standards.","(A) Bottom, Globalisation, Social, Environmental","(B) Top, Globalisation, Political, Environmental","(C) Bottom, Standardisation, Social, Economic","(D) Top, Standardisation, Political, Economic",A,A,True,20.0,2,-0.17362739145755768,-8.73824405670166,-10.061911582946777,-10.374876976013184,5.5703034444401665,-1.9821335397660729,-3.9378514985243482,-3.8680387377738956,-5.743930835897724,-6.756110516935587,-6.124060084422429,-6.506838238239288,A,A,True,True
"Better access to certain markets, differentiation of products, and the sale of pollution-control technology are ways in which better environmental performance can:",(A) Increase Revenue,(B) Increase Costs,(C) Decrease Revenue,(D) Decrease Costs,A,A,True,20.0,2,-0.4355069398880005,-11.519500732421875,-14.30986499786377,-11.374820709228516,5.308423896009724,-4.763390215486288,-8.185804913441341,-4.867982470989228,-5.743930835897724,-6.756110516935587,-6.124060084422429,-6.506838238239288,A,A,True,True
_______ and _______ are both examples of _______ -based theories which are based on basic universal principles of right and wrong.,"(A) Ethics of duty, Ethics of rights and justice, Principle","(B) Utilitarianism, Egoism, Principle","(C) Ethics of duty, Utilitarianism, Consequentialist","(D) Egoism, Ethics of rights and justice, Consequentialist",A,C,False,20.0,2,-5.09286642074585,-9.120379447937012,-0.16796612739562988,-6.843677520751953,0.6510644151518745,-2.3642689310014244,5.956093957026799,-0.33683928251266515,-5.743930835897724,-6.756110516935587,-6.124060084422429,-6.506838238239288,C,C,False,False
"What term can be used to describe 'the hypothetical agreement between member of society and those who govern it which establishes the inter-relationships, rights and responsibilities on a fair basis'?",(A) Social Contract,(B) Duty Ethics,(C) Consequentialism,(D) Virtue Ethics,A,A,True,20.0,2,-0.10000956803560257,-12.161060333251953,-12.746399879455566,-12.811088562011719,5.643921267862122,-5.404949816316366,-6.622339795033137,-6.304250323772431,-5.743930835897724,-6.756110516935587,-6.124060084422429,-6.506838238239288,A,A,True,True
"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.","(A) Down, Involvement, Remuneration, Compensation","(B) Up, Involvement, Autonomy, Compensation","(C) Down, Autonomy, Remuneration, Benefit","(D) Up, Independence, Involvement, Benefit",A,A,True,20.0,3,-0.10300767421722412,-10.162774085998535,-7.531172752380371,-4.093739032745361,5.576394454389811,-3.7044506433109445,-0.9592549701531725,2.5547731816768646,-5.679402128607035,-6.458323442687591,-6.571917782227199,-6.648512214422226,A,A,True,True
Which of the following would most effectively act as the primary objective of a business organisation?,(A) To make a profit,(B) To procure resources,(C) To communicate with shareholders,(D) To mediate between the organisation and the environment,A,A,True,20.0,3,-0.18742036819458008,-10.96422290802002,-11.685688018798828,-11.187041282653809,5.491981760412455,-4.505899465332429,-5.1137702365716295,-4.538529068231583,-5.679402128607035,-6.458323442687591,-6.571917782227199,-6.648512214422226,A,A,True,True
The Anglo-American model being considered the best model in light of the recession in the late 2000s.,"(A) 1,2,3","(B) 1,3,4","(C) 2,3,4","(D) 1,2,3,4",A,B,False,20.0,3,-1.531215786933899,-0.6562278270721436,-3.1562440395355225,-2.6562483310699463,4.148186341673136,5.802095615615447,3.415673742691676,3.9922638833522797,-5.679402128607035,-6.458323442687591,-6.571917782227199,-6.648512214422226,B,B,False,False
"Businesses engage in social accounting due to demands from _________, in order to identify ________, to improve ___________ and to encourage _________ and ___________","(A) Stakeholders, Risks, Stakeholder management, Accountability, Transparency","(B) Stakeholders, Accountability, Transparency, Risks, Stakeholder Management","(C) Stakeholders, Accountability, Risks, Stakeholders, Stakeholder Management","(D) Stakeholders, Stakeholder Management, Transparency, Risks, Accountability",A,D,False,20.0,3,-1.4529738426208496,-2.5779738426208496,-5.59365701675415,-0.8320302963256836,4.226428285986185,3.880349600066741,0.9782607654730482,5.816481918096542,-5.679402128607035,-6.458323442687591,-6.571917782227199,-6.648512214422226,D,D,False,False
