task,QID,AnsRefIDs,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,20.0,0,-1.4889522790908813,-1.7432847023010254,0.14335335760066914,-0.11667236629873523,-1.6323056366915505,-1.6266123360022902,Yes,True,True,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,20.0,0,-1.5279285907745361,-1.5303807258605957,0.10437704591701435,0.09623161014169446,-1.6323056366915505,-1.6266123360022902,Yes,False,True,False
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,20.0,3,-1.3508936166763306,-1.8527634143829346,0.2832767671595018,-0.22680625288436818,-1.6341703838358324,-1.6259571614985664,Yes,True,True,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,20.0,2,-1.6553807258605957,-1.657294750213623,-0.02298659315953655,-0.03078438546508555,-1.6323941327010592,-1.6265103647485375,Yes,False,True,False
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,20.0,4,-1.3562252521514893,-2.1163854598999023,0.2727060444032152,-0.4882327307636538,-1.6289312965547045,-1.6281527291362485,Yes,True,True,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,20.0,4,-1.9889522790908813,-1.501044750213623,-0.36002098253617687,0.1271079789226255,-1.6289312965547045,-1.6281527291362485,No,True,False,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-1.4029285907745361,-1.657294750213623,0.22937704591701435,-0.030682414211332887,-1.6323056366915505,-1.6266123360022902,Yes,True,True,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,20.0,2,-1.6999752521514893,-1.454274296760559,-0.0675811194504301,0.17223606798797841,-1.6323941327010592,-1.6265103647485375,No,True,False,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,20.0,1,-1.298024296760559,-2.0557847023010254,0.3346237133567531,-0.42047169618308544,-1.6326480101173122,-1.63531300611794,Yes,True,True,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,20.0,1,-1.7389522790908813,-1.7432847023010254,-0.10630426897356915,-0.10797169618308544,-1.6326480101173122,-1.63531300611794,Yes,False,True,False
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,2,-1.3639522790908813,-1.8663854598999023,0.2684418536101778,-0.23987509515136485,-1.6323941327010592,-1.6265103647485375,Yes,True,True,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,20.0,1,-1.6866307258605957,-1.440037727355957,-0.053982715743283505,0.19527527876198292,-1.6326480101173122,-1.63531300611794,No,True,False,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-1.4577022790908813,-1.7101354598999023,0.17460335760066914,-0.08352312389761218,-1.6323056366915505,-1.6266123360022902,Yes,True,True,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,20.0,4,-1.8794041872024536,-1.3818753957748413,-0.25047289064774914,0.24627733336140722,-1.6289312965547045,-1.6281527291362485,No,True,False,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,20.0,3,-1.1711397171020508,-1.6744942665100098,0.46303066673378157,-0.04853710501144337,-1.6341703838358324,-1.6259571614985664,Yes,True,True,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,20.0,1,-1.594794750213623,-1.346287727355957,0.03785325990368915,0.2890252787619829,-1.6326480101173122,-1.63531300611794,No,True,False,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,0,-1.3639522790908813,-1.8663854598999023,0.26835335760066914,-0.23977312389761218,-1.6323056366915505,-1.6266123360022902,Yes,True,True,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,20.0,2,-1.6711397171020508,-1.423024296760559,-0.03874558440099163,0.20348606798797841,-1.6323941327010592,-1.6265103647485375,No,True,False,True
