question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Jerry read a 200-page book in 10 hours. At that rate, how long will it take him to read a 320-page book?",(A) 16 hours,(B) 18 hours,(C) 24 hours,(D) 32 hours,A,C,False,20.0,0,-2.5312135219573975,-2.2811970710754395,-0.7812157869338989,-1.0312031507492065,0.7893338629271551,-0.14900282003075338,1.2358162553690928,2.1380736891470296,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,C,D,False,False
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,(A) 8,(B) 9,(C) 49,(D) 63,A,A,True,20.0,0,-0.5972371697425842,-1.2175798416137695,-2.468332529067993,-2.843332529067993,2.7233102151419684,0.9146144094309165,-0.45130048676500145,0.32594431082824293,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,A,A,True,True
Find the value of 6 • 24 ÷ (8 − 5).,(A) 48,(B) 13,(C) −13,(D) 54,A,A,True,20.0,0,-0.5976436138153076,-2.093719720840454,-1.593735694885254,-2.093729257583618,2.722903771069245,0.03847453020423197,0.4232963474177378,1.075547582312618,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,A,A,True,True
Change 34 L 18 cL to liters.,(A) 34.18 L,(B) 35.8 L,(C) 34.018 L,(D) 214 L,A,A,True,20.0,0,-0.0036901296116411686,-7.499738693237305,-6.249876499176025,-7.999703884124756,3.3168572552729114,-5.367544442192619,-4.232844456873034,-4.83042704422852,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,A,A,True,True
"The Mills Library has 1,007,199 books. The Springvale Library has 907,082 books. Which of the following is the best estimate of how many more books the Mills Library has than the Springvale Library?","(A) 100,000 books","(B) 80,000 books","(C) 10,000 books","(D) 8,000 books",A,A,True,20.0,0,-0.009859919548034668,-5.249925136566162,-6.874934196472168,-5.874959945678711,3.310687465336518,-3.117730885521476,-4.857902154169176,-2.705683105782475,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,A,A,True,True
Max and Jonathon were picking strawberries. Max picked 187 strawberries. Jonathon picked 223 strawberries. Together they ate 26 of the strawberries. Which expression shows a way to find the total number of strawberries Max and Jonathon have left?,(A) 190 + 220 – 30 + 4,(B) 185 + 225 – 25 + 1,(C) 200 + 200 – 30 – 4,(D) 200 + 200 – 25 – 1,A,A,True,20.0,0,-0.5272318124771118,-1.5310865640640259,-1.7811508178710938,-3.7810401916503906,2.7933155724074408,0.6011076869806602,0.23588122443189796,-0.6117633517541545,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,A,A,True,True
Which number has an absolute value greater than 5?,(A) -6,(B) -5,(C) 0,(D) 5,A,A,True,20.0,0,-0.36710333824157715,-2.3745694160461426,-2.124769449234009,-2.874664545059204,2.9534440466429754,-0.2423751650014565,-0.10773740693101708,0.294612294837032,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,A,A,True,True
"Mr. Jones rolls a six-sided cube numbered 1, 2, 3, 4, 5, 6. What is the probability he rolls a three?",(A) 6-Jan,(B) 5-Jan,(C) 3-Jan,(D) 2-Jan,A,C,False,20.0,0,-6.812095642089844,-4.187269687652588,-0.07020271569490433,-3.0623767375946045,-3.491548257205291,-2.055075436607902,1.9468293266080874,0.1069001023016316,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,C,C,False,False
Find the number that makes the statement true: 0.32 g = _ cg.,(A) 32,(B) 3.2,"(C) 3,200",(D) 320,A,B,False,20.0,0,-7.405996799468994,-0.0338919572532177,-3.7810964584350586,-4.655962944030762,-4.085449414584442,2.0983022937914684,-1.7640644161320669,-1.4866861041345256,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,B,B,False,False
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",(A) 120 miles,(B) 80 miles,(C) 26 miles,(D) 12 miles,A,A,True,20.0,0,-0.03776872530579567,-3.531052827835083,-6.031053066253662,-6.031053066253662,3.282778659578757,-1.398858576790397,-4.01402102395067,-2.861776226357426,-3.3205473848845526,-2.132194251044686,-2.0170320423029917,-3.169276839896236,A,A,True,True
