property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-6.993690013885498,-11.436254501342773,0.21143337665125728,-2.081883566518359,-7.205123390536755,-9.354370934824415,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-4.5251336097717285,-13.561643600463867,2.670519685616628,-4.309187315105062,-7.1956532953883565,-9.252456285358805,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-12.036199569702148,-9.497815132141113,-4.804373603079113,-0.17071188718657027,-7.231825966623036,-9.327103244954543,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-10.669349670410156,-1.42751944065094,-3.4865593750118498,7.911710866939808,-7.1827902953983065,-9.339230307590748,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-10.99849796295166,-0.137446790933609,-3.783910597492719,9.176633772712998,-7.214587365458941,-9.314080563646607,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-4.586313724517822,-5.121554374694824,2.6093395708705343,4.130901910663981,-7.1956532953883565,-9.252456285358805,Yes,False,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-7.9244160652160645,-2.906569480895996,-0.7192926746793091,6.4478014539284185,-7.205123390536755,-9.354370934824415,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-8.618284225463867,-7.654600143432617,-1.4226309300755107,1.5978561419261883,-7.1956532953883565,-9.252456285358805,No,True,False,True
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-4.644123077392578,-3.1538503170013428,2.561000313144177,6.200520617823072,-7.205123390536755,-9.354370934824415,No,True,False,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-9.80145263671875,-8.559322357177734,-2.5963292461819947,0.7950485776466802,-7.205123390536755,-9.354370934824415,No,True,False,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-7.966631889343262,-7.09344482421875,-0.7838415939449552,2.245785483371998,-7.1827902953983065,-9.339230307590748,No,True,False,True
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-10.05842113494873,-7.061643600463867,-2.8438337694897893,2.25243696318274,-7.214587365458941,-9.314080563646607,No,True,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-1.6865885257720947,-9.561833381652832,5.518534864764661,-0.2074624468284174,-7.205123390536755,-9.354370934824415,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-2.7831079959869385,-5.8670244216918945,4.412545299401418,3.385431863666911,-7.1956532953883565,-9.252456285358805,Yes,False,True,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-2.717100143432617,-13.249195098876953,4.478553151955739,-3.9967388135181476,-7.1956532953883565,-9.252456285358805,Yes,True,True,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,20.0,0,-5.0166401863098145,-10.369429588317871,2.188483204226941,-1.0150586534934565,-7.205123390536755,-9.354370934824415,Yes,False,True,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,20.0,1,-8.435173988342285,-10.311911582946777,-1.2523836929439787,-0.9726812753560292,-7.1827902953983065,-9.339230307590748,Yes,False,False,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,20.0,0,-9.119429588317871,-4.060900688171387,-1.9143061977811158,5.293470246653028,-7.205123390536755,-9.354370934824415,No,True,False,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,20.0,3,-5.025850296020508,-10.490832328796387,2.1698029993678487,-1.2383760434375812,-7.1956532953883565,-9.252456285358805,Yes,False,True,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,20.0,3,-2.881875514984131,-8.80842113494873,4.313777780404226,0.444035150410075,-7.1956532953883565,-9.252456285358805,Yes,False,True,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,20.0,2,-3.8856301307678223,-7.996399879455566,3.3461958358552133,1.3307033654989766,-7.231825966623036,-9.327103244954543,Yes,False,True,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,20.0,2,-4.6416401863098145,-8.12092113494873,2.590185780313221,1.2061821100058125,-7.231825966623036,-9.327103244954543,Yes,False,True,False
