question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following is an example of devolution?,(A) Allowing states to decide how to meet federally mandated greenhouse gas emissions targets,"(B) A ""race to the bottom"" in which states compete with one another to have the fewest environmental regulations",(C) A state that legalizes marijuana possession in conflict with federal law,(D) A state being prevented from implementing a fuel efficiency standard that is more stringent than that set by the federal government,A,A,True,20.0,0,-1.5818718671798706,-4.1539506912231445,-3.914649724960327,-3.1848795413970947,1.0352929013746754,-0.7375765928515681,-0.6608349669862679,0.14486255910661505,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,A,A,True,True
Which of the following is the most accurate statement about writs of certiorari?,(A) Fewer than 5% of petitions for writs of certiorari are granted by the Supreme Court.,"(B) The Supreme Court grants writs of certiorari only when there is a ""circuit split.""",(C) The lower court's ruling is overturned if the Supreme Court denies a writ of certiorari.,(D) Only the solicitor general may petition for a writ of certiorari.,A,A,True,20.0,0,-1.9618873596191406,-3.40155029296875,-3.1746103763580322,-3.461932897567749,0.6552774089354054,0.014823805402826462,0.07920438161602705,-0.13219079706403924,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,A,A,True,True
The opinions of congressional committees often fail to accurately mirror public opinion because,(A) the membership of committees often overrepresents constituencies with the greatest stake in the committee's business,(B) most committees are too small to include representatives of all popular opinions,(C) the minority party controls nearly half of all committees,(D) committee members often lose track of their constituents' priorities because of their frequent contact with special-interest lobbyists,A,A,True,20.0,0,-1.7996370792388916,-3.2818760871887207,-3.256953001022339,-3.207564353942871,0.8175276893156544,0.13449801118285576,-0.0031382430482795876,0.12217774656083868,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,A,A,True,True
Which of the following actions can the president take without congressional approval?,(A) Grant reprieves and pardons,(B) Appoint Supreme Court justices,(C) Negotiate and ratify treaties,(D) Declare war,A,C,False,20.0,0,-2.814767599105835,-4.202670097351074,-2.506864070892334,-3.3743622303009033,-0.1976028305512889,-0.7862959989794978,0.7469506870817253,-0.04462012979719354,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,C,C,False,False
A presidential plurality victory occurs when,(A) the winning candidate receives less than 50 percent of the popular vote,(B) candidates receive an equal number of electoral votes and the popular vote determines the winner,(C) the Senate declares the formal winner,(D) the winning candidate receives more than 50% of the popular vote,A,A,True,20.0,0,-1.574370265007019,-4.252948760986328,-3.9296298027038574,-3.755542516708374,1.042794503547527,-0.8365746626147517,-0.6758150447297981,-0.42580041620466424,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,A,A,True,True
The line-item veto was ruled unconstitutional because it,(A) violated the legislative process by which bills become laws,(B) allowed Congress to eliminate sections of legislation without a two-thirds majority,(C) gave states the ability to override federal legislation,(D) empowered Congress to nullify executive actions,A,A,True,20.0,0,-1.761020541191101,-3.499117374420166,-3.513502836227417,-3.593965530395508,0.856144227363445,-0.08274327604858955,-0.2596880782533577,-0.26422342989179803,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,A,A,True,True
The boundary lines of congressional districts must be redrawn every 10 years to,(A) reflect population shifts indicated by the national census,(B) guarantee the turnover of the majority of congressional seats,(C) make sure each state's congressional delegation exactly mirrors its residents' party affiliations,(D) determine which party's leader will be named Speaker of the House,A,A,True,20.0,0,-1.312171220779419,-3.1968371868133545,-3.706921339035034,-3.4809072017669678,1.304993547775127,0.21953691155822197,-0.4531065810609749,-0.151165101263258,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,A,A,True,True
"In which of the following cases did the Supreme Court decision establish the ""separate but equal"" doctrine of state-sponsored racial segregation?",(A) Plessy v. Ferguson,(B) McCulloch v. Maryland,(C) Gibbons v. Ogden,(D) Brown v. Board of Education,A,A,True,20.0,0,-1.5172103643417358,-4.441920280456543,-5.373093605041504,-4.539820194244385,1.0999544042128102,-1.0255461820849665,-2.1192788470674446,-1.210078093740675,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,A,A,True,True
Congress has attempted to protect independent regulatory agencies from political influence by requiring that each agency,(A) be led by a group of commissioners representing both major political parties,(B) plan policy cooperatively with the appropriate congressional committees,(C) reapply for funding at the end of each fiscal year,(D) submit all planned policy changes to the president for approval,A,C,False,20.0,0,-2.9538300037384033,-3.102962017059326,-2.378811836242676,-2.9317760467529297,-0.33666523518385727,0.3134120813122503,0.8750029217313835,0.3979660537507801,-2.617164768554546,-3.4163740983715765,-3.2538147579740593,-3.32974210050371,C,C,False,False
Which of the following is NOT a way in which the powers of the executive branch are balanced by the legislative branch?,(A) The Senate may use the filibuster to block an executive order.,"(B) Congress may impeach and convict a president for ""high crime and misdemeanors.""",(C) The Senate can decline to ratify a treaty.,(D) The Senate can decline to approve a president's nominee for the Supreme Court.,A,C,False,20.0,1,-3.0469651222229004,-3.678309440612793,-2.80094575881958,-3.029418706893921,-0.4709409817501351,-0.2162017038574926,0.49211172373206535,0.25719477070702457,-2.5760241404727653,-3.4621077367553004,-3.2930574825516454,-3.2866134776009455,C,C,False,False
