question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Dr. Delbert Dinwoody is currently treating a 35-year-old client who has received a diagnosis of Alcohol Dependence. With the client's permission, Dr. Dinwoody invites the client's wife to participate in couple therapy. Inviting the wife to participate in therapy is:",(A) acceptable as long as he believes couple therapy will benefit the client's progress in dealing with his alcohol problem.,(B) acceptable as long as the wife is not receiving mental health services from another professional.,"(C) ""unacceptable because in this situation, the wife is “vulnerable to undue inﬂuence.""""""","(D) ""unacceptable because doing so creates a """"conﬂict of interest.”""",A,A,True,20.0,0,-0.5077966451644897,-4.124195575714111,-7.122524261474609,-4.998497486114502,4.988199051052115,1.286147069068381,-0.750267934509508,-0.4728463938438585,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,A,A,True,True
"At the termination of an extensive training program, management may expect to find chat","(A) most trainees have improved, but relative standing is generally maintained",(B) primarily low-ability trainees have improved in performance,(C) primarily high-ability trainees have improved in performance,(D) all trainees are at the same performance level,A,A,True,20.0,0,-0.19621813297271729,-5.249754428863525,-2.203120708465576,-7.18742036819458,5.299777563243888,0.16058821591896688,4.169135618499525,-2.6617692759239366,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,A,A,True,True
"The reticular formation and reticular activating system are associated with all of the following functions, EXCEPT:",(A) Decussation of auditory stimuli,(B) Alertness,(C) Consciousness,(D) Pain,A,A,True,20.0,0,-0.029283523559570312,-8.245658874511719,-7.96786642074585,-3.905561923980713,5.466712172657035,-2.8353162297292265,-1.5956100937807483,0.6200891682899305,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,A,A,True,True
The vocalizations of deaf and normal children differ in that,"(A) during the second half of the first year, normal children increase the variety of sound, whereas deaf children do now","(B) deaf children vocalize more than normal children during the first 6 months, then less thereafter","(C) normal children babble extensively, whereas deaf infants do not","(D) during the first 6 months, normal children increase their range of sound output more than deaf children do",A,D,False,20.0,0,-7.624512195587158,-6.8729472160339355,-9.499446868896484,-0.0037457942962646484,-2.128516499370553,-1.4626045712514433,-3.127190541931383,4.521905297974379,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,D,D,False,False
"Studies of persons in their 70s, 80s, and 90s indicate thar intellectual functioning is most closely related to",(A) social support,(B) life experience,(C) chronological age,(D) health status,A,B,False,20.0,0,-9.62349796295166,-0.015765195712447166,-9.123188018798828,-6.968644618988037,-4.127502266735055,5.394577449070045,-2.7509316918337268,-2.4429935267173937,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,B,B,False,False
An organizational psychologist would most likely recommend the use of vestibule training for which of the following jobs?,(A) airline pilot,(B) word processor,(C) salesperson.,(D) clinical psychologist.,A,A,True,20.0,0,-0.8084628582000732,-7.059322357177734,-1.1796796321868896,-6.811946868896484,4.687532838016532,-1.648979712395242,5.192576694778212,-2.286295776625841,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,A,C,True,False
"In learned helplessness research, it was found that giving solvable problems eliminated the helplessness caused by unsolvable problems. It is argued thar this is due to",(A) a change in attribution with the realization that one can sometimes succeed,(B) the shift in locus of control from internal to external,(C) a practice effect,(D) the application of a partial reinforcement schedule,A,A,True,20.0,0,-0.1649855375289917,-6.778531551361084,-10.303885459899902,-9.561744689941406,5.331010158687613,-1.3681889065785917,-3.931629132934801,-5.036093597670763,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,A,A,True,True
Dr. Marcos Manzetti uses a “sliding scale” that is based on a client’s current income to set his fees for therapy. Dr. Manzetti’s practice is:,(A) ethically acceptable since it serves the best interests of his clients.,(B) explicitly recommended in the ethical guidelines.,(C) ethically unacceptable since it treats clients inequitably.,(D) explicitly prohibited in the ethical guidelines.,A,A,True,20.0,0,-0.5585929155349731,-5.437331199645996,-1.3122694492340088,-6.6249098777771,4.937402780681632,-0.026988554863503822,5.059986877731093,-2.099258785506456,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,A,C,True,False
"When using multiple regression, multicollinearity occurs when:",(A) the predictors are highly correlated with one another.,(B) the criterion measures are highly correlated with one another.,(C) there is a low correlation between the predictors and the criterion.,(D) there is a high (significant) correlation between the predictors and the criterion.,A,A,True,20.0,0,-0.049308061599731445,-8.998188018798828,-12.056929588317871,-9.812185287475586,5.4466876346168736,-3.587845374016336,-5.68467326135277,-5.2865341952049425,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,A,A,True,True
"On average, men perform better than women on all the following tasks with the exception of:",(A) Simultaneous processing,(B) Mental rotation,(C) Target-directed motor skills,(D) Mathematical problem solving,A,D,False,20.0,0,-1.4218538999557495,-5.155980587005615,-5.406193733215332,-0.29489946365356445,4.0741417962608555,0.25436205777687704,0.9660625937497693,4.230751628617079,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,D,D,False,False
The mental retardation associated with PKU is preventable with:,(A) removal of environmental toxins.,(B) blood transfusions.,(C) a special diet.,(D) antibiotics.,A,C,False,20.0,0,-10.869766235351562,-11.243284225463867,-0.006756783928722143,-11.561400413513184,-5.3737705391349575,-5.832941580681375,6.365499543036379,-7.03574932124254,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,C,C,False,False
"As used in personnel selection, “adverse impact” means that",(A) a group covered by law is hired at a rate less than 80% of that of the group with the best selection,(B) selection interviews are “adverse” for groups covered by law and result in differential selection rates,(C) adverse conditions exist for selection of groups covered bylaw,(D) the total selection process results in unequal results for one or more groups covered by law,A,D,False,20.0,0,-8.748967170715332,-8.555784225463867,-10.373674392700195,-0.03075408935546875,-3.252971474498727,-3.145441580681375,-4.001418065735094,4.494897002915175,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,D,D,False,False
Thomas and Chess’s (1977) “goodness-of-fit” model predicts that maladjustment in children is due to:,(A) a mismatch between the child’s basic temperament and his/her parents’ childrearing practices.,(B) a mismatch between the child’s attachment behaviors and his/her parents’ response to those behaviors.,(C) inconsistencies in the parenting styles of the child’s caregivers.,(D) inconsistencies in the child’s sense of self and the feedback the child receives from caregivers about his/her behavior.,A,A,True,20.0,0,-0.28318965435028076,-3.905963182449341,-8.249088287353516,-1.6562373638153076,5.212806041866324,1.5043794623331515,-1.8768319603884143,2.869413728455336,-5.495995696216605,-5.410342644782492,-6.372256326965101,-4.525651092270643,A,A,True,True
