question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons","(A) an average of 10 times, with an rms deviation of about 4","(B) an average of 10 times, with an rms deviation of about 3","(C) an average of 10 times, with an rms deviation of about 1","(D) an average of 10 times, with an rms deviation of about 0.1",B,-2.4507625102996826,-3.0125925540924072,-3.2619683742523193,-3.3250925540924072,A,False
"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is",(A) 500 nm,(B) 550 nm,(C) 600 nm,(D) 650 nm,C,-2.8833658695220947,-3.1333658695220947,-3.5661849975585938,-3.8838043212890625,A,False
Which of the following is true about any system that undergoes a reversible thermodynamic process?,(A) There are no changes in the internal energy of the system.,(B) The temperature of the system remains constant during the process.,(C) The entropy of the system and its environment remains unchanged.,(D) The entropy of the system and its environment must increase.,C,-3.3359034061431885,-3.5804390907287598,-3.7027158737182617,-3.1420865058898926,D,False
The best type of laser with which to do spectroscopy over a range of visible wavelengths is,(A) a dye laser,(B) a helium-neon laser,(C) an excimer laser,(D) a ruby laser,A,-2.3585829734802246,-3.295091152191162,-3.108069658279419,-3.046031951904297,A,True
Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following?,(A) The Heisenberg uncertainty principle,(B) The Pauli exclusion principle,(C) The Bohr model of the atom,(D) Nuclear hyperfine coupling,B,-2.601405382156372,-2.7886533737182617,-2.8491532802581787,-2.66438627243042,A,False
Which of the following gives the total spin quantum number of the electrons in the ground state of neutral nitrogen (Z = 7)?,(A) 1/2,(B) 1,(C) 3/2,(D) 5/2,C,-3.043935775756836,-3.5444376468658447,-3.855602502822876,-3.7945852279663086,A,False
"Consider three identical, ideal capacitors. The first capacitor is charged to a voltage and then disconnected from the battery. The other two capacitors, initially uncharged and connected in series, are then connected across the first capacitor. What is the final voltage on the first capacitor?",(A) V_0/5,(B) V_0/3,(C) V_0/2,(D) 2V_0/3,D,-2.967100143432617,-3.029493808746338,-3.028531312942505,-3.5297937393188477,A,False
"Protons used in cancer therapy are typically accelerated to about 0.6c. How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",(A) 0.25mc^2,(B) 0.60mc^2,(C) 0.67mc^2,(D) 1.25mc^2,A,-2.466993808746338,-2.466993808746338,-3.6538503170013428,-3.8425426483154297,A,True
De Broglie hypothesized that the linear momentum and wavelength of a free massive particle are related by which of the following constants?,(A) Planck’s constant,(B) Boltzmann’s constant,(C) The Rydberg constant,(D) The speed of light,A,-2.9788906574249268,-3.288905382156372,-3.4170336723327637,-3.3553595542907715,A,True
"If the total energy of a particle of mass m is equal to twice its rest energy, then the magnitude of the particle’s relativistic momentum is",(A) mc/2,(B) mc/(2^(1/2)),(C) mc,(D) (3^(1/2))mc,D,-2.9940714836120605,-3.6803531646728516,-4.239618301391602,-3.807879686355591,A,False
"In the diamond structure of elemental carbon, the nearest neighbors of each C atom lie at the corners of a",(A) square,(B) hexagon,(C) cube,(D) tetrahedron,D,-3.0127761363983154,-3.199897289276123,-2.8856301307678223,-3.448432207107544,C,False
The coefficient of static friction between a small coin and the surface of a turntable is 0.30. The turntable rotates at 33.3 revolutions per minute. What is the maximum distance from the center of the turntable at which the coin will not slide?,(A) 0.024 m,(B) 0.048 m,(C) 0.121 m,(D) 0.242 m,D,-2.8570852279663086,-2.919853925704956,-2.981435775756836,-3.669976234436035,A,False
The sign of the charge carriers in a doped semiconductor can be deduced by measuring which of the following properties?,(A) Specific heat,(B) Thermal conductivity,(C) Electrical resistivity,(D) Hall coefficient,D,-3.1371893882751465,-2.949897289276123,-2.946716070175171,-3.4489824771881104,C,False
The primary source of the Sun’s energy is a series of thermonuclear reactions in which the energy produced is c^2 times the mass difference between,(A) two hydrogen atoms and one helium atom,(B) four hydrogen atoms and one helium atom,(C) six hydrogen atoms and two helium atoms,(D) three helium atoms and one carbon atom,B,-2.5679032802581787,-3.065808057785034,-3.5016796588897705,-3.132899522781372,A,False
Electromagnetic radiation provides a means to probe aspects of the physical universe. Which of the following statements regarding radiation spectra is NOT correct?,"(A) Lines in the infrared, visible, and ultraviolet regions of the spectrum reveal primarily the nuclear structure of the sample.",(B) The wavelengths identified in an absorption spectrum of an element are among those in its emission spectrum.,(C) Absorption spectra can be used to determine which elements are present in distant stars.,(D) Spectral analysis can be used to identify the composition of galactic dust.,A,-2.7547476291656494,-2.997753858566284,-3.1177358627319336,-2.4998373985290527,D,False
