question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
In which country does language pose a centrifugal force?,(A) Canada,(B) United States,(C) Brazil,(D) Norway,A,A,True,20.0,0,-0.4367442727088928,-3.6230714321136475,-1.686790108680725,-2.062119960784912,2.7617856182914693,-0.32579114836698864,1.5747544415741381,1.024429919566804,-3.198529891000362,-3.297280283746659,-3.2615445502548632,-3.086549880351716,A,A,True,True
The multiplier effect is,(A) the addition of non-basic workers to an urban economy that has added more basic workers.,(B) a ratio of urban to rural workers in an economy.,(C) the ratio of city workers to farm workers in an economy.,(D) the addition of rural jobs created by the urban economy.,A,D,False,20.0,0,-3.1066136360168457,-4.4947662353515625,-3.8566136360168457,-0.11074750870466232,0.09191625498351641,-1.1974859516049037,-0.5950690857619825,2.975802371647054,-3.198529891000362,-3.297280283746659,-3.2615445502548632,-3.086549880351716,D,D,False,False
Which one of the following demographic factors characterizes stages 4 and 5 in the demographic transition model?,(A) Zero population growth,(B) High mortality rates,(C) High birth rates,(D) High sex ratios,A,A,True,20.0,0,-0.09204176068305969,-4.089542388916016,-3.9654715061187744,-3.2173819541931152,3.1064881303173024,-0.7922621051693568,-0.7039269558639112,-0.13083207384139905,-3.198529891000362,-3.297280283746659,-3.2615445502548632,-3.086549880351716,A,A,True,True
The world systems theory divides the world into,"(A) core, periphery, and semi-periphery.",(B) rich and poor.,(C) developed and undeveloped.,(D) haves and have-nots.,A,A,True,20.0,0,-0.019860856235027313,-6.57383394241333,-5.580019474029541,-6.648403167724609,3.178669034765335,-3.2765536586666713,-2.318474923774678,-3.561853287372893,-3.198529891000362,-3.297280283746659,-3.2615445502548632,-3.086549880351716,A,A,True,True
Which crop began the Third Agricultural Revolution?,(A) Rice,(B) Wheat,(C) Barley,(D) Millet,A,B,False,20.0,0,-1.2246785163879395,-0.6008242964744568,-2.4828007221221924,-2.7336761951446533,1.9738513746124227,2.696455987272202,0.7787438281326708,0.35287368520706286,-3.198529891000362,-3.297280283746659,-3.2615445502548632,-3.086549880351716,B,B,False,False
Which continent has the highest total fertility rates?,(A) Africa,(B) Asia,(C) South America,(D) Europe,A,A,True,20.0,0,-0.02921196259558201,-5.896185874938965,-4.652296543121338,-4.841196060180664,3.16931792840478,-2.598905591192306,-1.3907519928664747,-1.7546461798289479,-3.198529891000362,-3.297280283746659,-3.2615445502548632,-3.086549880351716,A,A,True,True
Which of the following is a push factor?,(A) Dissatisfaction with current jobs,(B) Higher-paying jobs elsewhere,(C) An attractive retirement community elsewhere,(D) A pleasant climate,A,A,True,20.0,0,-0.7409515976905823,-0.7418103814125061,-3.997195243835449,-5.243690013885498,2.45757829330978,2.5554699023341527,-0.735650693580586,-2.157140133533782,-3.198529891000362,-3.297280283746659,-3.2615445502548632,-3.086549880351716,A,B,True,False
Which of the following best illustrates the definition of a functional region?,(A) A map showing Atlanta as a hub for Delta Airlines,(B) An article describing the region referred to as the South,(C) A map showing North Carolina's one hundred counties,(D) An essay explaining the region known as the Bible Belt,A,A,True,20.0,0,-0.8304992914199829,-1.7024039030075073,-2.7019362449645996,-1.2027140855789185,2.368030599580379,1.5948763807391515,0.5596083052902636,1.8838357947727977,-3.198529891000362,-3.297280283746659,-3.2615445502548632,-3.086549880351716,A,A,True,True
"Of these, the map using the smallest map scale would be the map of",(A) the world.,"(B) Atlanta, Georgia.","(C) Main Street, Small Town, Ohio.",(D) Pennsylvania.,A,A,True,20.0,1,-0.34492188692092896,-3.463003158569336,-2.839796781539917,-1.7173820734024048,2.8597008107753936,-0.16998582581193977,0.5285274645138998,1.3214785306675672,-3.2046226976963226,-3.293017332757396,-3.3683242460538168,-3.038860604069972,A,A,True,True
Which of the following capital cities is located OUTSIDE the central core area of the country?,"(A) Abuja, Nigeria","(B) Paris, France","(C) London, United Kingdom","(D) Cairo, Egypt",A,A,True,20.0,1,-1.2803665399551392,-1.6559630632400513,-1.405881643295288,-1.4059040546417236,1.9242561577411834,1.637054269517345,1.9624426027585287,1.6329565494282483,-3.2046226976963226,-3.293017332757396,-3.3683242460538168,-3.038860604069972,A,C,True,False
An earlier boundary formed before meticulous geographic knowledge and mapping was available is known as,(A) an antecedent boundary.,(B) a geometric boundary.,(C) a relict boundary.,(D) a subsequent boundary.,A,A,True,20.0,1,-0.7386153340339661,-4.616905212402344,-0.7414377331733704,-4.122815132141113,2.4660073636623565,-1.3238878796449476,2.6268865128804464,-1.0839545280711413,-3.2046226976963226,-3.293017332757396,-3.3683242460538168,-3.038860604069972,A,C,True,False
Which of the following statements is NOT part of Gunnar Myrdal's theory of cumulative causation?,(A) Developing and developed regions share similarly in wealth through trade.,(B) The core will always dominate the periphery.,(C) Growth and prosperity of the core exists at the expense of the periphery.,"(D) Regions with initial advantage keep and expand it as they attract labor, capital, and trade.",A,A,True,20.0,1,-0.031722553074359894,-5.012529373168945,-5.3916401863098145,-4.5791401863098145,3.1729001446219627,-1.7195120404115491,-2.0233159402559977,-1.5402795822398425,-3.2046226976963226,-3.293017332757396,-3.3683242460538168,-3.038860604069972,A,A,True,True
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",(A) First,(B) Second,(C) Third,(D) Fourth,A,D,False,20.0,1,-2.889857530593872,-2.5149474143981934,-1.1317716836929321,-0.6325141787528992,0.3147651671024505,0.7780699183592028,2.2365525623608846,2.4063464253170728,-3.2046226976963226,-3.293017332757396,-3.3683242460538168,-3.038860604069972,D,D,False,False
What is the chief religion practiced in Europe?,(A) Christianity,(B) Islam,(C) Hinduism,(D) Animism,A,A,True,20.0,1,-0.013417555019259453,-5.92418909072876,-5.4181904792785645,-6.304405212402344,3.191205142677063,-2.6311717579713636,-2.0498662332247477,-3.265544608332372,-3.2046226976963226,-3.293017332757396,-3.3683242460538168,-3.038860604069972,A,A,True,True
The purpose for the creation of NATO was to,(A) defend North America and Western Europe against the threat of communism.,(B) form an economic alliance for trade between Europe and North America.,(C) defend Europe against a second Nazi invasion.,(D) defend northern Europe against Chinese missiles.,A,A,True,20.0,1,-0.022483471781015396,-6.373622894287109,-4.769853591918945,-5.461822032928467,3.182139225915307,-3.080605561529713,-1.4015293458651286,-2.422961428858495,-3.2046226976963226,-3.293017332757396,-3.3683242460538168,-3.038860604069972,A,A,True,True
Which of the following items below is NOT considered a barrier to the diffusion of an innovation?,(A) Internet,(B) Distance,(C) Cultural obstacles,(D) Government interference,A,A,True,20.0,1,-0.020312685519456863,-6.017674446105957,-5.946211814880371,-4.8850626945495605,3.1843100121768657,-2.724657113348561,-2.5778875688265543,-1.8462020904795886,-3.2046226976963226,-3.293017332757396,-3.3683242460538168,-3.038860604069972,A,A,True,True
Which type of economic activity is most closely tied to the physical environment?,(A) Primary,(B) Secondary,(C) Tertiary,(D) Quaternary,A,A,True,20.0,2,-0.013527249917387962,-6.368690013885498,-6.055353164672852,-5.93287992477417,3.1886348306919294,-3.2132382737036096,-2.7530063144125356,-2.9050964391984357,-3.2021620806093174,-3.1554517401818885,-3.302346850260316,-3.027783485575734,A,A,True,True
The theory that every society develops economically according to a five-stage pattern of growth is attributed to,(A) Rostow.,(B) Ravenstein.,(C) von Thünen.,(D) Burgess.,A,A,True,20.0,2,-0.04403713345527649,-5.017519474029541,-5.513653755187988,-4.522363185882568,3.158124947154041,-1.8620677338476526,-2.2113069049276723,-1.4945797003068342,-3.2021620806093174,-3.1554517401818885,-3.302346850260316,-3.027783485575734,A,A,True,True
Which of the following is a centrifugal force in a country?,(A) Religious differences,(B) A national holiday,(C) An attack by another country,(D) A charismatic national leader,A,A,True,20.0,2,-0.06139982491731644,-4.808899879455566,-3.435797929763794,-4.434695243835449,3.140762255692001,-1.653448139273678,-0.133451079503478,-1.406911758259715,-3.2021620806093174,-3.1554517401818885,-3.302346850260316,-3.027783485575734,A,A,True,True
The first stage of the demographic transition exhibits,(A) high birth rates with high but fluctuating death rates.,(B) declining birth rates with continuing high death rates.,(C) low birth rates with continuing high death rates.,(D) high birth rates with declining death rates.,A,A,True,20.0,2,-0.17496532201766968,-2.545569658279419,-3.5441136360168457,-3.420091152191162,3.0271967585916477,0.6098820819024695,-0.24176678575652977,-0.39230766661542793,-3.2021620806093174,-3.1554517401818885,-3.302346850260316,-3.027783485575734,A,A,True,True
What was the primary reason the Green Revolution did NOT help Africa much?,(A) It targeted crops Africans don't grow and eat.,(B) It required sophisticated machinery.,(C) Population growth has fallen so drastically that Africans don't need the increased food production.,(D) African agricultural production went up without its help.,A,A,True,20.0,2,-0.12793219089508057,-3.2475242614746094,-4.245921611785889,-2.9988298416137695,3.074229889714237,-0.09207252129272092,-0.9435747615255727,0.028953643961964648,-3.2021620806093174,-3.1554517401818885,-3.302346850260316,-3.027783485575734,A,A,True,True
What is the most rapidly growing religion in the United States today?,(A) Islam,(B) Christianity,(C) Hinduism,(D) Buddhism,A,A,True,20.0,2,-0.3642116189002991,-2.108631134033203,-3.294853925704956,-2.1090009212493896,2.8379504617090183,1.0468206061486853,0.007492924555359881,0.9187825643263445,-3.2021620806093174,-3.1554517401818885,-3.302346850260316,-3.027783485575734,A,A,True,True
The irregularity of the wet monsoon in South Asia in recent years may have a significant negative effect on which of the following?,(A) Food production,(B) Population patterns,(C) Wildlife conservation efforts,(D) Tourism,A,A,True,20.0,2,-0.026029212400317192,-6.514710903167725,-4.838350296020508,-4.965035915374756,3.176132868209,-3.359259162985836,-1.5360034457601919,-1.9372524297990217,-3.2021620806093174,-3.1554517401818885,-3.302346850260316,-3.027783485575734,A,A,True,True
"The ""melting pot"" theory of combining several immigrant groups into one mainstream culture is called",(A) amalgamation theory.,(B) acculturation.,(C) ethnic islands.,(D) ethnic clustering.,A,B,False,20.0,2,-1.1381103992462158,-0.518760621547699,-4.0876336097717285,-3.138110399246216,2.0640516813631016,2.6366911186341895,-0.7852867595114126,-0.11032691367048164,-3.2021620806093174,-3.1554517401818885,-3.302346850260316,-3.027783485575734,B,B,False,False
The climate of Great Britain is milder than most other places along the same latitude for which of the following reasons?,"(A) The Gulf Stream brings warm waters to Great Britain, raising the temperature of winds that blow onto the island.",(B) Hot springs throughout the country raise the temperature of the surrounding land and air.,(C) Mountain ranges in the north of Great Britain act as a barrier to cold winds blowing from the Arctic.,(D) Small landmasses generate their own local climate and are largely unaffected by latitude.,A,A,True,20.0,3,-0.02340099588036537,-6.382275581359863,-5.273403167724609,-5.147363185882568,3.3093984651301676,-3.1434515293027894,-2.0005203345693494,-2.177640219878716,-3.332799461010533,-3.238824052057074,-3.27288283315526,-2.9697229660038524,A,A,True,True
A strong movement away from all religions is called,(A) secularism.,(B) heathenism.,(C) sacrilege.,(D) nationalism.,A,A,True,20.0,3,-0.03267141804099083,-5.392519474029541,-6.133711814880371,-5.889710903167725,3.300128042969542,-2.153695421972467,-2.860828981725111,-2.919987937163872,-3.332799461010533,-3.238824052057074,-3.27288283315526,-2.9697229660038524,A,A,True,True
The influence of neo-Malthusianism can be seen in,(A) government programs for birth control and planning.,(B) famine relief.,(C) increased spending in social welfare programs.,(D) increased total fertility rates.,A,A,True,20.0,3,-0.09614607691764832,-3.963350534439087,-4.398877143859863,-3.5913503170013428,3.2366533840928846,-0.724526482382013,-1.1259943107046033,-0.6216273509974903,-3.332799461010533,-3.238824052057074,-3.27288283315526,-2.9697229660038524,A,A,True,True
"Historically, the world's major languages have spread by all of the following methods EXCEPT",(A) Sanskrit records.,(B) migration.,(C) trade.,(D) conquest.,A,A,True,20.0,3,-0.12022705376148224,-5.054405212402344,-4.929405212402344,-2.4961681365966797,3.2125724072490507,-1.8155811603452698,-1.6565223792470838,0.47355482940717275,-3.332799461010533,-3.238824052057074,-3.27288283315526,-2.9697229660038524,A,A,True,True
An isobar map shows lines connecting all points of equal,(A) atmospheric pressure,(B) surface temperature,(C) elevation,(D) precipitation,A,A,True,20.0,3,-0.015480230562388897,-5.94883394241333,-6.268345832824707,-6.771185874938965,3.317319230448144,-2.710009890356256,-2.995462999669447,-3.8014629089351124,-3.332799461010533,-3.238824052057074,-3.27288283315526,-2.9697229660038524,A,A,True,True
