question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Earth's seasons are caused by which of the following?,(A) The tilt of Earth's axis of rotation relative to the ecliptic as Earth revolves around the Sun,(B) The varying amount of sunspot activity,(C) Earth's orbit about the Sun as an ellipse rather than a circle,(D) The rotation of Earth during a 24-hour day,A,A,True,20.0,0,-0.7066436409950256,-4.84286642074585,-5.59220027923584,-5.780470371246338,2.7361020267009737,-1.693021004150311,-2.3987407719095546,-2.0590244464576246,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
The atmospheric concentration of which of the following gases is most likely to be directly affected by widespread deforestation?,(A) Carbon dioxide,(B) Ozone,(C) Nitrous oxide,(D) Argon,A,A,True,20.0,0,-1.5465646982192993,-2.546833038330078,-2.671821117401123,-3.796786069869995,1.8961809694767,0.6030123782654604,0.5216383899251622,-0.07534014508128184,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
What was the name of Huey Lewis band?,(A) The News,(B) The Attractions,(C) The Silver Bullet Band,(D) Louie and Dewey,A,A,True,20.0,0,-1.4214236736297607,-3.6717090606689453,-2.296827554702759,-4.437320709228516,2.0213219940662386,-0.5218636440734068,0.8966319526235265,-0.7158747844398023,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
Backgammon is a how many player game?,(A) Two,(B) Three,(C) Four,(D) Six,A,A,True,20.0,0,-1.444788932800293,-2.0624687671661377,-2.562429666519165,-3.499929666519165,1.9979567348957064,1.0873766494294008,0.6310298408071202,0.22151625826954824,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
In what state is the 1999 movie Magnolia' set?,(A) California,(B) South Carolina,(C) Georgia,(D) Texas,A,A,True,20.0,0,-1.249664545059204,-2.99992036819458,-3.8748090267181396,-4.374841690063477,2.193081122636795,0.14992504840095844,-0.6813495193918544,-0.6533957652747633,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
Who wrote 'A Tale of Two Cities'?,(A) Charles Dickens,(B) Nathaniel Hawthorne,(C) Washington Irving,(D) Mark Twain,A,A,True,20.0,0,-0.9881341457366943,-5.499541759490967,-5.374480724334717,-4.749831199645996,2.454611521959305,-2.3496963428954283,-2.1810212170084315,-1.0283852748572828,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
What exercise apparatus is used during a 'Spinning' class?,(A) stationary bicycle,(B) treadmill,(C) rowing machine,(D) barbells,A,A,True,20.0,0,-1.4995416402816772,-2.749925136566162,-2.249959945678711,-2.999948501586914,1.943204027414322,0.3999202800293764,0.9434995616475743,0.7214974232017992,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
When FDR carried states in the presidential election of 1932 how many states did he not carry?,(A) six,(B) seven,(C) eight,(D) ten,A,B,False,20.0,0,-3.448715925216675,-1.9452606439590454,-2.1405580043792725,-2.9530844688415527,-0.0059702575206754815,1.204584772636493,1.0529015029470128,0.7683614559471605,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,B,B,False,False
To ward off bad luck what do many people do to wood?,(A) knock on it,(B) kiss it,(C) thank it,(D) scratch it,A,A,True,20.0,0,-0.968246579170227,-3.718444585800171,-5.217809677124023,-3.4685866832733154,2.4744990885257723,-0.5685991692046324,-2.024350169797738,0.25285924151539785,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
What day of the week is sometimes called 'hump day'?,(A) Wednesday,(B) Thursday,(C) Friday,(D) Saturday,A,A,True,20.0,0,-1.273134469985962,-3.406181812286377,-4.281040191650391,-4.656012058258057,2.1696111977100374,-0.25633639569083844,-1.0875806843241054,-0.9345661334693434,-3.4427456676959993,-3.1498454165955385,-3.1934595073262853,-3.7214459247887133,A,A,True,True
