task,QID,AnsRefIDs,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,20.0,0,-0.9910263419151306,-0.48933178186416626,0.1566151022911071,-0.03777389747556298,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,20.0,0,-1.3271992206573486,-0.32917898893356323,-0.17955777645111093,0.12237889545504005,-1.1476414442062377,-0.4515578843886033,No,True,False,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,20.0,3,-0.9871246218681335,-0.4873804450035095,0.15606602396195135,-0.03384306158792849,-1.143190645830085,-0.45353738341558103,No,False,True,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,20.0,2,-0.991283118724823,-0.491283118724823,0.15892721877122917,-0.040839450589070736,-1.1502103374960522,-0.45044366813575226,No,True,True,False
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,20.0,4,-0.7061304450035095,-0.7063295841217041,0.43311781417578454,-0.250675641236982,-1.139248259179294,-0.4556539428847221,Yes,True,True,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,20.0,4,-1.7102106809616089,-0.21331694722175598,-0.5709624217823148,0.24233699566296613,-1.139248259179294,-0.4556539428847221,No,True,False,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-0.9873804450035095,-0.48712462186813354,0.16026099920272818,-0.035566737479530264,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,20.0,2,-1.3274039030075073,-0.3254522383213043,-0.17719356551145515,0.12499142981444794,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,20.0,1,-0.9873804450035095,-0.48953139781951904,0.15185519829392424,-0.0334602649556473,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,20.0,1,-0.991283118724823,-0.49148309230804443,0.14795252457261077,-0.03541195944417269,-1.1392356432974338,-0.45607113286387174,No,True,True,False
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,2,-0.9836760759353638,-0.48367607593536377,0.1665342615606884,-0.03323240779961151,-1.1502103374960522,-0.45044366813575226,No,False,True,True
