question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",(A) amounts of force,(B) accelerations,(C) Both,(D) Neither,A,C,False,20.0,0,-6.8590288162231445,-7.861307621002197,-0.0019813196267932653,-7.872810363769531,0.19411712171346274,-0.39641840746051216,7.023433983715342,0.3530862693845531,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,C,C,False,False
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,(A) 9.8 m/s2,(B) more than 9.8 m/s2,(C) less than 9.8 m/s2,(D) Cannot say unless the speed of throw is given.,A,A,True,20.0,0,-0.0002141961012966931,-12.380084991455078,-12.792032241821289,-12.20966911315918,7.052931741835311,-4.915195777913393,-5.766616938479154,-3.9837724800050953,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,A,A,True,True
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,(A) 7 N,(B) 5 N,(C) 10 N,(D) 12 N,A,A,True,20.0,0,-0.4824584722518921,-1.0111522674560547,-4.522807598114014,-5.160505771636963,6.570687465684715,6.45373694608563,2.5026077052281215,3.0653908615171215,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,A,A,True,True
Carbon-14 is primarily produced by cosmic radiation in the,(A) atmosphere,(B) food we eat,(C) Earth’s interior,(D) fallout of nuclear bomb tests,A,A,True,20.0,0,-0.00021479197312146425,-9.30118465423584,-12.11176586151123,-9.677231788635254,7.052931145963486,-1.8362954406941547,-5.086350558169095,-1.4513351554811695,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,A,A,True,True
When you look at the red petals of a rose the color light you're seeing is,(A) red.,(B) green.,(C) white minus red.,(D) a mixture of green and yellow.,A,C,False,20.0,0,-6.177949905395508,-8.0492525100708,-0.0026344996877014637,-8.927157402038574,0.8751960325410995,-0.5843632965291157,7.022780803654434,-0.7012607688844898,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,C,C,False,False
As more lamps are connected in parallel in a circuit the current in the power source,(A) increases.,(B) decreases.,(C) remains much the same.,(D) Need more information.,A,A,True,20.0,0,-0.02893267199397087,-10.108219146728516,-3.5748748779296875,-12.127069473266602,7.024213265942636,-2.6433299331868305,3.4505404254124477,-3.901172840112517,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,A,A,True,True
A step-up transformer in an electrical circuit can step up,(A) voltage,(B) energy,(C) Both of these,(D) Neither of these,A,A,True,20.0,0,-0.012173167429864407,-12.85482120513916,-4.416737079620361,-11.756516456604004,7.040972770506743,-5.389931991597475,2.608678223721774,-3.5306198234499195,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,A,A,True,True
Thermal conduction involves mainly,(A) electrons,(B) protons,(C) neutrons,(D) ions,A,D,False,20.0,0,-2.9736175537109375,-8.38010025024414,-9.01907730102539,-0.05466928333044052,4.07952838422567,-0.9152110367024555,-1.9936619976832555,8.171227349823644,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,D,D,False,False
If the Sun collapsed to become a black hole Planet Earth would,(A) continue in its present orbit.,(B) likely be sucked into the black hole.,(C) be pulled apart by tidal forces.,(D) Both C and D.,A,D,False,20.0,0,-13.085306167602539,-10.145232200622559,-5.8082594871521,-0.0030952405650168657,-6.032160229665932,-2.6803429870808735,1.2171558161900355,8.222801392589068,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,D,D,False,False
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",(A) positive,(B) negative,(C) Both of these,(D) Neither of these,A,A,True,20.0,0,-0.0018838620744645596,-6.898759841918945,-9.045522689819336,-9.145752906799316,7.051262075862143,0.5661293716227398,-2.020107386477201,-0.919856273645232,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,A,A,True,True
The highest ocean tides occur when Earth and the Moon are,(A) lined up with the Sun,(B) at right angles to the Sun,(C) at any angle to the Sun,(D) lined up during spring,A,A,True,20.0,0,-7.927100523374975e-05,-10.480101585388184,-10.345196723937988,-10.910828590393066,7.0530666669313735,-3.0152123718464985,-3.319781420595853,-2.684931957238982,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,A,A,True,True
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",(A) move at a constant speed in a straight line,(B) accelerate at a constant rate in a straight line,(C) come to rest,(D) increase its amount of inertia,A,A,True,20.0,0,-3.814608498942107e-05,-11.310373306274414,-13.168911933898926,-13.037581443786621,7.053107791851618,-3.845484092732729,-6.143496630556791,-4.811684810632537,-7.053145937936607,-7.464889213541685,-7.025415303342135,-8.225896633154084,A,A,True,True
A motor and a generator are,(A) similar devices,(B) very different devices,(C) forms of transformers,(D) energy sources,A,C,False,20.0,1,-12.729846954345703,-13.042180061340332,-8.546912431484088e-05,-12.712638854980469,-5.923440434168766,-5.330611345494232,7.435251194565357,-4.4930756094940385,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,C,C,False,False
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,(A) hydrogen.,(B) oxygen.,(C) nitrogen.,(D) But all have the same speed on average.,A,A,True,20.0,1,-7.617171650053933e-05,-11.371335983276367,-12.682135581970215,-10.397401809692383,6.8063303484604365,-3.659767267430267,-5.246798918280543,-2.1778385642059526,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,A,A,True,True
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",(A) hydrogen,(B) oxygen,(C) nitrogen,(D) All have same average speed,A,A,True,20.0,1,-0.00047898630145937204,-11.257637977600098,-12.130870819091797,-7.748441219329834,6.805927533875478,-3.5460692617539973,-4.695534155402125,0.47112202615659626,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,A,A,True,True
The mutual induction of electric and magnetic fields can produce,(A) light,(B) energy,(C) Both of these,(D) Neither of these,A,C,False,20.0,1,-11.377781867980957,-7.5609540939331055,-0.0006244609830901027,-10.022045135498047,-4.57137534780402,0.1506146219129949,7.4347122027065815,-1.8024818900116166,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,C,C,False,False
"As a blinking light source approaching you gains speed, you see the frequency of flashes",(A) increase.,(B) decrease.,(C) remain unchanged.,(D) None of these.,A,A,True,20.0,1,-0.0004225076118018478,-8.002336502075195,-9.923863410949707,-10.581955909729004,6.805984012565135,-0.29076778622909494,-2.4885267472600354,-2.3623926642425737,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,A,A,True,True
The neutrons in an atom are normally found,(A) inside the nucleus,(B) outside the nucleus,(C) Either of these,(D) Neither of these,A,A,True,20.0,1,-6.198863957251888e-06,-16.18419075012207,-15.00699234008789,-18.3277645111084,6.80640032131298,-8.47262203427597,-7.571655676398219,-10.108201265621968,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,A,A,True,True
"A certain element emits 1 alpha particle, and its products then emit 2 beta particles in succession. The atomic number of the resulting element is changed by",(A) zero,(B) minus 1,(C) minus 2,(D) plus 1,A,C,False,20.0,1,-3.272886276245117,-1.0838414430618286,-0.620736300945282,-2.4741523265838623,3.53352024393182,6.627727272784272,6.81460036274439,5.745410918902568,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,C,C,False,False
When an increase in speed doubles the kinetic energy of a moving body its momentum,(A) increases but less than doubles,(B) doubles,(C) more than doubles,(D) depends on factors not stated,A,B,False,20.0,1,-11.276100158691406,-0.0008779448689892888,-9.002135276794434,-10.45996379852295,-4.469693638514469,7.710690770977111,-1.566798613104762,-2.240400553036519,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,B,B,False,False
Polarization is a property of,(A) transverse waves,(B) longitudinal waves,(C) all waves,(D) None of these,A,A,True,20.0,1,-0.0007429937249980867,-11.902167320251465,-7.225886344909668,-13.762386322021484,6.805663526451939,-4.1905986044053645,0.20945031878000364,-5.542823076535054,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,A,A,True,True
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",(A) 25 cm,(B) 25 m,(C) 50 cm,(D) None of these,A,B,False,20.0,1,-10.922146797180176,-0.0007157119689509273,-7.533112049102783,-9.167757034301758,-4.115740277003239,7.7108530038771494,-0.09777538541311159,-0.9481937888153276,-6.806406520176937,-7.7115687158461,-7.435336663689672,-8.21956324548643,B,B,False,False
