Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,0,-2.5382840633392334,-3.5452535152435303,-2.2912486996501684,-3.7922888789325953,-0.24703536368906498,Yes,True
2.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,0,-3.7042202949523926,-2.208552837371826,-3.4571849312633276,-2.455588201060891,-0.24703536368906498,No,True
3.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao helping Yan?,No,0,-3.4831795692443848,-2.4831795692443848,-3.23614420555532,-2.7302149329334497,-0.24703536368906498,No,True
4.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,0,-3.3392510414123535,-2.841887950897217,-3.0922156777232885,-3.0889233145862818,-0.24703536368906498,No,False
5.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao helping Yan?,Yes,0,-2.5950629711151123,-5.096665382385254,-2.3480276074260473,-5.343700746074319,-0.24703536368906498,Yes,True
6.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao hindering Yan?,No,0,-3.3630733489990234,-2.3700428009033203,-3.1160379853099585,-2.6170781645923853,-0.24703536368906498,No,True
7.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao helping Yan?,No,0,-3.7626473903656006,-2.7626473903656006,-3.5156120266765356,-3.0096827540546656,-0.24703536368906498,No,True
8.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,0,-3.7816057205200195,-3.785938262939453,-3.5345703568309546,-4.032973626628518,-0.24703536368906498,Yes,True
9.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,0,-3.2831907272338867,-4.283190727233887,-3.0361553635448217,-4.530226090922952,-0.24703536368906498,Yes,True
10.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,0,-3.559168815612793,-3.070603370666504,-3.312133451923728,-3.317638734355569,-0.24703536368906498,Yes,False
11.0,3.0,social-interactions,3.0,antonym,2.0,Chao is introducing obstacles in the path of Yan.,Is Chao helping Yan?,No,0,-4.451741695404053,-2.9517416954040527,-4.204706331714988,-3.1987770590931177,-0.24703536368906498,No,True
12.0,3.0,social-interactions,3.0,antonym,2.0,Chao is introducing obstacles in the path of Yan.,Is Chao hindering Yan?,Yes,0,-3.5200583934783936,-3.524390935897827,-3.2730230297893286,-3.771426299586892,-0.24703536368906498,Yes,True
13.0,4.0,social-interactions,4.0,antonym,1.0,Chao and Yan are working with each other.,Is Chao cooperating with Yan?,Yes,0,-4.445022106170654,-5.452470302581787,-4.197986742481589,-5.699505666270852,-0.24703536368906498,Yes,True
14.0,4.0,social-interactions,4.0,antonym,1.0,Chao and Yan are working with each other.,Is Chao competing with Yan?,No,0,-3.7687339782714844,-2.7758359909057617,-3.5216986145824194,-3.0228713545948267,-0.24703536368906498,No,True
