question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,(A) Bargaining,(B) Satisficing,(C) Accepting,(D) Compromising,B,-8.687254905700684,-0.004755893722176552,-6.749783515930176,-7.124722003936768,B,True
What is the term for the 'rule of thumb' type of bias in decision making?,(A) Framing bias,(B) Hindsight bias,(C) Over-confidence bias,(D) Heuristics,D,-1.445171594619751,-4.0623602867126465,-0.8202093839645386,-1.195131540298462,C,False
What is a normative perspective?,(A) The way things are.,(B) The way things are going to be.,(C) The way things should be.,(D) The way things were.,C,-8.937383651733398,-6.499884128570557,-0.0054376195184886456,-8.499820709228516,C,True
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",(A) The potential for entry into the industry,(B) The threat of substitute products,(C) The power of customers,(D) The level of rivalry,D,-3.968703269958496,-4.093667984008789,-3.0937111377716064,-0.09999788552522659,D,True
Which one of the following political leaders could not be termed a 'transformational' leader?,(A) Margaret Thatcher,(B) Mikhail Gorbachov,(C) Nelson Mandela,(D) Bill Clinton,D,-0.8513977527618408,-5.4684247970581055,-5.156150817871094,-0.6012547612190247,D,True
What is a Gantt chart a type of?,(A) Work flow design,(B) Work schedule design,(C) Work rate design,(D) Work output design,B,-7.562269687652588,-0.008500275202095509,-7.124595642089844,-6.562119960784912,B,True
Which one of the following is a feature of McGregor's Theory X?,(A) Workers enjoy responsibility.,(B) Workers view physical and mental effort as a natural part of work.,(C) Workers like to show initiative.,(D) Workers like to be directed.,D,-5.24989128112793,-2.3748767375946045,-1.257727026939392,-0.5037020444869995,D,True
What is the term for power derived from status or position in an organisation?,(A) Referent,(B) Expert,(C) Reward,(D) Legitimate,D,-6.093681812286377,-6.343686103820801,-1.1405867338180542,-0.39447546005249023,D,True
Which writer is most associated with bureaucratic structures?,(A) Henry Fayol,(B) Max Weber,(C) Adam Smith,(D) Mary Parker Follett,B,-4.187283515930176,-0.06304547190666199,-4.624783515930176,-4.124569416046143,B,True
Who of the following is the industrial philanthropist?,(A) Frederick Taylor,(B) Seebohm Rowntree,(C) Henry Ford,(D) Max Weber,B,-9.062185287475586,-5.812222003936768,-0.009788645431399345,-7.374703884124756,C,False
Individualism as a guiding moral philosophy was advocated by which economist?,(A) John Kenneth Galbraith,(B) John Maynard Keynes,(C) Milton Friedman,(D) Alfred Marshall,C,-9.62476921081543,-6.999820709228516,-0.007360819727182388,-6.874831199645996,C,True
The Hawthorn Studies are most associated with which writer?,(A) Mary Parker Follett,(B) Elton Mayo,(C) Lillian Gilbreth,(D) Frederick Taylor,B,-9.437331199645996,-0.009976087138056755,-7.124841690063477,-6.374783515930176,B,True
How can you describe the thinking and outlook of transformational leaders?,(A) Strategic,(B) Operational,(C) Functional,(D) Developmental,A,-10.312420845031738,-8.562429428100586,-7.062462329864502,-0.002839092630892992,D,False
What are the key characteristics of transactional leaders?,"(A) Guiding, mentoring and motivating","(B) Guiding, commanding and motivating","(C) Guiding, demonstrating and motivating","(D) Guiding, mentoring and demonstrating",A,-0.3163607120513916,-3.18742036819458,-1.5702499151229858,-5.1248602867126465,A,True
What is not an assumption underpinning the rational decision making model?,(A) Incomplete information,(B) An agreed goal,(C) A structured problem,(D) High level of certainty regarding the environment,A,-0.7653757929801941,-4.7809247970581055,-4.406053066253662,-0.7651593685150146,D,False
