question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Dr. Delbert Dinwoody is currently treating a 35-year-old client who has received a diagnosis of Alcohol Dependence. With the client's permission, Dr. Dinwoody invites the client's wife to participate in couple therapy. Inviting the wife to participate in therapy is:",(A) acceptable as long as he believes couple therapy will benefit the client's progress in dealing with his alcohol problem.,(B) acceptable as long as the wife is not receiving mental health services from another professional.,"(C) ""unacceptable because in this situation, the wife is “vulnerable to undue inﬂuence.""""""","(D) ""unacceptable because doing so creates a """"conﬂict of interest.”""",A,C,False,20.0,0,-2.3300790786743164,-2.8364858627319336,-2.3219125270843506,-2.5864858627319336,0.11645211174030479,0.2195730817438375,0.4048717030973146,0.157577978240119,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,C,C,False,False
"At the termination of an extensive training program, management may expect to find chat","(A) most trainees have improved, but relative standing is generally maintained",(B) primarily low-ability trainees have improved in performance,(C) primarily high-ability trainees have improved in performance,(D) all trainees are at the same performance level,A,C,False,20.0,0,-2.7512402534484863,-3.2512402534484863,-2.4920177459716797,-2.497191905975342,-0.30470906303386514,-0.19518130897271524,0.23476648420998547,0.24687193499671078,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,C,D,False,False
"The reticular formation and reticular activating system are associated with all of the following functions, EXCEPT:",(A) Decussation of auditory stimuli,(B) Alertness,(C) Consciousness,(D) Pain,A,D,False,20.0,0,-2.4322662353515625,-2.6822662353515625,-2.4307847023010254,-2.1822662353515625,0.014264955063058693,0.3737927091242086,0.29599952788063977,0.5617976056204901,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,D,D,False,False
The vocalizations of deaf and normal children differ in that,"(A) during the second half of the first year, normal children increase the variety of sound, whereas deaf children do now","(B) deaf children vocalize more than normal children during the first 6 months, then less thereafter","(C) normal children babble extensively, whereas deaf infants do not","(D) during the first 6 months, normal children increase their range of sound output more than deaf children do",A,D,False,20.0,0,-2.8677358627319336,-3.372753858566284,-2.8677358627319336,-2.3766796588897705,-0.4212046723173124,-0.3166949140905131,-0.14095163255026844,0.3673841820822821,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,D,D,False,False
"Studies of persons in their 70s, 80s, and 90s indicate thar intellectual functioning is most closely related to",(A) social support,(B) life experience,(C) chronological age,(D) health status,A,C,False,20.0,0,-2.7101354598999023,-2.707702159881592,-2.457702159881592,-2.957702159881592,-0.26360426948528115,0.3483567845941793,0.26908207030007336,-0.21363831890953922,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,C,B,False,False
An organizational psychologist would most likely recommend the use of vestibule training for which of the following jobs?,(A) airline pilot,(B) word processor,(C) salesperson.,(D) clinical psychologist.,A,A,True,20.0,0,-2.776176929473877,-3.526176929473877,-3.026176929473877,-2.777296781539917,-0.32964573905925576,-0.47011798499810586,-0.2993926992922118,-0.03323294056786441,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,D,True,False
"In learned helplessness research, it was found that giving solvable problems eliminated the helplessness caused by unsolvable problems. It is argued thar this is due to",(A) a change in attribution with the realization that one can sometimes succeed,(B) the shift in locus of control from internal to external,(C) a practice effect,(D) the application of a partial reinforcement schedule,A,A,True,20.0,0,-1.8608365058898926,-3.3568501472473145,-3.1068501472473145,-3.3608365058898926,0.5856946845247286,-0.30079120277154336,-0.3800659170656493,-0.61677266491784,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,A,True,True
Dr. Marcos Manzetti uses a “sliding scale” that is based on a client’s current income to set his fees for therapy. Dr. Manzetti’s practice is:,(A) ethically acceptable since it serves the best interests of his clients.,(B) explicitly recommended in the ethical guidelines.,(C) ethically unacceptable since it treats clients inequitably.,(D) explicitly prohibited in the ethical guidelines.,A,A,True,20.0,0,-2.194375514984131,-3.4387402534484863,-3.1887402534484863,-3.441904306411743,0.25215567543049033,-0.38268130897271524,-0.46195602326682117,-0.6978404654396906,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,A,True,True
"When using multiple regression, multicollinearity occurs when:",(A) the predictors are highly correlated with one another.,(B) the criterion measures are highly correlated with one another.,(C) there is a low correlation between the predictors and the criterion.,(D) there is a high (significant) correlation between the predictors and the criterion.,A,C,False,20.0,0,-2.5715134143829346,-3.3141796588897705,-2.5641796588897705,-3.0713043212890625,-0.12498222396831338,-0.2581207144139994,0.16260457129189465,-0.3272404803170099,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,C,C,False,False
"On average, men perform better than women on all the following tasks with the exception of:",(A) Simultaneous processing,(B) Mental rotation,(C) Target-directed motor skills,(D) Mathematical problem solving,A,A,True,20.0,0,-2.5984976291656494,-3.341503858566284,-2.841503858566284,-2.8484976291656494,-0.15196643875102822,-0.2854449140905131,-0.11471962838461902,-0.10443378819359683,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,D,True,False
The mental retardation associated with PKU is preventable with:,(A) removal of environmental toxins.,(B) blood transfusions.,(C) a special diet.,(D) antibiotics.,A,A,True,20.0,0,-2.8137402534484863,-3.5637402534484863,-4.298336505889893,-4.298336505889893,-0.36720906303386514,-0.5076813089727152,-1.5715522757082274,-1.55427266491784,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,A,True,True
"As used in personnel selection, “adverse impact” means that",(A) a group covered by law is hired at a rate less than 80% of that of the group with the best selection,(B) selection interviews are “adverse” for groups covered by law and result in differential selection rates,(C) adverse conditions exist for selection of groups covered bylaw,(D) the total selection process results in unequal results for one or more groups covered by law,A,A,True,20.0,0,-2.0545177459716797,-3.047913074493408,-2.547913074493408,-2.797913074493408,0.3920134444429415,0.008145869982362886,0.17887115568825696,-0.05384923352135562,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,A,True,True
Thomas and Chess’s (1977) “goodness-of-fit” model predicts that maladjustment in children is due to:,(A) a mismatch between the child’s basic temperament and his/her parents’ childrearing practices.,(B) a mismatch between the child’s attachment behaviors and his/her parents’ response to those behaviors.,(C) inconsistencies in the parenting styles of the child’s caregivers.,(D) inconsistencies in the child’s sense of self and the feedback the child receives from caregivers about his/her behavior.,A,A,True,20.0,0,-1.9387401342391968,-2.934691905975342,-2.6795177459716797,-2.684691905975342,0.5077910561754244,0.12136703850042929,0.04726648420998547,0.059371934996710785,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,A,True,True
A person in the pseudoindependent stage of White racial identity is currently ___________.,(A) Developing an awareness of the role of Whites in perpetrating racism,(B) Unaware of race and racism,(C) Exploring what it means to be White and confronting own biases,(D) Attempting to resolve moral dilemmas associated with an awareness of race and racism,A,C,False,20.0,0,-2.350625514984131,-2.850625514984131,-2.348154306411743,-2.3525543212890625,0.09590567543049033,0.20543342949164023,0.378629923769922,0.3915095196829901,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,C,D,False,False
Psychologist’s 35-year-old patient admits to sexually molesting a nine-year-old child in the neighborhood. This patient has prior history of such behavior. The psychologist should,(A) notify the authorities immediately and inform the patient that this is being done,(B) warn the patient to cease the molestations immediately or risk loss of confidentiality and being reported to the authorities,"(C) inform the child's parents, who are responsible for the child’s well-being, before notifying the authorities",(D) handle the issue within the therapeutic situation and thereby maintain confidentiality,A,A,True,20.0,0,-2.176452159881592,-2.926452159881592,-2.4233365058898926,-2.4233365058898926,0.2700790305330294,0.1296067845941793,0.3034477242917726,0.32072733508216,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,D,True,False
"The inability to understand words, without any loss of ability to speak or hear words, is",(A) sensory aphasia,(B) motor aphasia,(C) sensory ataxia,(D) avocalia,A,A,True,20.0,0,-1.880427598953247,-3.122753858566284,-3.1113290786743164,-2.6266796588897705,0.5661035914613741,-0.06669491409051309,-0.38454484849265125,0.11738418208228207,-2.446531190414621,-3.056058944475771,-2.726784230181665,-2.7440638409720526,A,A,True,True
