task,QID,AnsRefIDs,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,-5.241905212402344,-15.561530113220215,Yes,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,-14.121822357177734,-6.249595642089844,No,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,-3.841195821762085,-12.374664306640625,Yes,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,-11.998674392700195,-7.624722003936768,No,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,-7.360836505889893,-18.122814178466797,Yes,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,-13.299188613891602,-8.498754501342773,No,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,-3.6501338481903076,-13.998967170715332,Yes,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,-11.87252426147461,-7.248967170715332,No,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,-6.017519474029541,-11.935446739196777,Yes,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,-11.494766235351562,-8.24882984161377,No,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,-5.743284702301025,-14.311530113220215,Yes,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,-13.244071006774902,-8.498754501342773,No,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,-4.984930038452148,-15.747815132141113,Yes,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,-11.434514999389648,-6.249332904815674,No,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,-3.586822271347046,-11.749195098876953,Yes,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,-9.871822357177734,-7.03004264831543,No,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,-5.743284702301025,-14.311530113220215,Yes,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,-13.428332328796387,-8.309514999389648,No,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,-6.350273609161377,-13.994766235351562,Yes,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No,-12.851754188537598,-7.369429588317871,No,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes,-6.741905212402344,-15.99882984161377,Yes,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No,-13.3624906539917,-7.497524261474609,No,True
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes,-5.522363185882568,-13.623674392700195,Yes,True
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No,-10.310173988342285,-10.436833381652832,Yes,False
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bathroom?,Yes,-4.390705108642578,-12.497815132141113,Yes,True
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bedroom?,No,-9.80986499786377,-5.999195575714111,No,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-5.995659351348877,-12.999664306640625,Yes,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the hallway?,No,-10.43486499786377,-9.56222152709961,No,True
qa1,15,[13],Daniel went to the garden.,Is Daniel in the garden?,Yes,-6.364618301391602,-14.310900688171387,Yes,True
qa1,15,[13],Daniel went to the garden.,Is Daniel in the bathroom?,No,-13.991385459899902,-8.499290466308594,No,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the garden?,Yes,-6.845249652862549,-16.494766235351562,Yes,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the bedroom?,No,-12.731849670410156,-7.498071193695068,No,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the hallway?,Yes,-5.993284702301025,-17.624088287353516,Yes,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the kitchen?,No,-13.24719524383545,-5.999595642089844,No,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,-5.245659351348877,-13.562095642089844,Yes,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the office?,No,-12.746822357177734,-7.499754428863525,No,True
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,-5.245659351348877,-13.562095642089844,Yes,True
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the kitchen?,No,-12.433158874511719,-6.374541759490967,No,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the garden?,Yes,-5.987490653991699,-15.435446739196777,Yes,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the hallway?,No,-11.43258285522461,-7.2492899894714355,No,True
qa1,15,[11],John journeyed to the garden.,Is John in the garden?,Yes,-7.366385459899902,-14.936833381652832,Yes,True
qa1,15,[11],John journeyed to the garden.,Is John in the bedroom?,No,-13.741385459899902,-7.374373435974121,No,True
qa1,15,[11],John moved to the hallway.,Is John in the hallway?,Yes,-6.115243911743164,-15.12349796295166,Yes,True
qa1,15,[11],John moved to the hallway.,Is John in the garden?,No,-13.802118301391602,-8.247673988342285,No,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,-5.866905212402344,-15.24882984161377,Yes,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bathroom?,No,-11.608965873718262,-6.123188018798828,No,True
qa1,6,[4],Daniel went back to the office.,Is Daniel in the office?,Yes,-5.242393970489502,-14.873967170715332,Yes,True
qa1,6,[4],Daniel went back to the office.,Is Daniel in the hallway?,No,-13.181929588317871,-6.499143600463867,No,True
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the garden?,Yes,-6.368284702301025,-15.061833381652832,Yes,True
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the bathroom?,No,-13.927118301391602,-7.624446868896484,No,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the bedroom?,Yes,-5.495659351348877,-14.686744689941406,Yes,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the garden?,No,-13.115243911743164,-7.248673915863037,No,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,-5.866905212402344,-15.24882984161377,Yes,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the hallway?,No,-11.98895263671875,-6.7488298416137695,No,True
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes,-6.86168909072876,-16.99752426147461,Yes,True
