Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,-0.0023818016052246094,-6.062496185302734,-16.607324600219727,-13.47024917602539,16.604942798614502,7.407752990722656,Yes,True
2.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,-8.374995231628418,-0.0002658367156982422,-16.607324600219727,-13.47024917602539,8.232329368591309,13.469983339309692,No,True
3.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao helping Yan?,No,-8.312438011169434,-0.0002963543520309031,-16.607324600219727,-13.47024917602539,8.294886589050293,13.46995282167336,No,True
4.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,-0.0002963542938232422,-8.312499046325684,-16.607324600219727,-13.47024917602539,16.607028245925903,5.157750129699707,Yes,True
5.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao helping Yan?,Yes,-0.00010716920223785564,-9.499996185302734,-16.607324600219727,-13.47024917602539,16.60721743101749,3.9702529907226562,Yes,True
6.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao hindering Yan?,No,-9.937487602233887,-0.00014650821685791016,-16.607324600219727,-13.47024917602539,6.66983699798584,13.470102667808533,No,True
7.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao helping Yan?,No,-8.999664306640625,-0.0015043048188090324,-16.607324600219727,-13.47024917602539,7.607660293579102,13.468744871206582,No,True
8.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,-0.0006852151127532125,-7.656242847442627,-16.607324600219727,-13.47024917602539,16.606639385106973,5.814006328582764,Yes,True
9.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,-0.001669764518737793,-6.406249523162842,-16.607324600219727,-13.47024917602539,16.60565483570099,7.063999652862549,Yes,True
10.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,-9.937491416931152,-0.0001424551010131836,-16.607324600219727,-13.47024917602539,6.669833183288574,13.470106720924377,No,True
11.0,3.0,social-interactions,3.0,antonym,2.0,Chao is introducing obstacles in the path of Yan.,Is Chao helping Yan?,No,-11.687457084655762,-0.0002727509126998484,-16.607324600219727,-13.47024917602539,4.919867515563965,13.46997642511269,No,True
12.0,3.0,social-interactions,3.0,antonym,2.0,Chao is introducing obstacles in the path of Yan.,Is Chao hindering Yan?,Yes,-0.00011360645294189453,-9.125,-16.607324600219727,-13.47024917602539,16.607210993766785,4.345249176025391,Yes,True
13.0,4.0,social-interactions,4.0,antonym,1.0,Chao and Yan are working with each other.,Is Chao cooperating with Yan?,Yes,-0.0007343292236328125,-7.374998092651367,-16.607324600219727,-13.47024917602539,16.606590270996094,6.095251083374023,Yes,True
14.0,4.0,social-interactions,4.0,antonym,1.0,Chao and Yan are working with each other.,Is Chao competing with Yan?,No,-8.312451362609863,-0.0010339024011045694,-16.607324600219727,-13.47024917602539,8.294873237609863,13.469215273624286,No,True
15.0,4.0,social-interactions,4.0,antonym,2.0,Chao and Yan are working against each other.,Is Chao cooperating with Yan?,No,-13.187457084655762,-8.440022065769881e-05,-16.607324600219727,-13.47024917602539,3.419867515563965,13.470164775804733,No,True
16.0,4.0,social-interactions,4.0,antonym,2.0,Chao and Yan are working against each other.,Is Chao competing with Yan?,Yes,-0.0007468461990356445,-7.25,-16.607324600219727,-13.47024917602539,16.60657775402069,6.220249176025391,Yes,True
17.0,5.0,social-interactions,5.0,antonym,1.0,Chao and Yan are helping each other.,Is Chao cooperating with Yan?,Yes,-0.00019872188568115234,-8.812499046325684,-16.607324600219727,-13.47024917602539,16.607125878334045,4.657750129699707,Yes,True
18.0,5.0,social-interactions,5.0,antonym,1.0,Chao and Yan are helping each other.,Is Chao competing with Yan?,No,-7.937445163726807,-0.0012933018151670694,-16.607324600219727,-13.47024917602539,8.66987943649292,13.468955874210224,No,True
19.0,5.0,social-interactions,5.0,antonym,2.0,Chao and Yan are hindering each other.,Is Chao cooperating with Yan?,No,-10.249934196472168,-0.0004897118778899312,-16.607324600219727,-13.47024917602539,6.357390403747559,13.4697594641475,No,True
20.0,5.0,social-interactions,5.0,antonym,2.0,Chao and Yan are hindering each other.,Is Chao competing with Yan?,Yes,-0.00798940658569336,-4.843748092651367,-16.607324600219727,-13.47024917602539,16.599335193634033,8.626501083374023,Yes,True
21.0,6.0,social-interactions,6.0,antonym,1.0,Chao will be happy if Yan succeeds.,Is Chao cooperating with Yan?,Yes,-0.4218655824661255,-1.2031222581863403,-16.607324600219727,-13.47024917602539,16.1854590177536,12.26712691783905,Yes,True
22.0,6.0,social-interactions,6.0,antonym,1.0,Chao will be happy if Yan succeeds.,Is Chao competing with Yan?,No,-4.406242847442627,-0.012571334838867188,-16.607324600219727,-13.47024917602539,12.2010817527771,13.457677841186523,No,True
23.0,6.0,social-interactions,6.0,antonym,2.0,Chao will be happy if Yan fails.,Is Chao cooperating with Yan?,No,-7.999972343444824,-0.016713380813598633,-16.607324600219727,-13.47024917602539,8.607352256774902,13.453535795211792,No,True
24.0,6.0,social-interactions,6.0,antonym,2.0,Chao will be happy if Yan fails.,Is Chao competing with Yan?,Yes,-0.30853915214538574,-1.5546774864196777,-16.607324600219727,-13.47024917602539,16.29878544807434,11.915571689605713,Yes,True
25.0,7.0,social-interactions,7.0,antonym,1.0,Chao is avoiding Yan.,Is Chao evading Yan?,Yes,-0.0008128913468681276,-7.406225204467773,-16.607324600219727,-13.47024917602539,16.60651170887286,6.064023971557617,Yes,True
26.0,7.0,social-interactions,7.0,antonym,1.0,Chao is avoiding Yan.,Is Chao chasing Yan?,No,-9.12491512298584,-0.0015349389286711812,-16.607324600219727,-13.47024917602539,7.482409477233887,13.46871423709672,No,True
27.0,7.0,social-interactions,7.0,antonym,2.0,Chao is following Yan.,Is Chao evading Yan?,No,-7.624969005584717,-0.0006475448608398438,-16.607324600219727,-13.47024917602539,8.98235559463501,13.46960163116455,No,True
28.0,7.0,social-interactions,7.0,antonym,2.0,Chao is following Yan.,Is Chao chasing Yan?,Yes,-0.13961255550384521,-2.3749842643737793,-16.607324600219727,-13.47024917602539,16.46771204471588,11.095264911651611,Yes,True
29.0,8.0,social-interactions,8.0,antonym,1.0,Chao will be unsuccessful if Chao and Yan run into each other.,Is Chao evading Yan?,Yes,-0.0976494550704956,-2.374998092651367,-16.607324600219727,-13.47024917602539,16.50967514514923,11.095251083374023,Yes,True
30.0,8.0,social-interactions,8.0,antonym,1.0,Chao will be unsuccessful if Chao and Yan run into each other.,Is Chao chasing Yan?,No,-0.8437347412109375,-0.5624954700469971,-16.607324600219727,-13.47024917602539,15.763589859008789,12.907753705978394,Yes,False
