question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
 What type of Buddhist organization is the Bodu Bala Sena?,(A) Activist and militant organization in Sri Lanka,(B) Ecumenical organization in India,(C) Modern organization in the United States,(D) Peacekeeping organization in Japan,A,A,True,20.0,0,-2.347538709640503,-5.1473469734191895,-6.2591328620910645,-5.417648792266846,0.9343085927622661,-1.0960096688497636,-1.966191042037237,-0.8623628474417186,-3.281847302402769,-4.051337304569426,-4.292941820053827,-4.555285944825127,A,A,True,True
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,(A) Brahminic orthodoxy,(B) Legalistic asceticism,(C) Bhakti devotionals,(D) Unorthodox practices,A,A,True,20.0,0,-2.4993951320648193,-4.088417053222656,-4.757772922515869,-3.7221171855926514,0.7824521703379497,-0.03707974865323038,-0.46483110246204173,0.8331687592324757,-3.281847302402769,-4.051337304569426,-4.292941820053827,-4.555285944825127,A,D,True,False
Which mystic believed that evil was a distortion that reveals divine love more clearly?,(A) Julian of Norwich,(B) Catherine of Siena,(C) Teresa of Avila,(D) John of the Cross,A,C,False,20.0,0,-3.005162000656128,-4.214191913604736,-2.615952968597412,-3.1364524364471436,0.2766853017466411,-0.16285460903531046,1.6769888514564153,1.4188335083779835,-3.281847302402769,-4.051337304569426,-4.292941820053827,-4.555285944825127,C,C,False,False
"According to Hindu tradition, which age are we in currently?",(A) Kali yuga,(B) Maha yuga,(C) Krita yuga,(D) Satya yuga,A,A,True,20.0,0,-1.9922701120376587,-4.486248016357422,-3.608532428741455,-4.0683417320251465,1.2895771903651103,-0.434910711787996,0.6844093913123723,0.48694421279998057,-3.281847302402769,-4.051337304569426,-4.292941820053827,-4.555285944825127,A,A,True,True
When was the current Dalai Lama born?,(A) 1935,(B) 2000,(C) 1965,(D) 1975,A,A,True,20.0,0,-2.295987606048584,-4.353001594543457,-3.9193763732910156,-4.200080871582031,0.985859696354185,-0.30166428997403116,0.3735654467628118,0.3552050732430958,-3.281847302402769,-4.051337304569426,-4.292941820053827,-4.555285944825127,A,A,True,True
Which deity is the Roman counterpart to the Greek god Zeus?,(A) Jupiter,(B) Juno,(C) Dionysius,(D) Neptune,A,A,True,20.0,0,-1.8458458185195923,-5.0911407470703125,-5.410798072814941,-5.074217319488525,1.4360014838831767,-1.0398034425008866,-1.117856252761114,-0.5189313746633983,-3.281847302402769,-4.051337304569426,-4.292941820053827,-4.555285944825127,A,A,True,True
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",(A) Khalsa,(B) Rahit,(C) Panj Kakke,(D) Shabad,A,A,True,20.0,0,-2.2864997386932373,-5.935041904449463,-6.709908962249756,-5.462860107421875,0.9953475637095317,-1.883704599880037,-2.4169671421959285,-0.907574162596748,-3.281847302402769,-4.051337304569426,-4.292941820053827,-4.555285944825127,A,A,True,True
 Which of the following does NOT describe the Ka'ba?,(A) It was visited by Moses.,(B) It is a haram.,(C) It was built by Abraham.,(D) It is a square building.,A,A,True,20.0,1,-3.6291778087615967,-3.984560966491699,-4.405529499053955,-3.848188877105713,-0.38992030421892787,0.09820271105993328,-0.11267863852637117,0.7296526829401655,-3.239257504542669,-4.0827636775516325,-4.292850860527584,-4.577841560045878,A,D,True,False
 What was the most important female-centered festival in cities throughout Greece?,(A) Thesmophoria,(B) Oracle Days,(C) Isthmian Games,(D) Feast of Athrodite,A,A,True,20.0,1,-2.7390332221984863,-4.8707804679870605,-5.299129962921143,-5.124068737030029,0.5002242823441825,-0.788016790435428,-1.0062791023935587,-0.5462271769841509,-3.239257504542669,-4.0827636775516325,-4.292850860527584,-4.577841560045878,A,A,True,True
" In addition to Jainism, which other tradition began as a world-renouncing movement?",(A) Buddhism,(B) Hinduism,(C) Judaism,(D) Islam,A,A,True,20.0,1,-2.033540964126587,-4.141817569732666,-5.809535026550293,-5.560665130615234,1.205716540416082,-0.05905389218103352,-1.516684166022709,-0.982823570569356,-3.239257504542669,-4.0827636775516325,-4.292850860527584,-4.577841560045878,A,A,True,True
"The Oral Torah, in its written form, is known as what?",(A) Mishnah,(B) Midrash,(C) Tanakh,(D) Pentateuch,A,C,False,20.0,1,-3.1742401123046875,-4.504477024078369,-3.069993257522583,-4.418403625488281,0.06501739223798131,-0.42171334652673664,1.222857603005001,0.15943793455759714,-3.239257504542669,-4.0827636775516325,-4.292850860527584,-4.577841560045878,C,C,False,False
What is the mi'raj?,(A) Muhammad's miraculous ascent to heaven,(B) Muhammad's migration to Mecca,(C) Muhammad's first community in Mecca,(D) Muhammad's revelations of the Qur'an,A,A,True,20.0,1,-2.325319766998291,-4.860318183898926,-4.930756092071533,-4.733048915863037,0.9139377375443778,-0.7775545063472933,-0.6379052315439493,-0.15520735581715872,-3.239257504542669,-4.0827636775516325,-4.292850860527584,-4.577841560045878,A,A,True,True
