Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,social-relations,1.0,negation,1.0,Chao knows Yan.,Are Chao and Yan friends?,Yes,-1.0386418104171753,-0.7029640674591064,-8.374619483947754,-7.187296390533447,7.335977673530579,6.484332323074341,Yes,True
2.0,1.0,social-relations,1.0,negation,1.0,Chao knows Yan.,Are Chao and Yan strangers?,No,-5.187095642089844,-0.014225608669221401,-8.374619483947754,-7.187296390533447,3.18752384185791,7.173070781864226,No,True
3.0,1.0,social-relations,1.0,negation,2.0,Chao doesn't know Yan.,Are Chao and Yan friends?,No,-3.5776875019073486,-0.0386817567050457,-8.374619483947754,-7.187296390533447,4.796931982040405,7.148614633828402,No,True
4.0,1.0,social-relations,1.0,negation,2.0,Chao doesn't know Yan.,Are Chao and Yan strangers?,Yes,-0.36691156029701233,-1.2342609167099,-8.374619483947754,-7.187296390533447,8.007707923650742,5.953035473823547,Yes,True
5.0,2.0,social-relations,2.0,antonym,1.0,Chao is warm toward Yan.,Are Chao and Yan friends?,Yes,-0.3764161169528961,-1.3982157707214355,-8.374619483947754,-7.187296390533447,7.998203366994858,5.789080619812012,Yes,True
6.0,2.0,social-relations,2.0,antonym,1.0,Chao is warm toward Yan.,Are Chao and Yan strangers?,No,-5.312238693237305,-0.011398914270102978,-8.374619483947754,-7.187296390533447,3.062380790710449,7.175897476263344,No,True
8.0,2.0,social-relations,2.0,antonym,2.0,Chao is indifferent toward Yan.,Are Chao and Yan strangers?,Yes,-1.1639258861541748,-0.40229713916778564,-8.374619483947754,-7.187296390533447,7.210693597793579,6.784999251365662,Yes,True
9.0,3.0,social-relations,3.0,other,1.0,Chao likes Yan.,Are Chao and Yan friends?,Yes,-0.694788932800293,-0.8201198577880859,-8.374619483947754,-7.187296390533447,7.679830551147461,6.367176532745361,Yes,True
10.0,3.0,social-relations,3.0,other,1.0,Chao likes Yan.,Are Chao and Yan strangers?,No,-4.9684247970581055,-0.014184718020260334,-8.374619483947754,-7.187296390533447,3.4061946868896484,7.173111672513187,No,True
13.0,4.0,social-relations,4.0,antonym,1.0,Chao enjoys spending time with Yan.,Are Chao and Yan friends?,Yes,-0.14416712522506714,-2.2810964584350586,-8.374619483947754,-7.187296390533447,8.230452358722687,4.906199932098389,Yes,True
