question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following is not a function of vitamin D?,(A) Lipid-soluble antioxidant in cell membranes,(B) Fast responses to increase calcium absorption with no change in gene expression,(C) Regulation of differentiation of adipocytes,(D) Regulation of bone turnover,A,A,True,20.0,0,-2.3514180183410645,-3.943856716156006,-4.437065601348877,-4.877112865447998,0.9435570999687792,0.6412199975228781,0.143528265695946,-0.7158545092040418,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,A,A,True,True
Which of the following statements is correct?,(A) The flavonoid class comprises flavonoids and isoflavonoids.,(B) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing.,(C) ß-Carotene and lycopene can both act as provitamin A.,(D) Carotenoids and flavonoids both belong to the polyphenol class.,A,A,True,20.0,0,-4.427913188934326,-5.820258140563965,-5.385858535766602,-5.0267229080200195,-1.1329380706244825,-1.235181426885081,-0.8052646687217786,-0.8654645517760633,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,A,C,True,False
"The UNICEF model of the causes of malnutrition identifies several levels of causes: immediate, underlying and basic. Which of the following is not one of the underlying causes in the UNICEF model?",(A) Insufficient rainfall for agriculture,(B) Inadequate access to food,(C) Inadequate care for mothers and children,(D) Insufficient health services and unhealthy environment,A,A,True,20.0,0,-2.4633941650390625,-4.259363174438477,-3.526176929473877,-3.880748748779297,0.8315809532707812,0.32571353924040736,1.054416937570946,0.28050960746465936,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,A,C,True,False
Which country has undergone the most rapid nutrition transition in the last two decades?,(A) China,(B) Sweden,(C) Britain,(D) India,A,A,True,20.0,0,-1.7234976291656494,-4.735836505889893,-4.436744213104248,-3.607985496520996,1.5714774891441943,-0.15075979221100866,0.14384965394057492,0.5532728597229601,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,A,A,True,True
What are the effects of globalisation on food security?,(A) Wealthy countries subsidies and trade barriers make it difficult for developing countries to take advantage of the potential of globalisation for advancing food security.,"(B) World Trade Organisation rules do not cover agriculture, so globalisation really has no bearing on food security.",(C) Supermarkets are so far the only way in which food and agriculture have experienced globalisation.,(D) Developing countries need to create publicly-owned food reserves in order to realise the potential benefits.,A,A,True,20.0,0,-1.951690435409546,-4.656782150268555,-4.090669631958008,-3.529600143432617,1.3432846829002978,-0.07170543658967077,0.48992423508681515,0.631658212811339,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,A,A,True,True
Which drug(s) is/are approved for the treatment of obesity in Europe?,(A) Orlistat,(B) Phentermine/Topiramate,(C) Lorcaserin,(D) Naltrexone/Bupropion,A,A,True,20.0,0,-1.7066229581832886,-4.8296966552734375,-5.0494160652160645,-4.458685874938965,1.5883521601265551,-0.24461994159455358,-0.4688221981712415,-0.2974275186950086,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,A,A,True,True
The two most common causes of foodborne illness in the United States and Europe are:,(A) Salmonella and Campylobacter,(B) Listeria and Salmonella,(C) Shigella and Staphlococcus,(D) E. coli STECs and non-STEC subtypes,A,A,True,20.0,0,-2.9822943210601807,-4.46405553817749,-6.121664524078369,-4.905860900878906,0.312680797249663,0.12102117550139369,-1.5410706570335462,-0.74460254463495,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,A,A,True,True
Which of the following statements about the digestibility of dietary proteins is correct?,(A) The digestibility of plant proteins is generally less good compared to animal proteins.,(B) The digestibility of meat protein is less good compared with plant proteins.,(C) Digestibility can only be measured at the terminal ileum,(D) Digestibility can only be measured as faecal digestibility,A,A,True,20.0,0,-1.671461582183838,-5.944429397583008,-5.68924617767334,-5.26546573638916,1.6235135361260058,-1.359352683904124,-1.1086523106285169,-1.104207380145204,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,A,A,True,True
Risk assessment is applied to data on toxicity and human exposure to:,"(A) Estimate the likelihood, or probability, of a toxic effect on exposed humans",(B) To support risk management decisions for food substances,(C) To derive Allowable Daily Intakes,(D) All of the above,A,D,False,20.0,0,-3.794992446899414,-5.480312824249268,-5.019500732421875,-2.3840134143829346,-0.5000173285895704,-0.8952361105703837,-0.43890686537705204,1.7772449418610217,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,D,D,False,False
Which of the following foods do not contain free sugars,(A) Cows' milk,(B) Natural unsweetened orange juice,(C) Honey,(D) Agave nectar,A,B,False,20.0,0,-3.4415574073791504,-2.4934322834014893,-2.887948513031006,-5.205019474029541,-0.1465822890693067,2.0916444302773947,1.692645354013817,-1.0437611177855848,-3.2949751183098437,-4.585076713678884,-4.580593867044823,-4.161258356243956,B,B,False,False
