question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Why did Americans believe that they could found a different kind of empire after 1776?,(A) This would be an 'empire of liberty',(B) This empire would be multi-cultural,(C) This type of empire would be based on expansion,(D) This would be empire free of slavery,A,D,False,20.0,0,-2.9295177459716797,-2.934691905975342,-2.922913074493408,-2.6887402534484863,-0.11718968749046343,0.4309491078058878,-0.0912802378336588,0.04446910222371425,-2.8123280584812163,-3.3656410137812296,-2.8316328366597494,-2.7332093556722006,D,B,False,False
What has been an effective way of disbursing US foreign aid to encourage change in target states?,"(A) Conditional programs, such as the Millennium Challenge, that require change before receipt of aid",(B) the use of intergovernmental organizations to monitor aid disbursement,(C) withdrawal of aid for bad policies,"(D) None of the above, international aid never works",A,A,True,20.0,0,-2.3295865058898926,-3.0756001472473145,-2.3295865058898926,-2.582702159881592,0.4827415525913237,0.29004086653391514,0.5020463307698568,0.15050719579060878,-2.8123280584812163,-3.3656410137812296,-2.8316328366597494,-2.7332093556722006,A,C,True,False
What is direct diplomacy?,(A) Members of Congress negotiating directly with foreign governments,(B) Face-to-face meetings between state leaders,(C) The president consulting Congress on foreign policy issues,(D) Bilateral talks that do not involve a third-party negotiator,A,A,True,20.0,0,-2.2670865058898926,-2.5170865058898926,-2.5131001472473145,-2.270202159881592,0.5452415525913237,0.848554507891337,0.31853268941243496,0.4630071957906088,-2.8123280584812163,-3.3656410137812296,-2.8316328366597494,-2.7332093556722006,A,B,True,False
The government body formed to coordinate American foreign and military policy is known as,(A) the National Security Council.,(B) the Pentagon.,(C) the Defense Policy Institute.,(D) the Joint Chiefs of Staff.,A,C,False,20.0,0,-3.965941905975342,-3.9607677459716797,-3.454163074493408,-3.4607677459716797,-1.1536138474941255,-0.5951267321904501,-0.6225302378336588,-0.7275583902994791,-2.8123280584812163,-3.3656410137812296,-2.8316328366597494,-2.7332093556722006,C,B,False,False
What is the structure of the United Nations Security Council?,"(A) 5 permanent members with veto power, 10 rotating members with no veto power","(B) 5 permanent members and 10 rotating members, all with veto power","(C) 10 permanent members with veto power, and 5 rotating members without veto power",(D) 15 permanent members with veto power,A,D,False,20.0,0,-2.5795865058898926,-3.3256001472473145,-2.3295865058898926,-2.082702159881592,0.23274155259132367,0.04004086653391514,0.5020463307698568,0.6505071957906088,-2.8123280584812163,-3.3656410137812296,-2.8316328366597494,-2.7332093556722006,D,D,False,False
What caused a public uproar involving the National Security Agency in 2005?,(A) Revelations that the NSA was monitoring the communications of American citizens without obtaining warrants,"(B) A leaked memo that linked the events of September 11, 2001, with the Democratic National Committee","(C) Revelations that the NSA had tortured prisoners at Guantanamo, Cuba","(D) A scathing report condemning the George W. Bush administration for ""building a case for the war in Iraq on a quicksand foundation""",A,A,True,20.0,1,-2.3484976291656494,-3.341503858566284,-2.8454296588897705,-3.100893497467041,0.47434425950050363,-0.020070000489552875,-0.015805947780608953,-0.35694141785303746,-2.822841888666153,-3.3214338580767313,-2.8296237111091616,-2.7439520796140036,A,A,True,True
Why do some scholars claim that Reagan 'won the Cold War'?,(A) Reagan's first term military spending pressured the Soviet Union to keep up its international commitments,(B) Reagan encouraged engagement with the Soviet Union,(C) Reagan encouraged a softer approach towards communism,(D) Reagan reduced military spending and this allowed the Soviet Union space to reform,A,A,True,20.0,1,-2.570504665374756,-3.313999652862549,-2.805708646774292,-2.5756001472473145,0.2523372232913972,0.007434205214182477,0.023915064334869562,0.1683519323666891,-2.822841888666153,-3.3214338580767313,-2.8296237111091616,-2.7439520796140036,A,A,True,True
Why might American exceptionalism lead to opposition to world government?,(A) Its general anti-statism opposes centralized government,(B) It views world government as impractical,(C) It views the UN as a sufficient form of global governance,(D) None of the above,A,A,True,20.0,1,-1.9932847023010254,-2.988952159881592,-2.2413854598999023,-2.2432847023010254,0.8295571863651277,0.3324816981951395,0.5882382512092592,0.5006673773129782,-2.822841888666153,-3.3214338580767313,-2.8296237111091616,-2.7439520796140036,A,A,True,True
"Détente, or the relaxing of tensions coupled with firm guarantees of mutual security, represented a shift in American foreign policy toward the communist world ushered in by",(A) Richard Nixon.,(B) Eugene McCarthy,(C) Lyndon Johnson.,(D) Robert Kennedy.,A,D,False,20.0,1,-3.3677358627319336,-3.6031625270843506,-3.3613290786743164,-2.6177358627319336,-0.5448939740657806,-0.2817286690076193,-0.5317053675651549,0.12621621688206996,-2.822841888666153,-3.3214338580767313,-2.8296237111091616,-2.7439520796140036,D,D,False,False
What was the Marshall Plan?,(A) A plan that provided economic assistance to rebuild Europe.,(B) A plan to provide aid to Greece and Turkey in their stand against Soviet and Soviet-assisted threats,(C) A plan that provided Europe with military assistance to counter the Soviet threat,(D) The plan designed to stop communism in Asia,A,A,True,20.0,1,-1.9366307258605957,-3.691904306411743,-3.4387402534484863,-3.191904306411743,0.8862111628055573,-0.37047044833501186,-0.6091165423393248,-0.4479522267977396,-2.822841888666153,-3.3214338580767313,-2.8296237111091616,-2.7439520796140036,A,A,True,True
