question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"A researcher is hoping to find a predictive linear relationship between the explanatory and response variables in her study. Accordingly, as part of her analysis she plans to generate a 95% confidence interval for the slope of the regression line for the two variables. The interval is determined to be (0.45, 0.80). Which of the following is (are) true? (Assume conditions for inference are met.) I. She has good evidence of a linear relationship between the variables. II. It is likely that there is a non-zero correlation (r) between the two variables. III. It is likely that the true slope of the regression line is 0.",(A) I and II only,(B) I and III only,(C) II and III only,(D) I only,A,B,False,20.0,0,-2.8905818462371826,-0.636687159538269,-1.3827745914459229,-2.515562057495117,0.15675557694824738,0.839741684695279,1.0532985408208333,1.2188711751562855,-3.04733742318543,-1.476428844233548,-2.436073132266756,-3.7344332326514027,B,D,False,False
"To study the effect of music on piecework output at a clothing manufacturer, two experimental treatments are planned: day-long classical music for one group versus day-long light rock music for another. Which one of the following groups would serve best as a control for this study?",(A) A third group for which no music is played,(B) A third group that randomly hears either classical or light rock music each day,(C) A third group that hears day-long R & B music,(D) A third group that hears classical music every morning and light rock every afternoon,A,B,False,20.0,0,-0.9140019416809082,-0.6640019416809082,-4.281144618988037,-3.0467610359191895,2.133335481504522,0.8124269025526398,-1.845071486721281,0.6876721967322132,-3.04733742318543,-1.476428844233548,-2.436073132266756,-3.7344332326514027,B,A,False,True
Which of the following is notan advantage of stratified random sampling over simple random sampling?,"(A) When done correctly, a stratified random sample is less biased than a simple random sample.","(B) When done correctly, a stratified random sampling process has less variability from sample to sample than a simple random sample.","(C) When done correctly, a stratified random sample can provide, with a smaller sample size, an estimate that is just as reliable as that of a simple random sample with a larger sample size.","(D) A stratified random sample provides information about each stratum in the population as well as an estimate for the population as a whole, and a simple random sample does not.",A,C,False,20.0,0,-1.6950651407241821,-2.4528908729553223,-0.569788932800293,-2.2024474143981934,1.3522722824612479,-0.9764620287217742,1.8662841994664632,1.5319858182532093,-3.04733742318543,-1.476428844233548,-2.436073132266756,-3.7344332326514027,C,C,False,False
"An experiment is to be conducted to determine whether taking fish oil capsules or garlic capsules has more of an effect on cholesterol levels. In past studies it was noted that daily exercise intensity (low, moderate, high) is associated with cholesterol level, but average sleep length (< 5, 5 - 8, > 8 hours) is not associated with cholesterol level. This experiment should be done",(A) by blocking on exercise intensity,(B) by blocking on sleep length,(C) by blocking on cholesterol level,(D) by blocking on capsule type,A,B,False,20.0,0,-1.031215786933899,-0.6562278270721436,-2.1562087535858154,-5.531203269958496,2.016121636251531,0.8202010171614045,0.2798643786809407,-1.7967700373070934,-3.04733742318543,-1.476428844233548,-2.436073132266756,-3.7344332326514027,B,A,False,True
Suppose you wish to compare the AP Statistics exam results for the male and female students taking AP Statistics at your high school. Which is the most appropriate technique for gathering the needed data?,(A) Census,(B) Sample survey,(C) Experiment,(D) Observational study,A,B,False,20.0,0,-3.7968645095825195,-0.04881608486175537,-6.3124799728393555,-6.9374895095825195,-0.7495270863970895,1.4276127593717927,-3.8764068405725993,-3.203056276931117,-3.04733742318543,-1.476428844233548,-2.436073132266756,-3.7344332326514027,B,B,False,False
"In one study half of a class were instructed to watch exactly 1 hour of television per day, the other half were told to watch 5 hours per day, and then their class grades were compared. In a second study students in a class responded to a questionnaire asking about their television usage and their class grades.","(A) The first study was an experiment without a control group, while the second was an observational study.","(B) The first study was an observational study, while the second was a controlled experiment.",(C) Both studies were controlled experiments.,(D) Both studies were observational studies.,A,B,False,20.0,0,-3.468721628189087,-0.0883488655090332,-3.4687178134918213,-3.9686899185180664,-0.4213842050036569,1.3880799787245148,-1.0326446812250651,-0.2342566858666637,-3.04733742318543,-1.476428844233548,-2.436073132266756,-3.7344332326514027,B,B,False,False
A simple random sample is defined by,(A) the method of selection.,(B) examination of the outcome.,(C) both of the above.,(D) how representative the sample is of the population.,A,C,False,20.0,0,-5.031219959259033,-4.656208515167236,-0.03828287124633789,-6.031232833862305,-1.9838825360736032,-3.179779670933688,2.3977902610204183,-2.296799601210902,-3.04733742318543,-1.476428844233548,-2.436073132266756,-3.7344332326514027,C,C,False,False
"In a clinical trial, 30 sickle cell anemia patients are randomly assigned to two groups. One group receives the currently marketed medicine, and the other group receives an experimental medicine. Each week, patients report to the clinic where blood tests are conducted. The lab technician is unaware of the kind of medicine the patient is taking. This design can be described as","(A) a completely randomized design, with the currently marketed medicine and the experimental medicine as two treatments","(B) a matched-pairs design, with the currently marketed medicine and the experimental medicine forming a pair","(C) a randomized block design, with the currently marketed medicine and the experimental medicine as two blocks","(D) a randomized block design, with the currently marketed medicine and the experimental medicine as two treatments",A,B,False,20.0,0,-1.781215786933899,-0.27731168270111084,-2.9062159061431885,-4.281200408935547,1.266121636251531,1.1991171615324372,-0.47014277387643233,-0.5467671762841442,-3.04733742318543,-1.476428844233548,-2.436073132266756,-3.7344332326514027,B,A,False,True
"Fifty oranges of one variety were selected at random and weighed. A 95 percent confidence interval computed from the sample weights to estimate the mean weight of oranges of this variety is (7.58, 8.72) ounces. Which of the following statements is true with respect to the confidence level used?","(A) In repeated samplings of the same size, 95 percent of the intervals constructed will contain the true mean weight of the oranges of this variety.","(B) In repeated samplings of the same size, 95 percent of the intervals constructed will contain the sampled mean weight of the oranges.",(C) Ninety-five percent of the oranges in this sample weigh between 7.58 and 8.72 ounces.,(D) Ninety-five percent of the oranges of this variety weigh between 7.58 and 8.72 ounces.,A,A,True,20.0,1,-0.013224969618022442,-4.4998979568481445,-7.999904155731201,-8.874841690063477,2.872733854378263,-2.9968923539587804,-5.7376232742002085,-5.126054927551499,-2.8859588239962854,-1.5030056028893644,-2.262280881530993,-3.7487867625119784,A,A,True,True
Which of these statements correctly explains bias?,(A) It describes a process that creates estimates that are too high on average or too low on average.,(B) It describes a process that results in a sample that does not represent the population.,(C) It describes a lack of randomization in the sampling process.,(D) It describes a sample that is not representative of the population.,A,B,False,20.0,1,-4.374980926513672,-0.6132463216781616,-4.374975681304932,-0.8632199764251709,-1.4890221025173864,0.8897592812112027,-2.1126947997739385,2.8855667860868075,-2.8859588239962854,-1.5030056028893644,-2.262280881530993,-3.7487867625119784,B,D,False,False
"The director of a local food bank asks for data on all donations given during the month of November. Of the 100 checks received, the average donation is $155 with a standard deviation of $32. Which of the following is the most appropriate statement?","(A) This November, the average donation is $155.",(B) 50% of all donations this November are more than $155.,(C) We are 95% confident that the average donation in November is between about $91 and $219.,(D) We are 95% confident that the average donation in November is between about $149 and $161.,A,C,False,20.0,1,-6.281213760375977,-4.6562180519104,-0.024110199883580208,-4.781200408935547,-3.395254936379691,-3.1532124490210363,2.238170681647413,-1.0324136464235685,-2.8859588239962854,-1.5030056028893644,-2.262280881530993,-3.7487867625119784,C,C,False,False
A chi-squared test of independence is to be performed on a 3 × 4 contingency table. How many degrees of freedom does this test have?,(A) 6,(B) 8,(C) 10,(D) 11,A,B,False,20.0,1,-4.687477111816406,-0.06053614616394043,-3.312487840652466,-4.687487602233887,-1.8015182878201208,1.442469456725424,-1.0502069591214727,-0.9387008397219083,-2.8859588239962854,-1.5030056028893644,-2.262280881530993,-3.7487867625119784,B,B,False,False
"After receiving several complaints from his customers about the store being closed on Sundays, a storekeeper decided to conduct a survey. He randomly selected 100 female customers and 120 male customers, and asked them, ""Are you interested in shopping at this store on Sundays?"" He counted the number of customers answering ""yes"" and constructed a 95 percent confidence interval for the difference by subtracting the proportions of female from the proportion of male customers in favor of shopping on Sundays. The resulting interval was (–0.23, –0.18). Which of the following is a correct interpretation of the interval?",(A) We are 95 percent confident that the proportion of women interested in shopping on Sundays exceeds the proportion of men interested in shopping on Sundays.,(B) We are 95 percent confident that the proportion of men interested in shopping on Sundays exceeds the proportion of women interested in shopping on Sundays.,(C) We are 95 percent confident that the proportion of women interested in shopping on Sundays is equal to the proportion of men interested in shopping on Sundays.,"(D) Because the interval contains negative values, it is invalid and should not be interpreted.",A,B,False,20.0,1,-1.3827790021896362,-0.8827863931655884,-1.1327720880508423,-5.4999098777771,1.5031798218066492,0.620219209723776,1.1295087934801509,-1.7511231152651212,-2.8859588239962854,-1.5030056028893644,-2.262280881530993,-3.7487867625119784,B,A,False,True
"A psychologist believes that positive rewards for proper behavior are more effective than punishment for bad behavior in promoting good behavior in children. A scale of ""proper behavior"" is developed. μ1= the ""proper behavior"" rating for children receiving positive rewards, and μ2= the ""proper behavior"" rating for children receiving punishment. If H0: μ1− μ2= 0, which of the following is the proper statement of HA?",(A) HA: μ1− μ2> 0,(B) HA: μ1− μ2< 0,(C) HA: μ1− μ2≠ 0,(D) Any of the above is an acceptable alternative to the given null.,A,C,False,20.0,1,-4.937474250793457,-3.421865701675415,-0.0512470006942749,-5.687477111816406,-2.0515154267971716,-1.9188600987860507,2.2110338808367183,-1.9386903493044279,-2.8859588239962854,-1.5030056028893644,-2.262280881530993,-3.7487867625119784,C,C,False,False
"Suppose the correlation between two variables is r = 0.19. What is the new correlation if 0.23 is added to all values of the x-variable, every value of the y-variable is doubled, and the two variables are interchanged?",(A) 0.19,(B) 0.42,(C) 0.84,(D) -0.19,A,B,False,20.0,1,-4.218703269958496,-0.22358274459838867,-2.0937061309814453,-2.843693494796753,-1.3327444459622106,1.2794228582909757,0.16857475054954785,0.9050932677152255,-2.8859588239962854,-1.5030056028893644,-2.262280881530993,-3.7487867625119784,B,B,False,False
