question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following countries generated the most total energy from solar sources in 2019?,(A) China,(B) United States,(C) Germany,(D) Japan,A,B,False,20.0,0,-7.685797691345215,-6.687012195587158,-12.007617950439453,-11.55758285522461,0.08159259458382895,2.653630743424097,-1.6633786956469212,-3.9782913078864413,-7.767390285929044,-9.340642939011255,-10.344239254792532,-7.579291547338168,B,B,False,False
What is the biggest cause of death in children under five years old (as of 2017)?,(A) Lower respiratory infections,(B) Preterm birth complications,(C) Diarrheal diseases,(D) Malaria,A,A,True,20.0,0,-4.903531551361084,-12.666230201721191,-10.54833698272705,-11.871665000915527,2.86385873456796,-3.325587262709936,-0.20409772793451886,-4.292373453577359,-7.767390285929044,-9.340642939011255,-10.344239254792532,-7.579291547338168,A,A,True,True
"As of 2019, unsafe water is responsible for about how many deaths each year?",(A) 1.2 million,(B) 2.4 million,(C) 3.6 million,(D) 4.8 million,A,A,True,20.0,0,-5.03111457824707,-8.873674392700195,-10.677743911743164,-8.31132984161377,2.7362757076819735,0.46696854631106,-0.33350465695063214,-0.7320382942756014,-7.767390285929044,-9.340642939011255,-10.344239254792532,-7.579291547338168,A,A,True,True
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",(A) 24%,(B) 44%,(C) 64%,(D) 84%,A,D,False,20.0,0,-7.614618301391602,-10.421110153198242,-10.456162452697754,-6.685688018798828,0.15277198453744223,-1.0804672141869869,-0.11192319790522198,0.89360352853934,-7.767390285929044,-9.340642939011255,-10.344239254792532,-7.579291547338168,D,D,False,False
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",(A) 34%,(B) 49%,(C) 64%,(D) 79%,A,A,True,20.0,1,-7.778696060180664,-7.778696060180664,-12.348560333251953,-7.90504264831543,0.06701736648877432,2.0411544640858974,-1.8436135252316799,0.006403302152951262,-7.845713426669438,-9.819850524266561,-10.504946808020273,-7.911445950468381,A,B,True,False
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",(A) 24%,(B) 39%,(C) 54%,(D) 69%,A,B,False,20.0,1,-6.530184268951416,-5.405881404876709,-6.843358039855957,-5.530996799468994,1.3155291577180224,4.4139691193898525,3.661588768164316,2.380449150999387,-7.845713426669438,-9.819850524266561,-10.504946808020273,-7.911445950468381,B,B,False,False
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","(A) True, True","(B) True, False","(C) False, True","(D) False, False",A,B,False,20.0,1,-10.161199569702148,-7.998673915863037,-12.6124906539917,-10.80866813659668,-2.31548614303271,1.8211766084035244,-2.107543845971426,-2.8972221861282987,-7.845713426669438,-9.819850524266561,-10.504946808020273,-7.911445950468381,B,B,False,False
"As of 2015, agriculture made up about what percentage of total US GDP?",(A) 1%,(B) 3%,(C) 9%,(D) 20%,A,A,True,20.0,1,-6.03036642074585,-9.491905212402344,-10.534526824951172,-7.903995513916016,1.8153470059235888,0.3279453118642177,-0.029580016930898623,0.007450436552365325,-7.845713426669438,-9.819850524266561,-10.504946808020273,-7.911445950468381,A,A,True,True
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","(A) Colombia, Peru, Uruguay, and Costa Rica.","(B) Bhutan, Niger, Cambodia, and Costa Rica.","(C) Uruguay, Costa Rica, Timor-Leste, and Pakistan.","(D) Bhutan, Cambodia, Uruguay and Costa Rica.",A,D,False,20.0,2,-6.968061923980713,-11.359930038452148,-10.556571006774902,-3.656075954437256,0.5876984645922976,-2.288148184617361,-0.5060923298199977,3.9243806203206377,-7.5557603885730105,-9.071781853834787,-10.050478676954905,-7.580456574757894,D,D,False,False
Which of the following is not an element of the redistribution-with-growth policy approach?,(A) minimum wage legislation,(B) land reform,(C) progressive taxation,(D) increased access to education,A,A,True,20.0,2,-4.93366813659668,-14.174062728881836,-12.19282054901123,-10.71422290802002,2.622092251976331,-5.1022808750470485,-2.142341872056326,-3.133766333262126,-7.5557603885730105,-9.071781853834787,-10.050478676954905,-7.580456574757894,A,A,True,True
