question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
 What can murtis be translated as?,(A) Offerings,(B) Prayers,(C) Apparitions,(D) Idols,D,-3.3093223571777344,-6.545440196990967,-4.680784702301025,-4.436980724334717,A,False
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,(A) Daoism,(B) Yin-Yang School,(C) Mengzi,(D) Humanistic Buddhism,B,-4.4348649978637695,-5.993284702301025,-4.185024261474609,-4.062351226806641,D,False
 When was the first Buddhist temple constructed in Japan?,(A) 325 CE,(B) 119 CE,(C) 451 CE,(D) 596 CE,D,-5.4181904792785645,-6.84702730178833,-6.843087196350098,-2.8123841285705566,D,True
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,(A) Akitu,(B) Wag and Thoth,(C) Bast,(D) Nehebkau,A,-2.2013959884643555,-7.306857585906982,-7.168658256530762,-6.342381954193115,A,True
Which of the following terms denote the Japanese art of flower arranging?,(A) Zazen,(B) Tariki,(C) Kami,(D) Ikebana,D,-7.0791401863098145,-8.853730201721191,-8.760858535766602,-4.218462944030762,D,True
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,(A) Harmony and balance,(B) Devotion and piety,(C) Love and passion,(D) Goodwill and love,A,-4.965035915374756,-5.216760158538818,-5.278356075286865,-4.9059247970581055,D,False
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",(A) Shabad,(B) Khalse,(C) Nam,(D) Guru,A,-4.87116813659668,-7.177743911743164,-4.373967170715332,-7.560900688171387,C,False
What is the mi'raj?,(A) Muhammad's miraculous ascent to heaven,(B) Muhammad's migration to Mecca,(C) Muhammad's first community in Mecca,(D) Muhammad's revelations of the Qur'an,A,-4.21720027923584,-10.589776039123535,-9.831162452697754,-9.493284225463867,A,True
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",(A) Laws of Dharma,(B) Laws of Karma,(C) Laws of Vishnu,(D) Laws of Manu,D,-6.588003158569336,-10.392772674560547,-9.079290390014648,-4.343708515167236,D,True
"What does the term ""Qur'an"" literally mean?",(A) The Holy Book,(B) The Narrative,(C) The Recitation,(D) The Pillars,C,-4.998297691345215,-8.730690956115723,-7.489618301391602,-9.05866813659668,A,False
 Mani referred to God by which of the following names?,(A) Mother of Light,(B) Father of Goodness,(C) Ineffable Lover,(D) Eternal Spirit,B,-3.950448513031006,-5.903169631958008,-3.2021992206573486,-3.5155489444732666,C,False
" Which tradition is known to promote ""gradual enlightenment""?",(A) Bushido,(B) Shinto,(C) Nichiren,(D) Soto Zen,D,-4.963983535766602,-5.775850296020508,-4.091196060180664,-3.3437111377716064,D,True
What is the communal meal offered at the place of worship called in Sikhism?,(A) Sangat,(B) Langar,(C) Gurdwara,(D) Panth,B,-5.778995513916016,-3.7809805870056152,-8.89979362487793,-9.546465873718262,B,True
