question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following is true of automatic fiscal policy stabilizers?,(A) For a given level of government spending they produce a deficit during a recession and a surplus during an expansion.,(B) They serve to prolong recessionary and inflationary periods.,(C) The regressive tax system is a fundamental component of automatic stabilizers.,(D) For a given level of government spending they produce a surplus during a recession and a surplus during an expansion.,A,A,True,20.0,0,-0.36266201734542847,-3.607476234436035,-3.482353925704956,-1.4835830926895142,2.121852938845558,-0.5812375790259816,-0.8550727100421986,0.9840036213822794,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
When a nation is operating at the natural rate of unemployment,(A) there is no cyclical unemployment.,(B) the inflation rate is zero.,(C) there is no structural unemployment.,(D) the nation is experiencing a recession.,A,A,True,20.0,0,-0.15362517535686493,-3.778169870376587,-3.653695821762085,-2.780115842819214,2.3308897808341213,-0.7519312149665334,-1.0264146060993276,-0.31252912874742034,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
Which is the best way to describe the AS curve in the long run?,(A) Always vertical in the long run.,(B) Always upward sloping because it follows the Law of Supply.,(C) Always horizontal.,(D) Always downward sloping.,A,C,False,20.0,0,-1.8963360786437988,-3.5283563137054443,-0.2760636806488037,-3.1543805599212646,0.5881788775471875,-0.5021176582953908,2.3512175350139537,-0.6867938458494711,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,C,C,False,False
Which component of a nation's balance of payments recognizes the purchase and sale of real and financial assets between nations?,(A) The capital account,(B) The official reserves account,(C) The current account,(D) The trade deficit account,A,A,True,20.0,0,-0.061156757175922394,-5.058421611785889,-3.1866438388824463,-5.623188018798828,2.423358199015064,-2.032182956375835,-0.5593626232196889,-3.1556013047270346,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
The reserve ratio is .10 and Mommy Morebucks withdraws $1 million from her checking account and keeps it as cash in her refrigerator. How does this withdrawal potentially impact money in circulation?,(A) Decreases it by $9 million,(B) Decreases it by $1 million,(C) Decreases it by $100000,(D) Increases it by $1 million,A,A,True,20.0,0,-0.5023980736732483,-1.6241955757141113,-2.1239006519317627,-2.8740296363830566,1.982116882517738,1.4020430796959422,0.5033805637309947,-0.4064429223112631,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
If the FED buys bonds in the secondary market,(A) the money supply will increase.,(B) the money supply will decrease.,(C) the money supply will not be affected.,(D) the discount rate would be affected.,A,A,True,20.0,0,-0.04822569712996483,-4.98668909072876,-3.913393497467041,-5.303332328796387,2.4362892590610215,-1.9604504353187062,-1.2861122818042836,-2.835745614724593,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
It is unlikely that the unemployment rate will ever fall to zero because of,(A) frictional unemployment.,(B) cyclical unemployment.,(C) government policies.,(D) corporate policies.,A,A,True,20.0,0,-0.03965401649475098,-5.020540237426758,-6.066626071929932,-5.518345832824707,2.4448609396962353,-1.9943015820167043,-3.4393448562671742,-3.0507591187529135,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
If firms that make a particular product expect its price will be lower in the future,(A) this will cause the supply of the product to increase right now.,(B) this will cause the supply of the product to decrease right now.,(C) this will have no effect on the amount of the product supplied right now.,(D) this will have no effect on the supply of the product now or later.,A,B,False,20.0,0,-2.5614006519317627,-0.6865297555923462,-1.0611740350723267,-3.058159112930298,-0.07688569574077642,2.3397088998177074,1.5661071805904307,-0.5905723988585043,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,B,B,False,False
What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume an upward sloping aggregate supply curve.,(A) The equilibrium price level increases while the equilibrium quantity of output decreases.,(B) The equilibrium price level decreases while the equilibrium quantity of output increases.,(C) The equilibrium price level and quantity of output increase.,(D) The equilibrium price level and quantity of output decrease.,A,A,True,20.0,0,-0.09558267146348953,-3.841031312942505,-3.216195821762085,-3.841031312942505,2.3889322847274967,-0.8147926575324513,-0.5889146060993276,-1.3734445988707114,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
According to Classical analysis an economy in a recession can return to full employment through,(A) falling wages and prices.,(B) rising wages and prices.,(C) expansionary monetary policy.,(D) increased government spending.,A,C,False,20.0,0,-1.2811546325683594,-3.215035915374756,-0.663276731967926,-2.2800426483154297,1.203360323622627,-0.1887972599647023,1.9640044836948314,0.18754406575636384,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,C,C,False,False
In a given period the average price level in the country of Sherwood tripled and Robin's income increased from $30000 to $60000. What happened to Robin's nominal and real income? Nominal Income     Real Income,(A) (A) Increased     Decreased,(B) (B) Increased     Increased,(C) (C) Decreased     Decreased,(D) (D) Increased     Stayed the same,A,B,False,20.0,0,-3.1622695922851562,-0.1709776371717453,-4.3291401863098145,-2.9156627655029297,-0.67775463609417,2.8552610182383082,-1.701858970647057,-0.44807605143113616,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,B,B,False,False
How does an increasing national debt impact the market for U.S. dollars and the value of the dollar with respect to other currencies? MARKET FOR THE DOLLAR     VALUE OF THE DOLLAR,(A) Increased demand     Appreciating,(B) Increased supply     Appreciating,(C) Decreased supply     Depreciating,(D) Decreased demand     Depreciating,A,D,False,20.0,0,-1.7021394968032837,-1.9520083665847778,-1.577307939529419,-0.8236232399940491,0.7823754593877026,1.0742302888252757,1.0499732761333385,1.6439634740777445,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,D,D,False,False
For a given level of government spending the federal government usually experiences a budget____during economic____and a budget ______during economic_______.,(A) deficit recession surplus expansion,(B) surplus recession deficit expansion,(C) deficit expansion surplus recession,(D) surplus recession surplus expansion,A,A,True,20.0,0,-0.33550500869750977,-2.713350534439087,-2.0917601585388184,-2.5892715454101562,2.1490099474934765,0.31288812097096663,0.535521057123939,-0.12168483133836272,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
If Nation A can produce a good at lower opportunity cost than Nation B can produce the same good it is said that,(A) Nation A has comparative advantage in the production of that good.,(B) Nation B has comparative advantage in the production of that good.,(C) Nation A has absolute advantage in the production of that good.,(D) Nation B has absolute advantage in the production of that good.,A,A,True,20.0,0,-0.06967579573392868,-4.802118301391602,-3.9481301307678223,-4.74616813659668,2.4148391604570576,-1.775879645981548,-1.3208489151050649,-2.278581422524886,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
Suppose the economy is in long-run equilibrium when a temporary expansionary supply shock is felt in the economy. This changes the short-run Phillips curve the short-run unemployment rate and the long-run unemployment rate in which of the following ways? SHORT-RUN PHILLIPS CURVE     SHORT-RUN UNEMPLOYMENT     LONG-RUN UNEMPLOYMENT,(A) Shifts down     Falls     Rises,(B) Shifts up     Rises     Falls,(C) Shifts down     Falls     Falls,(D) Shifts up     Rises     Rises,A,C,False,20.0,0,-1.8185969591140747,-2.4489824771881104,-0.44769880175590515,-2.4507625102996826,0.6659179970769116,0.5772561782219432,2.1795824139068523,0.016824203772110913,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,C,C,False,False
According to Keynesian analysis the Great Depression was caused by,(A) a lack of spending.,(B) a sharp rise in the marginal propensity to consume.,(C) too much investment.,(D) too much foreign influence on the economy.,A,A,True,20.0,0,-0.05508702993392944,-4.797430038452148,-5.0431904792785645,-4.054893970489502,2.429427926257057,-1.771191383042095,-2.415909263615807,-1.5873072564177084,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
According to Classical economic theory the equation of exchange demonstrates the neutrality of money only if the,(A) velocity of money supply and the quantity of output are constant.,(B) money supply and its velocity are equal.,(C) velocity of money supply equals the speed of transactions.,(D) money supply and its velocity are inversely related.,A,A,True,20.0,0,-0.046614907681941986,-4.740243911743164,-4.678885459899902,-5.0572662353515625,2.4379000485090443,-1.7140052563331105,-2.051604244237145,-2.589679521279769,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
If the world price of copper exceeds the domestic (U.S.) price of copper we would expect,(A) the United States to be a net exporter of copper.,(B) the United States to impose a tariff on imported copper to protect domestic producers.,(C) the demand for U.S. copper to fall.,(D) a growing trade deficit in the United States in goods and services.,A,A,True,20.0,0,-0.8977106809616089,-3.1382625102996826,-2.2645084857940674,-0.897796094417572,1.5868042752293774,-0.11202385488962907,0.36277272986869,1.5697906196542215,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
With a managed float,(A) countries occasionally intervene in foreign exchange markets.,(B) countries never have to intervene in foreign exchange markets.,(C) countries must constantly intervene to maintain the value of their currencies.,(D) exchange rates are fixed.,A,A,True,20.0,0,-0.06079782918095589,-4.304405212402344,-4.1197662353515625,-4.870921611785889,2.4237171270100304,-1.2781665569922902,-1.492485019688805,-2.403334897714095,-2.4845149561909863,-3.0262386554100535,-2.6272812156627574,-2.4675867140717935,A,A,True,True
Labor productivity and economic growth increase if,(A) a nation subsidizes education for all citizens.,(B) a nation imposes tariffs and quotas on imported goods.,(C) a nation removes penalties for firms that pollute natural resources.,(D) a nation ignores societal barriers like discrimination.,A,A,True,20.0,1,-0.2334776371717453,-5.705845832824707,-5.145540237426758,-1.733069658279419,2.306197252778108,-2.650118039920926,-2.6055459034906927,0.8706714069193002,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
The international value of the dollar will appreciate if,(A) American income falls relative to the rest of the world.,(B) American interest rates fall relative to interest rates in other countries.,(C) American prices rise.,(D) foreigners boycott American products.,A,D,False,20.0,1,-1.357085108757019,-1.8585830926895142,-1.6082229614257812,-1.1086760759353638,1.182589781192834,1.1971447002142668,0.9317713725102839,1.4950649892633554,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,D,D,False,False
An increase in the price level and a decrease in real GDP in the short run could be the result of,(A) a prolonged period of very bad weather.,(B) a decrease in the money supply.,(C) a decrease in consumer confidence.,(D) an increase in consumer confidence.,A,B,False,20.0,1,-1.4747925996780396,-0.4754193425178528,-2.717100143432617,-3.090669870376587,1.0648822902718136,2.580308450385928,-0.17710580949655208,-0.48692880517786774,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,B,B,False,False
What does the presence of discouraged workers do to the measurement of the unemployment rate?,"(A) Discouraged workers are counted as ""out of the labor force"" thus the unemployment rate is understated making the economy look stronger than it is.","(B) Discouraged workers are counted as ""out of the labor force"" thus the unemployment rate is understated making the economy look weaker than it is.",(C) Discouraged workers are not surveyed so there is no impact on the unemployment rate.,"(D) Discouraged workers are counted as ""unemployed"" thus the unemployment rate is understated making the economy look stronger than it is.",A,A,True,20.0,1,-0.3543907403945923,-1.6082229614257812,-2.982591152191162,-3.482896089553833,2.185284149555261,1.4475048314779997,-0.442596818255097,-0.8791550243551138,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
Which of the following could limit the ability of a central bank to conduct expansionary monetary policy?,(A) Money demand is nearly perfectly elastic.,(B) Investment demand is nearly perfectly elastic.,(C) Banks make loans with all excess reserves.,(D) Households carry very little cash holding their money in checking and saving deposits.,A,D,False,20.0,1,-1.647504448890686,-3.1391913890838623,-2.0142781734466553,-0.5191671252250671,0.8921704410591671,-0.08346359618008137,0.5257161604894098,2.084573939973652,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,D,D,False,False
What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume a Classical aggregate supply curve.,(A) The equilibrium price level increases while the equilibrium quantity of output decreases.,(B) The equilibrium price level decreases while the equilibrium quantity of output increases.,(C) The equilibrium price level and quantity of output increase.,(D) The equilibrium price level remains unchanged while the equilibrium quantity of output increases.,A,A,True,20.0,1,-0.14305758476257324,-3.513110399246216,-2.7635397911071777,-3.5121893882751465,2.39661730518728,-0.4573826063424349,-0.22354545717111263,-0.9084483230764273,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
Which of the following persons is considered to be unemployed? I. Mary who has quit her job to look for another. II. John who fulfilled his dream by retiring from work at age 45. III. Diane who works part-time but would like to work full-time.,(A) I only,(B) II only,(C) III only,(D) I and III,A,D,False,20.0,1,-2.4835829734802246,-4.061254501342773,-2.358795642852783,-0.2341177761554718,0.05609191646962852,-1.0055267084389925,0.1811986910832819,2.3696232890432474,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,D,D,False,False
Classical economists believe,(A) in the quantity theory of money—that both the velocity and the quantity of goods and services sold per period are fairly stable,(B) there is a serious risk of a liquidity trap because the demand curve for money is relatively flat,(C) that the government should make every effort to fine-tune the economy,(D) that the aggregate supply curve is L-shaped,A,A,True,20.0,1,-0.07725945115089417,-6.181857585906982,-5.328205108642578,-3.4502761363983154,2.462415438798959,-3.1261297930032015,-2.788210774706513,-0.8465350711995963,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
Which of the following would NOT shift the aggregate supply curve?,(A) An increase in the price level.,(B) A decrease in the amount of resources in the economy.,(C) An increase in the amount of resources in the economy.,(D) An increase in technology.,A,A,True,20.0,1,-0.08115561306476593,-3.8252761363983154,-3.9510397911071777,-3.699233055114746,2.458519276885087,-0.7695483434945345,-1.4110454571711126,-1.095491989916027,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
In the equation of exchange if V and Q are constant then,(A) changes in the price level must be proportional to changes in the money supply.,(B) changes in the money supply have no effect on the price level.,(C) changes in the price level have no effect on the money supply.,(D) the equation is invalid.,A,A,True,20.0,1,-0.25976741313934326,-1.631200909614563,-4.927743911743164,-5.1197662353515625,2.27990747681051,1.424526883289218,-2.387749577807099,-2.5160251701528433,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
If the demand for dollars rises while the supply of dollars falls then the,(A) dollar will appreciate.,(B) dollar will depreciate.,(C) exchange rates will be affected but not the value of the dollar.,(D) exchange rate will not be affected.,A,A,True,20.0,1,-0.04580307751893997,-4.617853164672852,-4.928885459899902,-4.620659351348877,2.493871812430913,-1.5621253717690706,-2.3888911259638372,-2.016918286150158,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
If 200 computers with a retail value of $100000 are domestically produced in 2005 but not sold until 2006 then GDP in 2005 is,(A) $100000 higher because of the computers.,(B) 200 higher because of the computers.,(C) unaffected until 2006 when the computers are sold and the figure for GDP in 2005 is revised.,(D) higher by the wholesale value of the computers.,A,C,False,20.0,1,-1.89646315574646,-2.8891913890838623,-0.5226638913154602,-1.7723803520202637,0.6432117342033932,0.16653640381991863,2.017330442620605,0.8313607131784555,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,C,C,False,False
Tariffs and quotas,(A) result in higher domestic prices.,(B) promote trade between nations.,(C) do not necessarily affect domestic prices.,(D) affect domestic prices: the former raises them while the latter lowers them.,A,A,True,20.0,1,-0.20442558825016022,-3.888110399246216,-2.3270084857940674,-3.3260397911071777,2.335249301699693,-0.8323826063424349,0.21298584814199772,-0.7222987259084586,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
If the short-run aggregate supply curve is horizontal it is because,(A) there exist many unemployed resources so that output can be increased without increasing wages and prices.,(B) any increase in output requires a corresponding increase in wages and prices.,(C) increases in output cause prices to increase but wages adjust much less quickly.,(D) falling interest rates increase the demand for goods and services putting upward pressure on prices.,A,A,True,20.0,1,-0.2188301980495453,-2.3402605056762695,-3.339796781539917,-3.2172000408172607,2.320844691900308,0.7154672872275114,-0.7998024476038519,-0.6134589756185416,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
What will happen to the equilibrium price level and the equilibrium quantity of output if a major earthquake destroys much of the plant and equipment on the West Coast? Assume an upward sloping aggregate supply curve.,(A) The equilibrium price level increases while the equilibrium quantity of output decreases.,(B) The equilibrium price level decreases while the equilibrium quantity of output increases.,(C) The equilibrium price level and quantity of output increase.,(D) The equilibrium price level and quantity of output decrease.,A,A,True,20.0,1,-0.1371692568063736,-3.763110399246216,-3.1385397911071777,-3.0141913890838623,2.4025056331434795,-0.7073826063424349,-0.5985454571711126,-0.41045032388514313,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
Which of the following will cause the aggregate demand curve to shift to the left?,(A) Expectations of surpluses of goods in the future,(B) A decrease in income taxes,(C) An increase in government spending,(D) An increase in foreign income,A,A,True,20.0,1,-0.16479912400245667,-5.2154717445373535,-4.903696060180664,-2.045792579650879,2.3748757659473965,-2.1597439516335726,-2.363701726244599,0.5579484855478403,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
Which of the following will promote economic growth?,(A) An increase in the amount of capital.,(B) Lower wages.,(C) Price controls that keep prices low.,(D) Increased government spending.,A,A,True,20.0,1,-0.026823563501238823,-6.080845832824707,-5.583685874938965,-4.652042388916016,2.5128513264486143,-3.025118039920926,-3.0436915410028997,-2.0483013237172965,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
If interest rates rise relatively more in country A than in country B then the value of country A's currency will,(A) appreciate.,(B) depreciate.,(C) remain unchanged.,(D) change indeterminately.,A,A,True,20.0,1,-0.20688694715499878,-2.0739824771881104,-4.334292888641357,-4.6501336097717285,2.3327879427948544,0.9817453157156706,-1.7942985547052923,-2.0463925445730093,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
Private industry can promote economic growth by,(A) implementing innovative production techniques.,(B) offering products at artificially low prices.,(C) giving a significant amount of profits to charity.,(D) hiring workers who are not really needed.,A,A,True,20.0,1,-0.03759491816163063,-6.013653755187988,-5.580845832824707,-4.901176929473877,2.5020799717882225,-2.9579259622842073,-3.040851498888642,-2.297435864275158,-2.539674889949853,-3.055727792903781,-2.539994333936065,-2.603741065198719,A,A,True,True
Which of the following is true about the consumption function?,(A) The slope is equal to the MPC.,(B) The slope is equal to the MPS.,(C) The slope is equal to MPC + MPS.,(D) It shifts upward when consumers are more pessimistic about the future.,A,A,True,20.0,2,-0.07676734775304794,-4.742853164672852,-3.9500925540924072,-3.5750925540924072,2.442240934140915,-1.8285822496063222,-1.3006191721937634,-0.9939100444153475,-2.5190082818939628,-2.9142709150665294,-2.649473381898644,-2.5811825096770598,A,A,True,True
Rising prices are a problem because,(A) money in household savings accounts can now buy fewer goods and services.,(B) household incomes generally do not rise with prices.,(C) the economy could run out of money.,(D) borrowers have to repay loans with more dollars.,A,A,True,20.0,2,-0.6434102654457092,-1.2653049230575562,-4.402296543121338,-2.6394362449645996,1.8755980164482535,1.6489659920089732,-1.752823161222694,-0.058253735287539854,-2.5190082818939628,-2.9142709150665294,-2.649473381898644,-2.5811825096770598,A,A,True,True
What will happen to the equilibrium price and the equilibrium quantity of good A when producers of good A expect the price to be higher in the near future?,(A) The equilibrium price will rise and the equilibrium quantity will fall.,(B) The equilibrium price will fall and the equilibrium quantity will rise.,(C) The equilibrium price and the equilibrium quantity will rise.,(D) The equilibrium price and the equilibrium quantity will fall.,A,A,True,20.0,2,-0.26090487837791443,-3.1394362449645996,-2.1397552490234375,-3.014359712600708,2.2581034035160483,-0.22516532989807025,0.5097181328752063,-0.43317720292364825,-2.5190082818939628,-2.9142709150665294,-2.649473381898644,-2.5811825096770598,A,A,True,True
Which of the following is a fundamental economic question?,(A) Who will get how much of each good and service?,(B) Who should pay taxes?,(C) Who will work?,(D) Who will make the economic decisions?,A,A,True,20.0,2,-0.43669554591178894,-6.620082378387451,-3.935997724533081,-1.187164545059204,2.082312735982174,-3.705811463320922,-1.2865243426344373,1.3940179646178557,-2.5190082818939628,-2.9142709150665294,-2.649473381898644,-2.5811825096770598,A,A,True,True
If interest rates rise in the United States relative to other nations then,(A) the value of the dollar will tend to appreciate.,(B) the value of the dollar will tend to depreciate.,(C) exchange rates will be affected but not the value of the dollar.,(D) the exchange rate will not be affected.,A,A,True,20.0,2,-0.037544477730989456,-4.395540237426758,-5.393345832824707,-5.525850296020508,2.4814638041629733,-1.4812693223602285,-2.7438724509260632,-2.944667786343448,-2.5190082818939628,-2.9142709150665294,-2.649473381898644,-2.5811825096770598,A,A,True,True
Which of the following events has no effect on GDP?,(A) You buy a 1957 Chevy from a friend.,(B) The Department of Transportation repaves a road.,(C) Your friends make a music CD that doesn't sell any copies.,(D) A college buys computers.,A,C,False,20.0,2,-2.528169870376587,-4.525850296020508,-0.16166244447231293,-3.1520423889160156,-0.009161588482624161,-1.6115793809539785,2.487810937426331,-0.5708598792389559,-2.5190082818939628,-2.9142709150665294,-2.649473381898644,-2.5811825096770598,C,C,False,False
Suppose DVD players are a normal good and are exchanged in a competitive market. All else equal an increase in household income will,(A) increase the equilibrium quantity and increase the price.,(B) decrease the equilibrium quantity and increase the price.,(C) increase the equilibrium price but the change in quantity is ambiguous.,(D) decrease the equilibrium quantity and decrease the price.,A,A,True,20.0,2,-0.30019956827163696,-5.229458332061768,-1.545091152191162,-4.364618301391602,2.218808713622326,-2.3151874169952382,1.1043822297074817,-1.7834357917145418,-2.5190082818939628,-2.9142709150665294,-2.649473381898644,-2.5811825096770598,A,A,True,True
Suppose the Japanese economy is suffering a prolonged recession. Lower Japanese household incomes will affect U.S. exports to Japan demand for the dollar and the value of the dollar relative to the yen in which of the following ways? EXPORTS TO JAPAN     DEMAND FOR $     VALUE OF $,(A) Decrease     Decrease     Decrease,(B) Decrease     Decrease     Increase,(C) Decrease     Increase     Decrease,(D) Increase     Decrease     Decrease,A,A,True,20.0,2,-0.20372875034809113,-3.509967088699341,-2.4507625102996826,-3.0750925540924072,2.3152795315458716,-0.5956961736328115,0.19871087159896117,-0.49391004441534747,-2.5190082818939628,-2.9142709150665294,-2.649473381898644,-2.5811825096770598,A,A,True,True
