Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1,1,material-properties,,negation,1,Chao can see through the wheel.,Is the wheel transparent?,Yes,-7.181190013885498,-2.528695821762085,No,False
2,1,material-properties,,negation,1,Chao can see through the wheel.,Is the wheel opaque?,No,-7.339542388916016,-3.451284646987915,No,True
3,1,material-properties,,negation,2,Chao cannot see through the wheel.,Is the wheel transparent?,No,-6.5565714836120605,-2.5435450077056885,No,True
4,1,material-properties,,negation,2,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,-5.870921611785889,-3.4350242614746094,No,False
5,2,material-properties,,material,1,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,-4.087240695953369,-2.7886533737182617,No,False
6,2,material-properties,,material,1,The wheel is made of polyethylene.,Is the wheel opaque?,No,-4.182582378387451,-3.16438627243042,No,True
7,2,material-properties,,material,2,The wheel is made of bronze.,Is the wheel transparent?,No,-5.118690013885498,-3.134967088699341,No,True
8,2,material-properties,,material,2,The wheel is made of bronze.,Is the wheel opaque?,Yes,-4.8376336097717285,-3.1031627655029297,No,False
9,3,material-properties,,antonym,1,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,-3.6031627655029297,-3.541722059249878,No,False
10,3,material-properties,,antonym,1,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,-4.053332328796387,-2.8813138008117676,No,True
11,3,material-properties,,antonym,2,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel smooth?,No,-4.547430038452148,-3.738243818283081,No,True
12,3,material-properties,,antonym,2,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel rough?,Yes,-3.2413854598999023,-4.305353164672852,Yes,True
13,4,material-properties,,material,1,The wheel is made of polyethylene.,Is the surface of the wheel smooth?,Yes,-3.3538906574249268,-3.7281627655029297,Yes,True
14,4,material-properties,,material,1,The wheel is made of polyethylene.,Is the surface of the wheel rough?,No,-3.698715925216675,-3.509967088699341,No,True
15,4,material-properties,,material,2,The wheel is made of concrete.,Is the surface of the wheel smooth?,No,-4.023877143859863,-2.947103261947632,No,True
16,4,material-properties,,material,2,The wheel is made of concrete.,Is the surface of the wheel rough?,Yes,-3.681190252304077,-3.1815714836120605,No,False
17,5,material-properties,,antonym,1,Chao squeezed the wheel. It changed its shape.,Is the wheel soft?,Yes,-5.903356075286865,-1.858069658279419,No,False
18,5,material-properties,,antonym,1,Chao squeezed the wheel. It changed its shape.,Is the wheel hard?,No,-5.340035915374756,-1.8970801830291748,No,True
19,5,material-properties,,antonym,2,Chao squeezed the wheel. It kept its shape.,Is the wheel soft?,No,-5.403356075286865,-1.5926157236099243,No,True
20,5,material-properties,,antonym,2,Chao squeezed the wheel. It kept its shape.,Is the wheel hard?,Yes,-4.8402605056762695,-2.1862542629241943,No,False
21,6,material-properties,,material,1,The wheel is made of flannel.,Is the wheel soft?,Yes,-3.7614824771881104,-3.012397289276123,No,False
22,6,material-properties,,material,1,The wheel is made of flannel.,Is the wheel hard?,No,-4.433899879455566,-2.575610399246216,No,True
23,6,material-properties,,material,2,The wheel is made of bronze.,Is the wheel soft?,No,-6.3697662353515625,-2.043330669403076,No,True
24,6,material-properties,,material,2,The wheel is made of bronze.,Is the wheel hard?,Yes,-4.898403167724609,-3.212240695953369,No,False
25,7,material-properties,,antonym,1,Chao squeezed the wheel. It changed its shape.,Is the surface of the wheel soft?,Yes,-5.903169631958008,-2.0457229614257812,No,False
26,7,material-properties,,antonym,1,Chao squeezed the wheel. It changed its shape.,Is the surface of the wheel hard?,No,-5.2152605056762695,-2.2172937393188477,No,True
27,7,material-properties,,antonym,2,Chao squeezed the wheel. It kept its shape.,Is the surface of the wheel soft?,No,-5.0279717445373535,-1.7645760774612427,No,True
28,7,material-properties,,antonym,2,Chao squeezed the wheel. It kept its shape.,Is the surface of the wheel hard?,Yes,-4.9029717445373535,-2.7175426483154297,No,False
29,8,material-properties,,material,1,The wheel is made of flannel.,Is the surface of the wheel soft?,Yes,-4.089271545410156,-3.0752761363983154,No,False
30,8,material-properties,,material,1,The wheel is made of flannel.,Is the surface of the wheel hard?,No,-4.463983535766602,-2.8566136360168457,No,True
31,8,material-properties,,material,2,The wheel is made of bronze.,Is the surface of the wheel soft?,No,-5.213003158569336,-2.7619683742523193,No,True
32,8,material-properties,,material,2,The wheel is made of bronze.,Is the surface of the wheel hard?,Yes,-4.992393970489502,-4.1815714836120605,No,False
33,9,material-properties,,antonym,1,The wheel is stretchy.,Is the wheel elastic?,Yes,-5.683899879455566,-2.2634055614471436,No,False
34,9,material-properties,,antonym,1,The wheel is stretchy.,Is the wheel inelastic?,No,-5.805784702301025,-4.0572662353515625,No,True
35,9,material-properties,,antonym,2,The wheel is rigid.,Is the wheel elastic?,No,-6.370659351348877,-2.3726742267608643,No,True
36,9,material-properties,,antonym,2,The wheel is rigid.,Is the wheel inelastic?,Yes,-5.523877143859863,-3.449233055114746,No,False
37,10,material-properties,,antonym,1,Chao pulled on the wheel with both hands. It changed its shape.,Is the wheel elastic?,Yes,-7.400503158569336,-1.701396107673645,No,False
38,10,material-properties,,antonym,1,Chao pulled on the wheel with both hands. It changed its shape.,Is the wheel inelastic?,No,-6.553332328796387,-3.262397289276123,No,True
39,10,material-properties,,antonym,2,Chao pulled on the wheel with both hands. It kept its shape.,Is the wheel elastic?,No,-7.151483535766602,-2.1078007221221924,No,True
40,10,material-properties,,antonym,2,Chao pulled on the wheel with both hands. It kept its shape.,Is the wheel inelastic?,Yes,-7.118284702301025,-2.9197237491607666,No,False
41,11,material-properties,,material,1,The wheel is made of flannel.,Is the wheel elastic?,Yes,-4.369429588317871,-3.4176011085510254,No,False
42,11,material-properties,,material,1,The wheel is made of flannel.,Is the wheel inelastic?,No,-5.022899627685547,-4.337240695953369,No,True
43,11,material-properties,,material,2,The wheel is made of bronze.,Is the wheel elastic?,No,-5.338003158569336,-3.1364824771881104,No,True
44,11,material-properties,,material,2,The wheel is made of bronze.,Is the wheel inelastic?,Yes,-5.367853164672852,-4.055784702301025,No,False
45,12,material-properties,,antonym,1,The wheel looks shiny.,Is the surface of the wheel glossy?,Yes,-4.586822032928467,-4.026483535766602,No,False
46,12,material-properties,,antonym,1,The wheel looks shiny.,Is the surface of the wheel matte?,No,-6.117853164672852,-4.555784702301025,No,True
47,12,material-properties,,antonym,2,The wheel looks dim.,Is the surface of the wheel glossy?,No,-5.963350296020508,-5.027296543121338,No,True
48,12,material-properties,,antonym,2,The wheel looks dim.,Is the surface of the wheel matte?,Yes,-5.211822032928467,-4.8072662353515625,No,False
49,13,material-properties,,antonym,1,The surface of the wheel reflects sunlight.,Is the surface of the wheel glossy?,Yes,-5.026176929473877,-3.6520423889160156,No,False
50,13,material-properties,,antonym,1,The surface of the wheel reflects sunlight.,Is the surface of the wheel matte?,No,-4.9652605056762695,-3.6660380363464355,No,True
51,13,material-properties,,antonym,2,The surface of the wheel does not reflect sunlight.,Is the surface of the wheel glossy?,No,-5.118690013885498,-2.8065714836120605,No,True
52,13,material-properties,,antonym,2,The surface of the wheel does not reflect sunlight.,Is the surface of the wheel matte?,Yes,-3.886215925216675,-3.631875514984131,No,False
53,14,material-properties,,material,1,The wheel is made of aluminum.,Is the surface of the wheel glossy?,Yes,-4.368690013885498,-3.2298262119293213,No,False
54,14,material-properties,,material,1,The wheel is made of aluminum.,Is the surface of the wheel matte?,No,-4.182582378387451,-3.259967088699341,No,True
55,14,material-properties,,material,2,The wheel is made of concrete.,Is the surface of the wheel glossy?,No,-4.555784702301025,-3.0575826168060303,No,True
56,14,material-properties,,material,2,The wheel is made of concrete.,Is the surface of the wheel matte?,Yes,-4.399322032928467,-2.9150543212890625,No,False
57,15,material-properties,,antonym,1,The wheel is easy to break.,Is the wheel fragile?,Yes,-4.7777605056762695,-1.7088360786437988,No,False
58,15,material-properties,,antonym,1,The wheel is easy to break.,Is the wheel sturdy?,No,-5.057582378387451,-4.99537992477417,No,True
59,15,material-properties,,antonym,2,The wheel is hard to break.,Is the wheel fragile?,No,-6.310315132141113,-1.0457229614257812,No,True
