question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
The infraorbital nerve,(A) is a terminal branch of the maxillary division of the trigeminal nerve.,(B) is a terminal branch of the maxillary branch of the facial nerve.,(C) carries parasympathetic secretomotor neurons to the lacrimal gland.,(D) innervates the inferior part of the orbicularis oculi muscle.,A,A,True,20.0,0,-0.4548710882663727,-1.7029995918273926,-3.452784299850464,-1.95285964012146,0.862726424768981,0.4827235026492014,-0.8850665291134243,0.34445309721761275,-1.3175975130353537,-2.185723094476594,-2.5677177707370396,-2.2973127373390727,A,A,True,True
Macrostomia results from failure of fusion of,(A) maxillary and mandibular processes.,(B) left and right mandibular processes.,(C) maxillary and frontonasal processes.,(D) mandibular and hyoid arches.,A,A,True,20.0,0,-0.19993069767951965,-2.2030274868011475,-4.187238693237305,-2.952784299850464,1.117666815355834,-0.017304392324553497,-1.6195209225002651,-0.6554715625113912,-1.3175975130353537,-2.185723094476594,-2.5677177707370396,-2.2973127373390727,A,A,True,True
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,(A) paralysis of the facial muscles.,(B) paralysis of the facial muscles and loss of taste.,"(C) paralysis of the facial muscles, loss of taste and lacrimation.","(D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.",A,A,True,20.0,0,-0.24966460466384888,-1.9997965097427368,-3.4995694160461426,-2.9995694160461426,1.0679329083715048,0.18592658473385715,-0.931851645309103,-0.7022566787070699,-1.3175975130353537,-2.185723094476594,-2.5677177707370396,-2.2973127373390727,A,A,True,True
The dorsal roots of all spinal nerves contain,(A) sensory neuronal processes.,(B) sensory and autonomic neuronal processes.,(C) motor neuronal processes.,(D) motor and autonomic neuronal processes.,A,D,False,20.0,0,-1.046718955039978,-1.5467535257339478,-2.5466177463531494,-1.0466747283935547,0.27087855799537564,0.6389695687426462,0.021100024383890137,1.250638008945518,-1.3175975130353537,-2.185723094476594,-2.5677177707370396,-2.2973127373390727,D,D,False,False
A patient suffers a CVA in the area of the left internal capsule conveying motor neurons to the right leg. The patient's leg will exhibit,(A) spastic paralysis.,(B) flaccid paralysis.,(C) tremor.,(D) hyporeflexia.,A,A,True,20.0,0,-0.09313441067934036,-2.8436899185180664,-5.34362268447876,-4.09362268447876,1.2244631023560133,-0.6579668240414724,-2.77590491374172,-1.796309947139687,-1.3175975130353537,-2.185723094476594,-2.5677177707370396,-2.2973127373390727,A,A,True,True
Which of the following is a substance that aids the transmission of nerve impulses to the muscles?,(A) Acetylcholine,(B) Cholecystokinin,(C) Deoxyribose,(D) Oxytocin,A,A,True,20.0,0,-0.20407354831695557,-3.703097105026245,-3.2030789852142334,-2.2030789852142334,1.113523964718398,-1.5173740105496512,-0.6353612144771938,0.09423375212483931,-1.3175975130353537,-2.185723094476594,-2.5677177707370396,-2.2973127373390727,A,A,True,True
"Which of the following is a structural, fibrous protein found in the dermis?",(A) Collagen,(B) Heparin,(C) Lipocyte,(D) Melanin,A,A,True,20.0,1,-0.511672854423523,-4.249954700469971,-1.0077370405197144,-3.999903917312622,0.7242951084238787,-2.024167087343004,1.76271546218292,-1.763501651585102,-1.2359679628474016,-2.2257876131269665,-2.7704525027026343,-2.23640226572752,A,C,True,False
Which of the following best describes the structure that collects urine in the body?,(A) Bladder,(B) Kidney,(C) Ureter,(D) Urethra,A,B,False,20.0,1,-4.093723297119141,-0.8554524183273315,-5.593723297119141,-4.843715667724609,-2.8577553342717392,1.370335194799635,-2.8232707944165063,-2.6073134019970894,-1.2359679628474016,-2.2257876131269665,-2.7704525027026343,-2.23640226572752,B,B,False,False
During swallowing the,(A) auditory tube opens.,(B) cricopharyngeus muscle contracts.,(C) rima glottis opens.,(D) gag reflex is suspended.,A,A,True,20.0,1,-0.702918291091919,-1.2029995918273926,-2.20285964012146,-2.45285964012146,0.5330496717554827,1.022788021299574,0.5675928625811744,-0.21645737439393997,-1.2359679628474016,-2.2257876131269665,-2.7704525027026343,-2.23640226572752,A,B,True,False
Food is prevented from entering the larynx during the pharyngeal phase of swallowing by,(A) constriction of the laryngeal entrance.,(B) upward movement of the epiglottis.,(C) downward movement of the larynx.,(D) increase in respiratory rate.,A,A,True,20.0,1,-0.31021207571029663,-1.8122965097427368,-3.8119471073150635,-2.5620694160461426,0.925755887137105,0.4134911033842297,-1.0414946046124292,-0.3256671503186226,-1.2359679628474016,-2.2257876131269665,-2.7704525027026343,-2.23640226572752,A,A,True,True
Which of the following anatomical regions of abdomen lies just distal to the sternum?,(A) Epigastric,(B) Hypochondriac,(C) Hypogastric,(D) Lumbar,A,C,False,20.0,1,-1.624983310699463,-2.874983310699463,-0.6210663318634033,-1.6249724626541138,-0.38901534785206127,-0.6491956975724964,2.149386170839231,0.6114298030734062,-1.2359679628474016,-2.2257876131269665,-2.7704525027026343,-2.23640226572752,C,C,False,False
The crown of a very carious tooth suddenly fractures while the patient is standing eating at a take-away food outlet and a fragment is inhaled. It is more likely to enter the,(A) right lung because the right main bronchus is wider and more vertical than the left.,(B) left lung because the left main bronchus is wider and more vertical than the right.,(C) right lung or left lung because the two main bronchi are of equal size and at the same angulation.,(D) right or left lung because there are no factors predisposing to the fragment going in one particular direction.,A,A,True,20.0,1,-0.8506439328193665,-1.600869059562683,-2.342615842819214,-1.350419282913208,0.38532403002803517,0.6249185535642834,0.42783665988342046,0.885982982814312,-1.2359679628474016,-2.2257876131269665,-2.7704525027026343,-2.23640226572752,A,D,True,False
Parasympathetic preganglionic nerves leave the central nervous system with the,(A) third cranial nerves.,(B) fourth cranial nerves.,(C) fifth cranial nerves.,(D) sixth cranial nerves.,A,A,True,20.0,2,-0.3745693862438202,-1.874664545059204,-2.8744471073150635,-2.3745694160461426,0.9031588252530329,0.4137259605858059,-0.20470593372819046,-0.1383417753709688,-1.2777282114968531,-2.28839050564501,-2.669741173586873,-2.2362276406751738,A,A,True,True
Which one of the following statements about the growth of the mandible is correct?,(A) The mental symphysis closes at about 1 year postnatally,(B) The condylar growth cartilage ceases activity at puberty,(C) The ossification centre appears about 8 weeks I.U.L medial to Meckel's cartilage,(D) The functional matrix acting on the angle of the mandible is the lateral pterygoid muscle,A,C,False,20.0,2,-1.453027367591858,-1.9530489444732666,-0.9568697214126587,-1.453027367591858,-0.1752991560950048,0.3353415611717434,1.7128714521742143,0.7832002730833159,-1.2777282114968531,-2.28839050564501,-2.669741173586873,-2.2362276406751738,C,C,False,False
A pulse may be felt on a patient's face where the,(A) facial artery crosses the mandible.,(B) facial artery crosses the maxilla.,(C) superficial temporal artery crosses the maxilla.,(D) superficial temporal artery crosses the orbital rim.,A,A,True,20.0,2,-0.604750394821167,-1.1013072729110718,-3.1084775924682617,-2.6084775924682617,0.6729778166756861,1.1870832327339382,-0.4387364188813887,-0.37224995179308795,-1.2777282114968531,-2.28839050564501,-2.669741173586873,-2.2362276406751738,A,B,True,False
"A patient has a fracture in which the radius is bent but not displaced, and the skin is intact. This type of fracture is known as which of the following?","(A) Closed, greenstick","(B) Complex, comminuted","(C) Compound, transverse","(D) Open, spiral",A,A,True,20.0,2,-0.41792428493499756,-1.664018154144287,-2.1718177795410156,-3.4217536449432373,0.8598039265618556,0.6243723515007229,0.4979233940458574,-1.1855260042680635,-1.2777282114968531,-2.28839050564501,-2.669741173586873,-2.2362276406751738,A,A,True,True
The mucosa of the hard palate is,(A) keratinised and has submucosa and minor salivary glands posterolaterally.,(B) non-keratinised and has submucosa and minor salivary glands posteromedially.,(C) keratinised and lacks submucosa and minor salivary glands.,(D) non-keratinised and lacks submucosa and minor salivary glands.,A,A,True,20.0,2,-0.18401899933815002,-2.4372386932373047,-3.4367902278900146,-3.1867902278900146,1.093709212158703,-0.14884818759229468,-0.7670490543031416,-0.9505625872148409,-1.2777282114968531,-2.28839050564501,-2.669741173586873,-2.2362276406751738,A,A,True,True
Saliva contains an enzyme that acts upon which of the following nutrients?,(A) Starches,(B) Proteins,(C) Fats,(D) Minerals,A,C,False,20.0,2,-1.538907766342163,-1.2889894247055054,-1.288907766342163,-1.5389419794082642,-0.26117955484530997,0.9994010809395046,1.38083340724471,0.6972856612669096,-1.2777282114968531,-2.28839050564501,-2.669741173586873,-2.2362276406751738,C,C,False,False
A patient is admitted after a head injury and sinks rapidly into a coma. An MRI scan indicates an extradural haemorrhage because extravasated blood can be detected between the,(A) skull bones and dura mater.,(B) dura mater and arachnoid.,(C) arachnoid and pia mater.,(D) pia mater and brain surface.,A,A,True,20.0,3,-0.2674524784088135,-2.0155489444732666,-4.031086444854736,-2.5154640674591064,0.9306662247205775,0.02275596559047699,-1.3644032412105136,-0.4004122018814087,-1.198118703129391,-2.0383049100637436,-2.6666832036442227,-2.1150518655776978,A,A,True,True
Loss of somatic sensation over the anterior two-thirds of the tongue indicates damage to the,(A) lingual branch of the mandibular trigeminal nerve.,(B) chorda tympani branch of the facial nerve.,(C) lingual branch of the glossopharyngeal nerve.,(D) hypoglossal nerve.,A,A,True,20.0,3,-0.20979894697666168,-1.9608391523361206,-3.702784299850464,-3.95285964012146,0.9883197561527293,0.07746575772762299,-1.0361010962062411,-1.8378077745437622,-1.198118703129391,-2.0383049100637436,-2.6666832036442227,-2.1150518655776978,A,A,True,True
The coronal suture joins the,(A) frontal and parietal bones.,(B) left and right parietal bones.,(C) parietal and occipital bones.,"(D) parietal, squamous temporal and greater wing of the sphenoid.",A,A,True,20.0,3,-0.5073784589767456,-1.757474422454834,-2.9992902278900146,-1.7570970058441162,0.6907402441526453,0.2808304876089096,-0.3326070242457919,0.35795485973358154,-1.198118703129391,-2.0383049100637436,-2.6666832036442227,-2.1150518655776978,A,A,True,True
"When you examine a patient who has suffered an unfavourable fracture of the body of the mandible, you would expect the",(A) anterior fragment to be displaced downwards by the action of the digastric muscle.,(B) posterior fragment to be displaced anteriorly by the action of the lateral pterygoid muscle.,(C) anterior fragment to be displaced backwards by action of the temporalis muscle.,(D) posterior fragment to be displaced medially by action of the medial pterygoid muscle.,A,A,True,20.0,3,-0.29675352573394775,-2.0468177795410156,-3.7966747283935547,-2.2967190742492676,0.9013651773954432,-0.008512869477272034,-1.129991524749332,-0.18166720867156982,-1.198118703129391,-2.0383049100637436,-2.6666832036442227,-2.1150518655776978,A,A,True,True
Which muscle is the most active during a right lateral excursion of the mandible?,(A) Left lateral pterygoid muscle,(B) Right lateral pterygoid muscle,(C) Left medial pterygoid muscle,(D) Right medial pterygoid muscle,A,D,False,20.0,3,-1.1327847242355347,-1.8827909231185913,-2.3749547004699707,-0.8788607120513916,0.06533397889385628,0.15551398694515228,0.29172850317425203,1.2361911535263062,-1.198118703129391,-2.0383049100637436,-2.6666832036442227,-2.1150518655776978,D,D,False,False
Which of the following allows gas exchange in the lungs?,(A) Alveoli,(B) Bronchi,(C) Bronchioles,(D) Capillaries,A,A,True,20.0,3,-0.09666979312896729,-3.3437423706054688,-3.8437373638153076,-3.343733787536621,1.1014489100004237,-1.3054374605417252,-1.1770541601710849,-1.2286819219589233,-1.198118703129391,-2.0383049100637436,-2.6666832036442227,-2.1150518655776978,A,A,True,True
