Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,physical-dynamics,,negation,1.0,The speck on the wheel is rotating.,Is the wheel rolling?,Yes,0,-0.7808578610420227,-0.6678227186203003,-0.24105487391352654,-1.2076257057487965,-0.5398029871284962,Yes,True
2.0,1.0,physical-dynamics,,negation,1.0,The speck on the wheel is rotating.,Is the wheel sliding?,No,0,-2.8121848106384277,-0.07019568234682083,-2.2723818235099316,-0.609998669475317,-0.5398029871284962,No,True
3.0,1.0,physical-dynamics,,negation,2.0,The speck on the wheel is not rotating.,Is the wheel rolling?,No,0,-2.0150270462036133,-0.16578999161720276,-1.4752240590751171,-0.7055929787456989,-0.5398029871284962,No,True
4.0,1.0,physical-dynamics,,negation,2.0,The speck on the wheel is not rotating.,Is the wheel sliding?,Yes,0,-0.9097625613212585,-0.546718955039978,-0.3699595741927624,-1.0865219421684742,-0.5398029871284962,Yes,True
5.0,2.0,physical-dynamics,,other,1.0,"In a moment, the top of the wheel will touch the floor.",Is the wheel rolling?,Yes,0,-1.0777842998504639,-0.445171594619751,-0.5379813127219677,-0.9849745817482471,-0.5398029871284962,Yes,True
6.0,2.0,physical-dynamics,,other,1.0,"In a moment, the top of the wheel will touch the floor.",Is the wheel sliding?,No,0,-1.523134469985962,-0.25964856147766113,-0.9833314828574657,-0.7994515486061573,-0.5398029871284962,No,True
7.0,2.0,physical-dynamics,,other,2.0,"In a moment, the top of the wheel will remain at the top.",Is the wheel rolling?,No,0,-2.4684805870056152,-0.1034090593457222,-1.928677599877119,-0.6432120464742184,-0.5398029871284962,No,True
8.0,2.0,physical-dynamics,,other,2.0,"In a moment, the top of the wheel will remain at the top.",Is the wheel sliding?,Yes,0,-1.937221884727478,-0.16590213775634766,-1.3974188975989819,-0.7057051248848438,-0.5398029871284962,No,False
9.0,3.0,physical-dynamics,,other,1.0,The wheel is moving forward on a surface. The surface is very flat.,Is the wheel rolling?,Yes,0,-0.6131246089935303,-0.8163399696350098,-0.0733216218650341,-1.356142956763506,-0.5398029871284962,Yes,True
10.0,3.0,physical-dynamics,,other,1.0,The wheel is moving forward on a surface. The surface is very flat.,Is the wheel sliding?,No,0,-2.609274387359619,-0.08736824989318848,-2.069471400231123,-0.6271712370216846,-0.5398029871284962,No,True
11.0,3.0,physical-dynamics,,other,2.0,The wheel is moving forward on a surface. The surface is very slippery.,Is the wheel rolling?,No,0,-1.1638509035110474,-0.3885859251022339,-0.6240479163825512,-0.9283889122307301,-0.5398029871284962,Yes,False
12.0,3.0,physical-dynamics,,other,2.0,The wheel is moving forward on a surface. The surface is very slippery.,Is the wheel sliding?,Yes,0,-0.19421923160552979,-1.8593302965164185,0.3455837555229664,-2.3991332836449146,-0.5398029871284962,Yes,True
13.0,4.0,physical-dynamics,,antonym,1.0,The wheel is moving down.,Is the wheel falling?,Yes,1,-0.14627648890018463,-2.437429666519165,0.34322424978017807,-2.9269304051995277,-0.4895007386803627,Yes,True
