question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
Aesthetics deals with objects that are_____.,(A) essential to our existence,(B) unimportant to most people,(C) not essential to our existence,(D) rarely viewed,C,-2.249964714050293,-2.7499547004699707,-1.999876618385315,-1.2499417066574097,D,False
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",(A) the state,(B) the justice system,(C) the body,(D) the soul,D,-4.156242847442627,-4.1562395095825195,-3.4062278270721436,-1.3984241485595703,D,True
"According to Kant, nothing can be called “good” without qualification except _____.",(A) right action,(B) good consequences,(C) happiness,(D) a good will,D,-3.5468697547912598,-3.296860456466675,-4.156219959259033,-1.4218649864196777,D,True
Plato's view is that true beauty is _____.,(A) found in everyday objects,(B) nonexistent,(C) everywhere in the natural world,(D) not of this world,D,-3.3124911785125732,-3.0624871253967285,-2.062464714050293,-1.5702993869781494,D,True
"In Aristotle’s terminology, incontinence is when:",(A) one does not know that one’s actions are wrong.,"(B) one knows that one’s actions are wrong, but does them anyway.","(C) one knows that one’s feelings are inappropriate, and does not act on them.","(D) one does the right action, but for the wrong reason.",B,-2.5624725818634033,-1.804652452468872,-2.812425136566162,-1.3046424388885498,D,False
Nagel claims that most skeptical arguments:,(A) are the result of applying arbitrarily stringent standards.,(B) are based on linguistic confusions.,(C) are logically self-refuting.,(D) grow from the consistent application of ordinary standards.,D,-3.2343244552612305,-2.4843177795410156,-2.4842190742492676,-0.976498007774353,D,True
Rawls conceives of the original contract as one to:,(A) enter a particular society.,(B) set up a particular form of government.,(C) establish the principles of justice for the basic structure of society.,(D) establish the content of morality.,C,-2.687478542327881,-2.9374725818634033,-0.9413477182388306,-1.9452768564224243,C,True
"According to Singer, compliance with his principle requires:","(A) modest changes to our personal habits, but not to our society as a whole.","(B) modest changes to our personal habits, as well as to society.","(C) drastic changes to our personal habits, but not to our society.",(D) drastic changes to both our personal habits and to our society.,D,-2.953097105026245,-2.4530932903289795,-2.203065872192383,-0.6991908550262451,D,True
"For Socrates, the soul is harmed by lack of _____.",(A) knowledge,(B) wealth,(C) community,(D) courage,A,-2.7031118869781494,-3.953097105026245,-3.2030274868011475,-1.7109055519104004,D,False
"According to Kant, morality requires us to:",(A) perform the action that leads to the greatest total happiness.,(B) act only on maxims that we can will to become universal laws.,(C) behave only in such a way as a perfectly virtuous person would behave.,(D) place the interests of others above the interests of ourselves.,B,-3.109358549118042,-1.8671634197235107,-2.609330415725708,-1.3671709299087524,D,False
"According to Gauthier, the basis of morality is:",(A) maximizing the utility of all sentient beings.,(B) God’s commands.,(C) the agreement of rational persons choosing the terms of their interaction.,(D) the purposive order of nature.,C,-2.9530892372131348,-2.4530727863311768,-1.9530388116836548,-1.2030891180038452,D,False
Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,(A) religion.,(B) physics.,(C) psychology.,(D) art.,C,-3.624983310699463,-3.124978542327881,-2.3749547004699707,-1.3827934265136719,D,False
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,(A) duty.,(B) justice.,(C) virtue.,(D) supererogation.,B,-3.5312178134918213,-2.5312249660491943,-2.5311625003814697,-1.7733910083770752,D,False
Berkeley asserts that existing and perceiving are _____.,(A) one and the same thing,(B) both nonexistent,(C) two distinct things,(D) imaginary,A,-3.17185640335083,-2.9218480587005615,-1.921817660331726,-1.171858549118042,D,False
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",(A) rational,(B) artificial,(C) constitutional,(D) fair,D,-4.9062418937683105,-4.15623664855957,-3.1562178134918213,-0.9023303985595703,D,True
Berkeley believes that sensible things cannot exist except in _____.,(A) a mind,(B) absolute existence,(C) material substance,(D) a material universe,A,-3.1874899864196777,-2.4374852180480957,-3.437464714050293,-1.6952993869781494,D,False
Singer claims that his argument upsets the traditional distinction between:,(A) duty and charity.,(B) egoism and altruism.,(C) rights and privileges.,(D) positive and negative rights.,A,-2.984354019165039,-2.23435115814209,-2.4843013286590576,-0.9882463216781616,D,False
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:","(A) to what our senses reveal to us about how things appear to us, not how they  really are.","(B) beyond the Forms to images of goodness, beauty, and truth obtained from particular objects.",(C) to what we sincerely believe is true about the Forms based on our experiences in the world.,(D) beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.,D,-3.5779640674591064,-2.3279640674591064,-2.3276875019073486,-1.32785964012146,D,True
What was Clarence Darrow's belief about life's meaning?,(A) Life was not worthwhile.,(B) Life was hard but worthwhile.,(C) Life was uncertain but ultimately rewarding.,(D) Life was meaningful for most people.,A,-5.437484264373779,-5.187472343444824,-3.6874547004699707,-0.4335663318634033,D,False
Stevenson’s primary aim in this paper is to:,(A) provide an account of what makes right actions right.,(B) establish which things are good in themselves.,(C) develop a theory of good moral character.,(D) make ethical questions clear.,D,-3.031229257583618,-3.031219720840454,-3.031186103820801,-1.039018154144287,D,True
"According to Moore, we are thinking about good whenever we think about:",(A) pleasure.,(B) things that we desire.,(C) intrinsic value.,(D) none of the above.,C,-3.8906118869781494,-3.890608072280884,-2.3905932903289795,-1.1484241485595703,D,False
