question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Jerry read a 200-page book in 10 hours. At that rate, how long will it take him to read a 320-page book?",(A) 16 hours,(B) 18 hours,(C) 24 hours,(D) 32 hours,A,C,False,20.0,0,-8.312420845031738,-13.936643600463867,-6.405603408813477,-8.124195098876953,2.8641493508690274,-0.2809298059396568,6.251055347292047,4.484056857594272,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,C,C,False,False
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,(A) 8,(B) 9,(C) 49,(D) 63,A,A,True,20.0,0,-11.62476921081543,-13.681929588317871,-16.12329864501953,-15.246399879455566,-0.44819901491466396,-0.02621579379366068,-3.466639888914008,-2.6381479229843414,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,B,True,False
Find the value of 6 • 24 ÷ (8 − 5).,(A) 48,(B) 13,(C) −13,(D) 54,A,D,False,20.0,0,-11.31246280670166,-12.312429428100586,-12.062283515930176,-11.249704360961914,-0.13589261080089443,1.3432843664236245,0.5943752401753475,1.358547595509311,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,D,D,False,False
Change 34 L 18 cL to liters.,(A) 34.18 L,(B) 35.8 L,(C) 34.018 L,(D) 214 L,A,C,False,20.0,0,-12.311980247497559,-15.187143325805664,-11.686088562011719,-14.311088562011719,-1.1354100515967929,-1.5314295312814536,0.9705701940938045,-1.7028366055404938,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,C,C,False,False
"The Mills Library has 1,007,199 books. The Springvale Library has 907,082 books. Which of the following is the best estimate of how many more books the Mills Library has than the Springvale Library?","(A) 100,000 books","(B) 80,000 books","(C) 10,000 books","(D) 8,000 books",A,A,True,20.0,0,-8.562493324279785,-19.374568939208984,-15.562041282653809,-15.437095642089844,2.6140768716209806,-5.718855144684774,-2.9053825265482853,-2.8288436856186188,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
Max and Jonathon were picking strawberries. Max picked 187 strawberries. Jonathon picked 223 strawberries. Together they ate 26 of the strawberries. Which expression shows a way to find the total number of strawberries Max and Jonathon have left?,(A) 190 + 220 – 30 + 4,(B) 185 + 225 – 25 + 1,(C) 200 + 200 – 30 – 4,(D) 200 + 200 – 25 – 1,A,B,False,20.0,0,-11.123674392700195,-10.118690490722656,-11.866385459899902,-10.741385459899902,0.05289580320057041,3.537023303801554,0.7902732962056209,1.8668664965713226,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,B,B,False,False
Which number has an absolute value greater than 5?,(A) -6,(B) -5,(C) 0,(D) 5,A,A,True,20.0,0,-7.187474250793457,-13.99991512298584,-15.624568939208984,-12.437309265136719,3.9890959451073087,-0.34420132846162943,-2.967910183103461,0.17094269133450624,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
"Mr. Jones rolls a six-sided cube numbered 1, 2, 3, 4, 5, 6. What is the probability he rolls a three?",(A) 6-Jan,(B) 5-Jan,(C) 3-Jan,(D) 2-Jan,A,D,False,20.0,0,-10.559117317199707,-13.053332328796387,-11.04833698272705,-10.430784225463867,0.6174528787010587,0.6023814657278237,1.6083217733784725,2.177467731007358,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,D,D,False,False
Find the number that makes the statement true: 0.32 g = _ cg.,(A) 32,(B) 3.2,"(C) 3,200",(D) 320,A,A,True,20.0,0,-13.624964714050293,-21.37479591369629,-20.12451171875,-19.249738693237305,-2.4483945181495272,-7.719082119172079,-7.467852962644477,-6.64148673676608,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",(A) 120 miles,(B) 80 miles,(C) 26 miles,(D) 12 miles,A,A,True,20.0,0,-10.999841690063477,-17.74896812438965,-14.686911582946777,-13.749088287353516,0.17672850583728916,-4.093254329865438,-2.030252826841254,-1.1408363308822906,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
Malik has 240 CDs. He sorted them into 12 equal groups. Which expression shows how to find the number of CDs in each group?,(A) 240 ÷ 12,(B) 240 – 12,(C) 240 + 12,(D) 240 × 12,A,A,True,20.0,0,-12.49752426147461,-14.37092113494873,-16.74407196044922,-15.248297691345215,-1.3209540655738436,-0.71520734042452,-4.0874132043436955,-2.64004573487399,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,B,True,False
Which expression is equivalent to 5(4x + 3) — 2x?,(A) 18x+15,(B) 18x+3,(C) 7x+8,(D) 2x+8,A,B,False,20.0,0,-9.24997615814209,-3.9841983318328857,-5.999754428863525,-10.62451171875,1.9265940377586759,9.671515462691325,6.656904327241998,1.983740237721225,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,B,B,False,False
"One of the events at the circus was Gabriella, the Human Cannonball. On Saturday she did four shows. Her distances measured 7.04 meters, 18.81 meters, 18.39 meters, and 19.94 meters. What was the total distance Gabriella flew that day?",(A) 64.18 m,(B) 74.18 m,(C) 57.14 m,(D) 59.24 m,A,A,True,20.0,0,-13.24991512298584,-16.374374389648438,-18.87396812438965,-16.249568939208984,-2.073344927085074,-2.718660595124227,-6.217309368284125,-3.6413169827377594,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
"The surface area, S, of a right rectangular prism with length l, width w, and height h can be found using the formula S = 2(lw+ wh + hl). What is the surface area, in square inches, of a prism with a length of 12 inches, a width of 9 inches, and a height of 2 inches?",(A) 300,(B) 258,(C) 150,(D) 92,A,A,True,20.0,0,-8.249964714050293,-14.812445640563965,-11.187451362609863,-14.812451362609863,2.9266054818504728,-1.1567318460397544,1.46920739349566,-2.2041994061386383,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
Solve the equation 6.73 = z over 7.74. Check your answer.,(A) 52.0902,(B) 1.0112,(C) −1.0102,(D) 51.5902,A,D,False,20.0,0,-14.124664306640625,-16.999088287353516,-18.995922088623047,-11.498071670532227,-2.9480941107398593,-3.343374492829305,-6.339263332517524,1.1101802859389984,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,D,D,False,False
Find the GCD of 25 and 55.,(A) 5,(B) 11,(C) 50,(D) 275,A,A,True,20.0,0,-10.937495231628418,-18.124969482421875,-18.624954223632812,-15.4999418258667,0.23907496427234776,-4.469255687897665,-5.968295467527289,-2.8916898693954742,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
"Each time Rami turned the dial on a machine, the dial moved 1 degree. Rami turned the dial 10 times. What is the total number of degrees the dial moved?",(A) 10,(B) 90,(C) 110,(D) 360,A,D,False,20.0,0,-14.249568939208984,-12.931190490722656,-16.37329864501953,-12.560173988342285,-3.0729987433082186,0.7245233038015542,-3.716639888914008,0.04807796812893983,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,D,B,False,False
Which situation could be represented by the expression 6 x 2?,(A) Rocco hiked six miles each day for two days.,(B) Rocco had six baseballs and gave away two of them.,(C) Rocco had a total of six tennis balls in two cans.,(D) Rocco biked six miles and then continued for two more miles.,A,A,True,20.0,0,-9.12498664855957,-17.499876022338867,-17.49979591369629,-17.37479591369629,2.0515835473411954,-3.8441622278146568,-4.843137157590766,-4.766543957225064,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
"A sporting goods store is offering a 10% discount on in-line skates that normally cost $110.99. How much will the in-line skates cost with the discount, not including tax?",(A) $99.89 ,(B) $99.99 ,(C) $100.99 ,(D) $109.88 ,A,A,True,20.0,0,-9.812368392944336,-14.999195098876953,-14.62451171875,-11.312254905700684,1.3642018029564298,-1.3434813043527427,-1.9678529626444767,1.2959970507705414,-11.176570195900766,-13.65571379452421,-12.656658756105523,-12.608251956471225,A,A,True,True
