task,QID,AnsRefIDs,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,-3.884216070175171,-3.480830669403076,No,False
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,-4.552743911743164,-3.1023385524749756,No,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,-3.8682847023010254,-3.9947662353515625,Yes,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,-5.2751336097717285,-4.026176929473877,No,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,-3.7928595542907715,-3.6695852279663086,No,False
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,-7.3117899894714355,-5.187320709228516,No,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,-3.9947662353515625,-3.4966177940368652,No,False
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,-6.029793739318848,-4.968179702758789,No,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,-4.118284702301025,-3.886215925216675,No,False
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,-5.6822662353515625,-4.68451452255249,No,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,-3.808159112930298,-3.6218223571777344,No,False
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,-7.624244213104248,-5.280980587005615,No,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,-4.338983535766602,-3.637397289276123,No,False
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,-5.650503158569336,-4.5902605056762695,No,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,-3.7588043212890625,-3.322467088699341,No,False
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,-5.590035915374756,-4.3723649978637695,No,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,-3.808159112930298,-3.6218223571777344,No,False
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,-7.999411582946777,-5.343586444854736,No,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,-3.697103261947632,-3.448715925216675,No,False
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No,-4.805784702301025,-3.5413906574249268,No,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes,-3.7288906574249268,-3.5437464714050293,No,False
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No,-4.149322032928467,-2.8535380363464355,No,True
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes,-3.8389835357666016,-3.4652605056762695,No,False
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No,-5.809322357177734,-4.623188018798828,No,True
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bathroom?,Yes,-3.8231301307678223,-3.3553595542907715,No,False
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bedroom?,No,-4.680353164672852,-3.5557847023010254,No,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-3.324233055114746,-3.2621893882751465,No,False
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the hallway?,No,-4.591031551361084,-3.5913503170013428,No,True
qa1,15,[13],Daniel went to the garden.,Is Daniel in the garden?,Yes,-3.4033563137054443,-3.1533563137054443,No,False
qa1,15,[13],Daniel went to the garden.,Is Daniel in the bathroom?,No,-7.936980724334717,-5.374868869781494,No,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the garden?,Yes,-3.8239824771881104,-3.513110399246216,No,False
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the bedroom?,No,-6.279793739318848,-4.7807769775390625,No,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the hallway?,Yes,-4.05951452255249,-3.3105714321136475,No,False
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the kitchen?,No,-4.743284702301025,-2.806929588317871,No,True
