Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao fold it?,Yes,0,-0.8586760759353638,-0.6086760759353638,-0.8291767766842475,-0.63817537518648,-0.029499299251116273,No,False
2.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao pour it?,No,0,-1.335004448890686,-0.3373408615589142,-1.3055051496395698,-0.36684016081003046,-0.029499299251116273,No,True
3.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao fold it?,No,0,-1.3271992206573486,-0.329532653093338,-1.2976999214062324,-0.3590319523444543,-0.029499299251116273,No,True
4.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao pour it?,Yes,0,-0.9951857924461365,-0.49538660049438477,-0.9656864931950202,-0.524885899745501,-0.029499299251116273,No,False
5.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao fold it?,Yes,0,-0.9988297820091248,-0.4990885853767395,-0.9693304827580085,-0.5285878846278558,-0.029499299251116273,No,False
6.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao pour it?,No,0,-0.9949280619621277,-0.4968789517879486,-0.9654287627110114,-0.5263782510390649,-0.029499299251116273,No,True
7.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao fold it?,No,0,-1.1550798416137695,-0.40728992223739624,-1.1255805423626533,-0.4367892214885125,-0.029499299251116273,No,True
8.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao pour it?,Yes,0,-0.846741259098053,-0.5964815616607666,-0.8172419598469367,-0.6259808609118829,-0.029499299251116273,No,False
10.0,3.0,material-dynamics,3.0,material,1.0,Chao sees something that is fabric.,Can Chao stir it?,No,0,-1.1631721258163452,-0.41314393281936646,-1.133672826565229,-0.44264323207048273,-0.029499299251116273,No,True
12.0,3.0,material-dynamics,3.0,material,2.0,Chao sees something that is liquid.,Can Chao stir it?,Yes,0,-1.3271992206573486,-0.329532653093338,-1.2976999214062324,-0.3590319523444543,-0.029499299251116273,No,False
16.0,4.0,material-dynamics,4.0,material,2.0,Chao sees the water.,Can Chao stir it?,Yes,0,-0.9949280619621277,-0.4949280917644501,-0.9654287627110114,-0.5244273910155663,-0.029499299251116273,No,False
20.0,5.0,material-dynamics,5.0,material,2.0,Chao sees something that is gas.,Can Chao stir it?,Yes,0,-1.335004448890686,-0.33328139781951904,-1.3055051496395698,-0.3627806970706353,-0.029499299251116273,No,False
24.0,6.0,material-dynamics,6.0,material,2.0,Chao sees the oxygen.,Can Chao stir it?,Yes,0,-0.9951857924461365,-0.49323445558547974,-0.9656864931950202,-0.522733754836596,-0.029499299251116273,No,False
25.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it break?,Yes,0,-0.8740885853767395,-0.6244470477104187,-0.8445892861256232,-0.653946346961535,-0.029499299251116273,No,False
26.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it ripple?,No,0,-1.3352106809616089,-0.33913660049438477,-1.3057113817104926,-0.36863589974550104,-0.029499299251116273,No,True
27.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it break?,No,0,-1.1863298416137695,-0.4365885853767395,-1.1568305423626533,-0.4660878846278558,-0.029499299251116273,No,True
28.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it ripple?,Yes,0,-1.5303665399551392,-0.2806970179080963,-1.5008672407040229,-0.3101963171592126,-0.029499299251116273,No,False
31.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it break?,No,0,-1.0146992206573486,-0.5149260759353638,-0.9851999214062324,-0.54442537518648,-0.029499299251116273,No,True
32.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it ripple?,Yes,0,-0.9992901086807251,-0.4992901086807251,-0.9697908094296088,-0.5287894079318414,-0.029499299251116273,No,False
33.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it break?,Yes,0,-1.0227106809616089,-0.5267755389213562,-0.9932113817104926,-0.5562748381724725,-0.029499299251116273,No,False
34.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it ripple?,No,0,-1.0070970058441162,-0.5031934976577759,-0.9775977065929999,-0.5326927969088922,-0.029499299251116273,No,True
37.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it break?,Yes,0,-1.0222764015197754,-0.5222763419151306,-0.9927771022686591,-0.5517756411662469,-0.029499299251116273,No,False
38.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it ripple?,No,0,-1.0146992206573486,-0.5107964873313904,-0.9851999214062324,-0.5402957865825067,-0.029499299251116273,No,True
40.0,10.0,material-dynamics,10.0,material,2.0,Chao sees the denim.,Can it ripple?,Yes,0,-1.1785264015197754,-0.4250795841217041,-1.1490271022686591,-0.4545788833728204,-0.029499299251116273,No,False
47.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it break?,No,0,-1.0144729614257812,-0.5183746218681335,-0.984973662174665,-0.5478739211192498,-0.029499299251116273,No,True
48.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it ripple?,Yes,0,-0.9990885853767395,-0.5031934976577759,-0.9695892861256232,-0.5326927969088922,-0.029499299251116273,No,False
50.0,13.0,material-dynamics,13.0,material,1.0,Chao sees something that is fabric.,Can it disperse?,No,0,-1.0068939924240112,-0.5068939328193665,-0.977394693172895,-0.5363932320704827,-0.029499299251116273,No,True
52.0,13.0,material-dynamics,13.0,material,2.0,Chao sees something that is gas.,Can it disperse?,Yes,0,-0.7180401086807251,-0.7180401086807251,-0.6885408094296088,-0.7475394079318414,-0.029499299251116273,Yes,True
53.0,14.0,material-dynamics,14.0,material,1.0,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,1,-1.3275632858276367,-0.32963988184928894,-1.2702230237997496,-0.38698014387717605,-0.05734026202788711,No,False
57.0,15.0,material-dynamics,15.0,material,1.0,Chao sees the cup.,Can Chao squeeze it?,Yes,1,-1.1628831624984741,-0.4109322726726532,-1.105542900470587,-0.4682725347005403,-0.05734026202788711,No,False
58.0,15.0,material-dynamics,15.0,material,1.0,Chao sees the cup.,Can Chao pour it?,No,1,-0.8464815616607666,-0.5964815616607666,-0.7891412996328795,-0.6538218236886537,-0.05734026202788711,No,True
59.0,15.0,material-dynamics,15.0,material,2.0,Chao sees the water.,Can Chao squeeze it?,No,1,-0.9988297820091248,-0.4984976649284363,-0.9414895199812376,-0.5558379269563234,-0.05734026202788711,No,True
61.0,16.0,material-dynamics,16.0,material,1.0,Chao sees something that is non-rigid.,Can Chao compresse it?,Yes,1,-1.3347395658493042,-0.3389357924461365,-1.277399303821417,-0.3962760544740236,-0.05734026202788711,No,False
64.0,16.0,material-dynamics,16.0,material,2.0,Chao sees something that is granular.,Can Chao pour it?,Yes,1,-1.335004448890686,-0.3334367573261261,-1.277664186862799,-0.3907770193540132,-0.05734026202788711,No,False
65.0,17.0,material-dynamics,17.0,material,1.0,Chao sees the feather.,Can Chao compresse it?,Yes,1,-1.3340238332748413,-0.33639708161354065,-1.2766835712469542,-0.39373734364142776,-0.05734026202788711,No,False
66.0,17.0,material-dynamics,17.0,material,1.0,Chao sees the feather.,Can Chao pour it?,No,1,-1.3344467878341675,-0.33308178186416626,-1.2771065258062804,-0.39042204389205337,-0.05734026202788711,No,True
68.0,17.0,material-dynamics,17.0,material,2.0,Chao sees the sesame.,Can Chao pour it?,Yes,1,-1.1628831624984741,-0.4111925959587097,-1.105542900470587,-0.46853285798659683,-0.05734026202788711,No,False
77.0,20.0,material-dynamics,20.0,material,1.0,Chao sees something that is non-rigid.,Can Chao squeeze it?,Yes,1,-1.3428096771240234,-0.3430401086807251,-1.2854694150961363,-0.4003803707086122,-0.05734026202788711,No,False
81.0,21.0,material-dynamics,21.0,material,1.0,Chao sees the feather.,Can Chao squeeze it?,Yes,1,-1.1628831624984741,-0.41288313269615173,-1.105542900470587,-0.47022339472403885,-0.05734026202788711,No,False
86.0,22.0,material-dynamics,22.0,material,1.0,Chao sees something that is granular.,Can Chao rip it?,No,1,-0.9955429434776306,-0.4935908615589142,-0.9382026814497435,-0.5509311235868013,-0.05734026202788711,No,True
88.0,22.0,material-dynamics,22.0,material,2.0,Chao sees something that is fabric.,Can Chao rip it?,Yes,1,-0.9994470477104187,-0.4994470179080963,-0.9421067856825316,-0.5567872799359834,-0.05734026202788711,No,False
90.0,23.0,material-dynamics,23.0,material,1.0,Chao sees the sesame.,Can Chao rip it?,No,1,-1.0062984228134155,-0.5066331624984741,-0.9489581607855284,-0.5639734245263612,-0.05734026202788711,No,True
92.0,23.0,material-dynamics,23.0,material,2.0,Chao sees the denim.,Can Chao rip it?,Yes,1,-0.9988297820091248,-0.4990885853767395,-0.9414895199812376,-0.5564288474046266,-0.05734026202788711,No,False
96.0,24.0,material-dynamics,24.0,material,2.0,Chao sees something that is fabric.,Can Chao compresse it?,Yes,1,-1.3425426483154297,-0.34088724851608276,-1.2852023862875426,-0.3982275105439699,-0.05734026202788711,No,False
100.0,25.0,material-dynamics,25.0,material,2.0,Chao sees the denim.,Can Chao compresse it?,Yes,1,-1.0058687925338745,-0.5058687925338745,-0.9485285305059874,-0.5632090545617616,-0.05734026202788711,No,False
102.0,26.0,material-dynamics,26.0,material,1.0,Chao sees something that is granular.,Can Chao wrinkle it?,No,1,-0.9955429434776306,-0.49749496579170227,-0.9382026814497435,-0.5548352278195894,-0.05734026202788711,No,True
104.0,26.0,material-dynamics,26.0,material,2.0,Chao sees something that is fabric.,Can Chao wrinkle it?,Yes,1,-1.163369059562683,-0.4172504246234894,-1.106028797534796,-0.4745906866513765,-0.05734026202788711,No,False
106.0,27.0,material-dynamics,27.0,material,1.0,Chao sees the sesame.,Can Chao wrinkle it?,No,1,-1.0066331624984741,-0.5066331624984741,-0.949292900470587,-0.5639734245263612,-0.05734026202788711,No,True
108.0,27.0,material-dynamics,27.0,material,2.0,Chao sees the denim.,Can Chao wrinkle it?,Yes,1,-0.9988297820091248,-0.5027315616607666,-0.9414895199812376,-0.5600718236886537,-0.05734026202788711,No,False
112.0,28.0,material-dynamics,28.0,material,2.0,Chao sees something that is fabric.,Can Chao drape it?,Yes,1,-0.8625795841217041,-0.6125795841217041,-0.805239322093817,-0.6699198461495912,-0.05734026202788711,No,False
114.0,29.0,material-dynamics,29.0,material,1.0,Chao sees the sesame.,Can Chao drape it?,No,1,-0.9988297820091248,-0.4990885853767395,-0.9414895199812376,-0.5564288474046266,-0.05734026202788711,No,True
116.0,29.0,material-dynamics,29.0,material,2.0,Chao sees the denim.,Can Chao drape it?,Yes,1,-0.7214815616607666,-0.7214815616607666,-0.6641412996328795,-0.7788218236886537,-0.05734026202788711,Yes,True
118.0,30.0,material-dynamics,30.0,material,1.0,Chao sees something that is granular.,Can Chao hang it?,No,1,-1.0068939924240112,-0.502991259098053,-0.9495537303961241,-0.5603315211259401,-0.05734026202788711,No,True
120.0,30.0,material-dynamics,30.0,material,2.0,Chao sees something that is fabric.,Can Chao hang it?,Yes,1,-0.8623804450035095,-0.6123804450035095,-0.8050401829756224,-0.6697207070313966,-0.05734026202788711,No,False
124.0,31.0,material-dynamics,31.0,material,2.0,Chao sees the denim.,Can Chao hang it?,Yes,1,-0.9988297820091248,-0.4990885853767395,-0.9414895199812376,-0.5564288474046266,-0.05734026202788711,No,False
