Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao fold it?,Yes,-1.0068939924240112,-0.5070970058441162,No,False
2.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao pour it?,No,-0.8625795841217041,-0.6125795841217041,No,True
3.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao fold it?,No,-1.522504448890686,-0.27078139781951904,No,True
4.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao pour it?,Yes,-0.8430619239807129,-0.5932140350341797,No,False
5.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao fold it?,Yes,-0.8542847633361816,-0.6042847633361816,No,False
6.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao pour it?,No,-0.9984976649284363,-0.49882981181144714,No,True
7.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao fold it?,No,-1.3344467878341675,-0.33672723174095154,No,True
8.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao pour it?,Yes,-0.9945972561836243,-0.4968789517879486,No,False
10.0,3.0,material-dynamics,3.0,material,1.0,Chao sees something that is fabric.,Can Chao stir it?,No,-1.1628831624984741,-0.41314393281936646,No,True
12.0,3.0,material-dynamics,3.0,material,2.0,Chao sees something that is liquid.,Can Chao stir it?,Yes,-0.846741259098053,-0.5969434976577759,No,False
16.0,4.0,material-dynamics,4.0,material,2.0,Chao sees the water.,Can Chao stir it?,Yes,-0.9949280619621277,-0.4949280917644501,No,False
20.0,5.0,material-dynamics,5.0,material,2.0,Chao sees something that is gas.,Can Chao stir it?,Yes,-1.1553665399551392,-0.40728992223739624,No,False
24.0,6.0,material-dynamics,6.0,material,2.0,Chao sees the oxygen.,Can Chao stir it?,Yes,-1.1547476053237915,-0.4070306718349457,No,False
25.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it break?,Yes,-1.1709775924682617,-0.42094916105270386,No,False
26.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it ripple?,No,-1.5300426483154297,-0.28007981181144714,No,True
27.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it break?,No,-1.1863298416137695,-0.43632981181144714,No,True
28.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it ripple?,Yes,-1.0222764015197754,-0.5183746218681335,No,False
31.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it break?,No,-1.1785264015197754,-0.428783118724823,No,True
32.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it ripple?,Yes,-0.8581863641738892,-0.6084491610527039,No,False
33.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it break?,Yes,-1.0144729614257812,-0.5149260759353638,No,False
34.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it ripple?,No,-1.1628831624984741,-0.4111925959587097,No,True
37.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it break?,Yes,-1.5375949144363403,-0.28788313269615173,No,False
38.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it ripple?,No,-1.1703959703445435,-0.422673761844635,No,True
40.0,10.0,material-dynamics,10.0,material,2.0,Chao sees the denim.,Can it ripple?,Yes,-1.0141459703445435,-0.5180464386940002,No,False
47.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it break?,No,-1.3569376468658447,-0.35942569375038147,No,True
48.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it ripple?,Yes,-0.8656968474388123,-0.6160263419151306,No,False
50.0,13.0,material-dynamics,13.0,material,1.0,Chao sees something that is fabric.,Can it disperse?,No,-1.1777738332748413,-0.43014708161354065,No,True
52.0,13.0,material-dynamics,13.0,material,2.0,Chao sees something that is gas.,Can it disperse?,Yes,-0.8578959703445435,-0.6082229018211365,No,False
53.0,14.0,material-dynamics,14.0,material,1.0,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,-1.1553665399551392,-0.4074918031692505,No,False
57.0,15.0,material-dynamics,15.0,material,1.0,Chao sees the cup.,Can Chao squeeze it?,Yes,-1.3422476053237915,-0.33834725618362427,No,False
58.0,15.0,material-dynamics,15.0,material,1.0,Chao sees the cup.,Can Chao pour it?,No,-0.7175797820091248,-0.7172476649284363,No,True
59.0,15.0,material-dynamics,15.0,material,2.0,Chao sees the water.,Can Chao squeeze it?,No,-1.3344467878341675,-0.334776371717453,No,True
61.0,16.0,material-dynamics,16.0,material,1.0,Chao sees something that is non-rigid.,Can Chao compresse it?,Yes,-1.1621187925338745,-0.4086480736732483,No,False
64.0,16.0,material-dynamics,16.0,material,2.0,Chao sees something that is granular.,Can Chao pour it?,Yes,-1.335004448890686,-0.3371847867965698,No,False
65.0,17.0,material-dynamics,17.0,material,1.0,Chao sees the feather.,Can Chao compresse it?,Yes,-1.5209810733795166,-0.2729293704032898,No,False
66.0,17.0,material-dynamics,17.0,material,1.0,Chao sees the feather.,Can Chao pour it?,No,-1.1625484228134155,-0.4109322726726532,No,True
68.0,17.0,material-dynamics,17.0,material,2.0,Chao sees the sesame.,Can Chao pour it?,Yes,-0.8542847633361816,-0.6039487719535828,No,False
