question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
In recent years social media has had a major impact on the practice of public relations. In which of the following areas has the impact been greatest and experienced most immediately?,(A) Politics,(B) Retail business,(C) Automotive sales,(D) Nonprofits,A,A,True,20.0,0,-1.0070017576217651,-1.631949543952942,-1.756834626197815,-1.50705087184906,0.3289867331584295,-0.06516132801771168,-0.06902537097533545,0.24354809559881696,-1.3359884907801947,-1.5667882159352302,-1.6878092552224795,-1.750598967447877,A,A,True,True
The 'internal factors' portion of a firm's public relations situation analysis often includes,(A) a communication audit,(B) strategy suggestions,(C) community focus groups,(D) a listing of media contacts,A,A,True,20.0,0,-0.3980484902858734,-2.1401593685150146,-2.514904022216797,-2.140129327774048,0.9379400004943212,-0.5733711525797844,-0.8270947669943174,-0.38953036032617083,-1.3359884907801947,-1.5667882159352302,-1.6878092552224795,-1.750598967447877,A,A,True,True
Which of these definitions best describes the 'spiral of silence'?,(A) When victims of abuse remain silent about the abuse,(B) When people hide their opinions if they do not agree with the majority,(C) When people hide their opinions if they are in disagreement with their close peers or family members,(D) When public relations uses opinion poll results to generate support for a particular issue,A,D,False,20.0,0,-1.3198206424713135,-1.5697191953659058,-1.5695970058441162,-1.19475519657135,0.016167848308881183,-0.002930979430675551,0.11821224937836328,0.5558437708765269,-1.3359884907801947,-1.5667882159352302,-1.6878092552224795,-1.750598967447877,D,D,False,False
Which type of writing employs the pyramid structure?,(A) Media writing,(B) Personal writing,(C) Business writing,(D) Promotional writing,A,C,False,20.0,0,-2.1561145782470703,-1.1560759544372559,-0.7849454879760742,-2.2810964584350586,-0.8201260874668757,0.41071226149797435,0.9028637672464053,-0.5304974909871816,-1.3359884907801947,-1.5667882159352302,-1.6878092552224795,-1.750598967447877,C,C,False,False
"In the public relations field, what is the most common threat to a client-firm relationship?",(A) Clients' questions about costs,(B) Resistance to outside advice,(C) Superficial grasp of the client's unique problems,(D) Personality conflicts,A,C,False,20.0,0,-1.3902623653411865,-1.7651876211166382,-1.1400973796844482,-1.3901876211166382,-0.054273874560991864,-0.19839940518140797,0.5477118755380312,0.36041134633123884,-1.3359884907801947,-1.5667882159352302,-1.6878092552224795,-1.750598967447877,C,C,False,False
"Leslie is a disgruntled employee who walks into her place of employment and shoots three people, killing two and critically injuring the other. What is Leslie's behavior an example of?",(A) workplace violence,(B) organizational misdeeds,(C) megadamage,(D) crisis management,A,A,True,20.0,1,-0.3259231150150299,-2.077824354171753,-2.827784299850464,-3.0779049396514893,1.0541164450347424,-0.4773684083794554,-1.1901054124037425,-1.300076255823175,-1.3800395600497724,-1.6004559457922976,-1.6376788874467214,-1.7778286838283142,A,A,True,True
Which law restricts corporate communications for publicly traded companies before and during the period that new securities are being registered?,(A) Securities Act of 1933,(B) Sarbanes-Oxley Act of 2002,(C) Investment Advisers Act of 1940,(D) Investment Company Act of 1934,A,B,False,20.0,1,-1.2416034936904907,-1.1167861223220825,-2.483830690383911,-1.2418937683105469,0.13843606635928163,0.48366982347021503,-0.8461518029371897,0.5359349155177673,-1.3800395600497724,-1.6004559457922976,-1.6376788874467214,-1.7778286838283142,B,D,False,False
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",(A) Research and evaluation,(B) Strategy and evaluation,(C) Strategy and implementation,(D) Objectives and implementation,A,A,True,20.0,1,-0.8826315402984619,-1.7575942277908325,-1.6325491666793823,-1.757631540298462,0.49740801975131044,-0.15713828199853497,0.0051297207673390854,0.020197143529852246,-1.3800395600497724,-1.6004559457922976,-1.6376788874467214,-1.7778286838283142,A,A,True,True
What are two examples of an evaluation of outcome? ,(A) Change in attitude,(B) Placement of message,(C) Distribution of message,(D) Size of attentive audience,A,A,True,20.0,1,-0.6204696297645569,-2.248967170715332,-2.7488298416137695,-2.8742902278900146,0.7595699302852155,-0.6485112249230345,-1.1111509541670481,-1.0964615440617005,-1.3800395600497724,-1.6004559457922976,-1.6376788874467214,-1.7778286838283142,A,A,True,True
"No-Wait Weight Loss, a diet pill brand, promises its potential consumers that if they take one pill once a day they will lose weight without having to change their diet or start exercising. However, many people who have used the product have complained that they haven't lost weight, and some have even gained weight. No-Wait Weight Loss has been unsuccessful in the ________ stage of the advertising campaign.",(A) distribution,(B) penetration,(C) participation,(D) identification,A,B,False,20.0,1,-1.1324527263641357,-1.1323206424713135,-1.8824527263641357,-1.757619857788086,0.2475868336856366,0.4681353033209841,-0.24477383891741433,0.020208826040228223,-1.3800395600497724,-1.6004559457922976,-1.6376788874467214,-1.7778286838283142,B,B,False,False
