question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
The infraorbital nerve,(A) is a terminal branch of the maxillary division of the trigeminal nerve.,(B) is a terminal branch of the maxillary branch of the facial nerve.,(C) carries parasympathetic secretomotor neurons to the lacrimal gland.,(D) innervates the inferior part of the orbicularis oculi muscle.,A,A,True,20.0,0,-8.749983787536621,-13.499991416931152,-11.374959945678711,-10.62498664855957,0.8499821457597942,-1.162072724766201,0.26566022634506226,0.5320181813504963,-9.599965933296415,-12.337918692164951,-11.640620172023773,-11.157004829910067,A,A,True,True
Macrostomia results from failure of fusion of,(A) maxillary and mandibular processes.,(B) left and right mandibular processes.,(C) maxillary and frontonasal processes.,(D) mandibular and hyoid arches.,A,C,False,20.0,0,-7.937331199645996,-12.062185287475586,-6.280858039855957,-9.312283515930176,1.6626347336504192,0.27573340468936536,5.359762132167816,1.8447213139798908,-9.599965933296415,-12.337918692164951,-11.640620172023773,-11.157004829910067,C,C,False,False
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,(A) paralysis of the facial muscles.,(B) paralysis of the facial muscles and loss of taste.,"(C) paralysis of the facial muscles, loss of taste and lacrimation.","(D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.",A,D,False,20.0,0,-9.562429428100586,-12.562438011169434,-9.374903678894043,-8.68746280670166,0.037536505195829406,-0.2245193190044823,2.2657164931297302,2.4695420232084064,-9.599965933296415,-12.337918692164951,-11.640620172023773,-11.157004829910067,D,D,False,False
The dorsal roots of all spinal nerves contain,(A) sensory neuronal processes.,(B) sensory and autonomic neuronal processes.,(C) motor neuronal processes.,(D) motor and autonomic neuronal processes.,A,A,True,20.0,0,-6.312490463256836,-10.874959945678711,-11.499934196472168,-11.687451362609863,3.2874754700395794,1.4629587464862404,0.14068597555160522,-0.5304465326997967,-9.599965933296415,-12.337918692164951,-11.640620172023773,-11.157004829910067,A,A,True,True
A patient suffers a CVA in the area of the left internal capsule conveying motor neurons to the right leg. The patient's leg will exhibit,(A) spastic paralysis.,(B) flaccid paralysis.,(C) tremor.,(D) hyporeflexia.,A,A,True,20.0,0,-6.437477111816406,-12.06246280670166,-8.062368392944336,-12.87491512298584,3.162488821480009,0.27545588546329114,3.5782517790794373,-1.7179102930757733,-9.599965933296415,-12.337918692164951,-11.640620172023773,-11.157004829910067,A,C,True,False
Which of the following is a substance that aids the transmission of nerve impulses to the muscles?,(A) Acetylcholine,(B) Cholecystokinin,(C) Deoxyribose,(D) Oxytocin,A,A,True,20.0,0,-7.718596458435059,-15.999373435974121,-16.248071670532227,-12.37451171875,1.8813694748613567,-3.66145474380917,-4.607451498508453,-1.2175068888399334,-9.599965933296415,-12.337918692164951,-11.640620172023773,-11.157004829910067,A,A,True,True
"Which of the following is a structural, fibrous protein found in the dermis?",(A) Collagen,(B) Heparin,(C) Lipocyte,(D) Melanin,A,A,True,20.0,1,-8.999619483947754,-17.123828887939453,-16.119766235351562,-14.623297691345215,0.4487210081683273,-4.7097913887765674,-4.747297704219818,-3.6265951759285393,-9.448340492116081,-12.414037499162886,-11.372468531131744,-10.996702515416676,A,A,True,True
Which of the following best describes the structure that collects urine in the body?,(A) Bladder,(B) Kidney,(C) Ureter,(D) Urethra,A,A,True,20.0,1,-6.749948501586914,-12.999568939208984,-11.749664306640625,-9.999841690063477,2.698391990529167,-0.5855314400460987,-0.3771957755088806,0.996860825353199,-9.448340492116081,-12.414037499162886,-11.372468531131744,-10.996702515416676,A,A,True,True
During swallowing the,(A) auditory tube opens.,(B) cricopharyngeus muscle contracts.,(C) rima glottis opens.,(D) gag reflex is suspended.,A,D,False,20.0,1,-11.499972343444824,-14.874738693237305,-10.437283515930176,-9.562429428100586,-2.051631851328743,-2.460701194074419,0.9351850152015686,1.4342730873160896,-9.448340492116081,-12.414037499162886,-11.372468531131744,-10.996702515416676,D,D,False,False
Food is prevented from entering the larynx during the pharyngeal phase of swallowing by,(A) constriction of the laryngeal entrance.,(B) upward movement of the epiglottis.,(C) downward movement of the larynx.,(D) increase in respiratory rate.,A,B,False,20.0,1,-9.562331199645996,-9.312095642089844,-12.749195098876953,-13.374664306640625,-0.11399070752991491,3.101941857073042,-1.3767265677452087,-2.3779617912239495,-9.448340492116081,-12.414037499162886,-11.372468531131744,-10.996702515416676,B,B,False,False
