Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel transparent?,Yes,0,-0.18639220297336578,-1.8202215433120728,-0.4248185387346894,-1.581795207550749,0.2384263357613236,Yes,True
2.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel opaque?,No,0,-2.1404738426208496,-0.12687814235687256,-2.3789001783821733,0.11154819340445105,0.2384263357613236,No,True
3.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel transparent?,No,0,-1.5545397996902466,-0.24113678932189941,-1.7929661354515702,-0.0027104535605758096,0.2384263357613236,No,True
4.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,0,-0.257671594619751,-1.5311568975448608,-0.4960979303810746,-1.2927305617835372,0.2384263357613236,Yes,True
5.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,0,-1.4060865640640259,-0.285078763961792,-1.6445128998253495,-0.04665242820046839,0.2384263357613236,No,False
6.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel opaque?,No,0,-0.29670894145965576,-1.3905072212219238,-0.5351352772209794,-1.1520808854606002,0.2384263357613236,Yes,False
7.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel transparent?,No,0,-2.6873512268066406,-0.07219457626342773,-2.9257775625679643,0.16623175949789587,0.2384263357613236,No,True
8.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel opaque?,Yes,0,-0.4803133010864258,-0.9764492511749268,-0.7187396368477494,-0.7380229154136031,0.2384263357613236,Yes,True
9.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,0,-0.34752845764160156,-1.2577321529388428,-0.5859547934029252,-1.0193058171775191,0.2384263357613236,Yes,True
10.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,0,-3.1404049396514893,-0.04629218950867653,-3.378831275412813,0.19213414625264708,0.2384263357613236,No,True
11.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel smooth?,No,0,-2.7342190742492676,-0.06927728652954102,-2.9726454100105912,0.1691490492317826,0.2384263357613236,No,True
12.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel rough?,Yes,0,-0.12393320351839066,-2.249933958053589,-0.36235953927971426,-2.011507622292265,0.2384263357613236,Yes,True
13.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel smooth?,Yes,0,-0.13656820356845856,-2.156137704849243,-0.37499453932978216,-1.9177113690879195,0.2384263357613236,Yes,True
14.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel rough?,No,0,-0.7263977527618408,-0.6717803478240967,-0.9648240885231645,-0.4333540120627731,0.2384263357613236,No,True
15.0,4.0,material-properties,,material,2.0,The wheel is made of concrete.,Is the surface of the wheel smooth?,No,0,-0.882671594619751,-0.5467965602874756,-1.1210979303810746,-0.308370224526152,0.2384263357613236,No,True
