question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"A student pushes a puck across a table, moving it from position x = 0 to position x = 0.2 m. After he lets go, the puck continues to travel across the table, coming to rest at position x = 1.2 m. When the puck is at position x = 1.0 m, which of the following is a correct assertion about the net force on the puck?","(A) The net force is in the negative direction, because the puck is moving in the positive direction but slowing down.","(B) The net force is down, because the puck is near the Earth, where gravitational acceleration is 10 m/s^2 downward.","(C) The net force is in the positive direction, because the student’s push caused the puck to speed up in the positive direction.","(D) The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",A,A,True,20.0,0,-2.73779034614563,-4.306432247161865,-3.0503954887390137,-3.0182595252990723,0.3386079441933405,-0.6621473828951516,0.4540792618479048,0.6762512893903825,-3.0763982903389704,-3.6442848642667136,-3.5044747505869185,-3.6945108146894547,A,D,True,False
Under what conditions is the net electric flux through a closed surface proportional to the enclosed charge?,(A) under any conditions,(B) only when the enclosed charge is symmetrically distributed,(C) only when all nearby charges are symmetrically distributed,(D) only when there are no charges outside the surface,A,A,True,20.0,0,-3.015723705291748,-3.393303871154785,-4.0727219581604,-3.928678274154663,0.06067458504722234,0.25098099311192845,-0.5682472075734819,-0.23416745946520834,-3.0763982903389704,-3.6442848642667136,-3.5044747505869185,-3.6945108146894547,A,B,True,False
A sphere starts from rest atop a hill with a constant angle of inclination and is allowed to roll without slipping down the hill. What force provides the torque that causes the sphere to rotate?,(A) Static friction,(B) Kinetic friction,(C) The normal force of the hill on the sphere,(D) Gravity,A,A,True,20.0,0,-2.0454068183898926,-4.445416450500488,-4.573548793792725,-4.44744348526001,1.0309914719490778,-0.8011315862337747,-1.0690740432058061,-0.752932670570555,-3.0763982903389704,-3.6442848642667136,-3.5044747505869185,-3.6945108146894547,A,A,True,True
"Two charged, massive particles are isolated from all influence except those between the particles. They have charge and mass such that the net force between them is 0 N. Which of the following is NOT true?",(A) The particles must have the same sign of charge.,"(B) If the distance between the particles changes, the force will no longer be 0 N.",(C) The particles must have the same mass.,(D) Such a situation is impossible as the net force between the two particles cannot be 0.,A,D,False,20.0,0,-3.3828752040863037,-3.641023635864258,-3.6741347312927246,-2.9586267471313477,-0.3064769137473333,0.003261228402455796,-0.16965998070580612,0.7358840675581071,-3.0763982903389704,-3.6442848642667136,-3.5044747505869185,-3.6945108146894547,D,D,False,False
An object carries a charge of –1 C. How many excess electrons does it contain?,(A) 6.25 × 10^18,(B) 8.00 × 10^18,(C) 1.60 × 10^19,(D) 3.20 × 10^19,A,C,False,20.0,0,-3.7642462253570557,-4.756802558898926,-2.7122673988342285,-4.422851085662842,-0.6878479350180853,-1.1125176946322122,0.79220735175269,-0.728340270973387,-3.0763982903389704,-3.6442848642667136,-3.5044747505869185,-3.6945108146894547,C,C,False,False
"Two traveling waves of equal frequency, one of amplitude 4 cm and the other of amplitude 6 cm, superimpose in a single medium. Which of the following best describes the displacement, D, of the resultant wave?",(A) 2 cm ≤ D ≤ 10 cm,(B) D = 5 cm,(C) D = 10 cm,(D) 10 cm ≤ D ≤ 12 cm,A,A,True,20.0,0,-2.795074462890625,-3.8025383949279785,-3.9472978115081787,-2.9444005489349365,0.2813238274483454,-0.1582535306612649,-0.4428230609212602,0.7501102657545182,-3.0763982903389704,-3.6442848642667136,-3.5044747505869185,-3.6945108146894547,A,D,True,False
A string of fixed tension and linear mass density is attached to a vibrating speaker. It is observed that a speaker frequency of 60 Hz does not produce standing waves in the string. Which explanation for this phenomenon is correct?,(A) The string length is not a multiple of half the wavelength of the wave.,(B) The wave speed on the string is fixed.,(C) 60 Hz is in the lowest range of audible sound.,(D) The wavelength of the wave produced by the speaker is equal to the speed of waves on the string divided by 60 Hz.,A,A,True,20.0,0,-2.1215476989746094,-3.5511300563812256,-4.051714897155762,-3.778956413269043,0.954850591364361,0.09315480788548802,-0.5472401465688432,-0.08444559857958822,-3.0763982903389704,-3.6442848642667136,-3.5044747505869185,-3.6945108146894547,A,A,True,True
"A children’s toy consists of a cart whose very light wheels are attached to a rubber band. This rubber band can wind and unwind around the axle supporting the wheels. This toy is given a shove, after which the toy rolls across a flat surface and up a ramp. It is observed that the toy does not go a consistent distance up the ramp—in some trials it ends up higher than in other trials, even though the shove imparts the same kinetic energy to the cart each time. Which of the following is a reasonable explanation for this phenomenon?","(A) Depending on how the rubber band is initially wound, more or less potential energy can be transferred from the rubber band to the kinetic energy of the car’s motion.",(B) The normal force on the cart’s wheels will be different depending on how much the rubber band winds or unwinds.,(C) How much energy is transferred from kinetic energy to gravitational potential energy depends on the vertical height at which the cart ends up.,(D) Some of the cart’s initial kinetic energy will be dissipated due to work done by friction.,A,A,True,20.0,1,-2.744924545288086,-4.7086873054504395,-3.576174259185791,-2.996615409851074,0.3028802275657654,-1.101250770546141,0.04326287621543523,0.6971295958473567,-3.0478047728538513,-3.6074365349042985,-3.6194371354012262,-3.693745005698431,A,D,True,False
"Two spheres of net charge +5e and -6e briefly come into contact. Afterward, which of the following is a possible combination of net charges for the two spheres?",(A) +3e and -4e,(B) +1.5e and -2.5e,(C) Both of the above,(D) None of the above,A,C,False,20.0,1,-3.298356533050537,-4.2324628829956055,-2.619438409805298,-3.748462200164795,-0.2505517601966858,-0.625026348091307,0.9999987255959284,-0.05471719446636403,-3.0478047728538513,-3.6074365349042985,-3.6194371354012262,-3.693745005698431,C,C,False,False
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,(A) the electric field produced by a finite-length charged rod,(B) the electric field produced by an infinitely long charged cylinder,(C) the electric field produced by an infinite plane of charge,"(D) the magnetic field produced by an infinitely long, straight current-carrying wire",A,C,False,20.0,1,-4.095064163208008,-3.7033984661102295,-2.7487823963165283,-3.4951107501983643,-1.0472593903541565,-0.095961931205931,0.8706547390846979,0.19863425550006664,-3.0478047728538513,-3.6074365349042985,-3.6194371354012262,-3.693745005698431,C,C,False,False
