Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,-0.8425797820091248,-0.5928385853767395,-8.30986499786377,-6.029493808746338,7.467285215854645,5.436655223369598,Yes,True
2.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,-2.139904022216797,-0.14090192317962646,-8.30986499786377,-6.029493808746338,6.169960975646973,5.888591885566711,Yes,False
3.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao helping Yan?,No,-2.1394362449645996,-0.14363043010234833,-8.30986499786377,-6.029493808746338,6.17042875289917,5.88586337864399,Yes,False
4.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,-0.7102330923080444,-0.7102330923080444,-8.30986499786377,-6.029493808746338,7.599631905555725,5.3192607164382935,Yes,True
5.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao helping Yan?,Yes,-0.5922476649284363,-0.8425797820091248,-8.30986499786377,-6.029493808746338,7.717617332935333,5.186914026737213,Yes,True
6.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao hindering Yan?,No,-2.1394362449645996,-0.14265470206737518,-8.30986499786377,-6.029493808746338,6.17042875289917,5.886839106678963,Yes,False
7.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao helping Yan?,No,-2.1394362449645996,-0.14532549679279327,-8.30986499786377,-6.029493808746338,6.17042875289917,5.884168311953545,Yes,False
8.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,-0.8425797820091248,-0.5928385853767395,-8.30986499786377,-6.029493808746338,7.467285215854645,5.436655223369598,Yes,True
9.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,-0.7097763419151306,-0.7097763419151306,-8.30986499786377,-6.029493808746338,7.600088655948639,5.319717466831207,Yes,True
10.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,-1.5146992206573486,-0.26667898893356323,-8.30986499786377,-6.029493808746338,6.795165777206421,5.762814819812775,Yes,False
