Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,physical-relations,,antonym,1.0,The truck is in front of the bed.,Is the truck blocking the bed?,Yes,0,-0.08152154088020325,-8.937095642089844,-0.4736625527342162,-8.54495463023583,0.39214101185401296,Yes,True
2.0,1.0,physical-relations,,antonym,1.0,The truck is in front of the bed.,Is the bed blocking the truck?,No,0,-0.27241283655166626,-4.031105995178223,-0.6645538484056792,-3.6389649833242097,0.39214101185401296,Yes,False
3.0,1.0,physical-relations,,antonym,2.0,The truck is behind the bed.,Is the truck blocking the bed?,No,0,-0.08608487993478775,-5.3434038162231445,-0.4782258917888007,-4.951262804369131,0.39214101185401296,Yes,False
4.0,1.0,physical-relations,,antonym,2.0,The truck is behind the bed.,Is the bed blocking the truck?,Yes,0,-0.12006502598524094,-5.2498087882995605,-0.5122060378392539,-4.857667776445547,0.39214101185401296,Yes,True
7.0,1.0,physical-relations,,variable swap,2.0,The bed is in front of the truck.,Is the truck blocking the bed?,No,0,-0.21032579243183136,-5.0934247970581055,-0.6024668042858443,-4.701283785204092,0.39214101185401296,Yes,False
8.0,1.0,physical-relations,,variable swap,2.0,The bed is in front of the truck.,Is the bed blocking the truck?,Yes,0,-0.16459041833877563,-6.155980587005615,-0.5567314301927886,-5.763839575151602,0.39214101185401296,Yes,True
9.0,1.0,physical-relations,,variable swap,1.0,The bed is behind the truck.,Is the truck blocking the bed?,Yes,0,-0.13422365486621857,-5.374664783477783,-0.5263646667202315,-4.98252377162377,0.39214101185401296,Yes,True
10.0,1.0,physical-relations,,variable swap,1.0,The bed is behind the truck.,Is the bed blocking the truck?,No,0,-0.23318634927272797,-3.6091747283935547,-0.6253273611267409,-3.2170337165395417,0.39214101185401296,Yes,False
13.0,2.0,physical-relations,,variable swap,1.0,Chao needs to move the truck to reach the bed.,Is the truck blocking the bed?,Yes,0,-0.26774054765701294,-4.405805587768555,-0.6598815595110259,-4.013664575914541,0.39214101185401296,Yes,True
14.0,2.0,physical-relations,,variable swap,1.0,Chao needs to move the truck to reach the bed.,Is the bed blocking the truck?,No,0,-0.1856881082057953,-5.687184810638428,-0.5778291200598082,-5.295043798784414,0.39214101185401296,Yes,False
