question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When the Spanish explorer Hernando de Soto crossed a portion of the North American continent, his expedition encountered direct descendants of which people?",(A) Mississippian,(B) Adena,(C) Ancestral Puebloan,(D) Kwakiutl,A,C,False,20.0,0,-6.749480724334717,-6.1848649978637695,-5.810997486114502,-8.18469524383545,0.8048801141626694,-0.11957825983271864,-0.08951703473633454,-2.7063370574923127,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,C,A,False,True
The greatest Egyptian pyramids at Giza were built:,"(A) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure.","(B) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament.",(C) in the construction frenzy of the 6th dynasty.,(D) all of the above.,A,D,False,20.0,0,-7.343381404876709,-8.24508285522461,-7.592684268951416,-3.403695821762085,0.21097943362067717,-2.1797961171935585,-1.8712038175732486,2.0746623645810516,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,D,D,False,False
The undersea chasm between New Guinea/Australia and Java/Borneo is called the __________.,(A) Wallace Trench,(B) Sahul Passage,(C) Beringia Abyss,(D) Bering Strait,A,B,False,20.0,0,-6.78094482421875,-4.467970371246338,-6.155858039855957,-5.405858039855957,0.7734160142786362,1.597316366784713,-0.4343775884777896,0.0725001464871795,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,B,B,False,False
What is the earliest form of writing in the world and where did it develop?,"(A) cuneiform, in Mesopotamia","(B) hieroglyphics, in Egypt","(C) clay-tablets, at Knossos","(D) runes, at Stonehenge",A,A,True,20.0,0,-3.9059040546417236,-6.09220027923584,-7.21821403503418,-8.685900688171387,3.6484567838556625,-0.02691354120478895,-1.4967335836560123,-3.20754250182825,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,A,A,True,True
How does anthropology differ from other social sciences such as economics and sociology?,(A) Anthropology is holistic and integrative in its approach.,(B) Anthropology is less holistic and more theoretical in its approach.,(C) Anthropology tends to focus on specific topics in history.,(D) Anthropology is more narrowly focused than the other social sciences.,A,A,True,20.0,0,-5.311088562011719,-6.306190013885498,-7.871822357177734,-5.745921611785889,2.2432722764856674,-0.24090327585444715,-2.150341905799567,-0.26756342544275213,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,A,A,True,True
"Of the following, which is the earliest example of the development of a complex society?",(A) Jericho in Israel,(B) Caral in Peru,(C) Stonehenge in England,(D) Olmec along the Gulf Coast,A,B,False,20.0,0,-7.7807464599609375,-5.716350555419922,-7.593142509460449,-7.15504264831543,-0.22638562146355135,0.348936182611129,-1.8716620580822818,-1.6766844619722931,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,B,B,False,False
What was the unifying element of Olmec culture?,(A) religious iconography,(B) large armies,(C) agricultural surpluses,(D) all of the above,A,D,False,20.0,0,-9.874859809875488,-8.249333381652832,-4.343512058258057,-3.327824354171753,-2.320498971378102,-2.184046643621781,1.3779683931201108,2.1505338321713836,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,D,D,False,False
Lewis Henry Morgan conceived of progress in human culture according to the stages of:,"(A) Savagery, Barbarism, and Civilization.","(B) Savagery, Civilization, and Collapse.","(C) Barbarism, Primitivism, and Civilization.","(D) Stone Age, Bronze Age, and Iron Age.",A,B,False,20.0,0,-6.998400688171387,-6.558899879455566,-7.495921611785889,-8.990243911743164,0.5559601503259994,-0.4936131414245155,-1.7744411604077213,-3.5118857254000275,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,B,A,False,True
What was found in some of the burials at the principal Liangzhu site in eastern China that represents elite status?,(A) finely crafted large jade disks called bi,(B) thousands of shell discs called “bi” that were used as a source of money,(C) copper earspools that were worn by the deceased,(D) gold headdresses that were worn by the deceased,A,B,False,20.0,0,-6.686744213104248,-6.245659351348877,-7.311254501342773,-6.996399879455566,0.8676166253931381,-0.18037261331782606,-1.589774049964606,-1.5180416931124299,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,B,A,False,True
What do anthropologists NOT need to know to determine when people entered the Americas from Siberia?,(A) When sled dogs were first domesticated,(B) When the Bering Strait was exposed and open for travel,(C) When eastern Siberia was first inhabited,(D) The age of the earliest New World sites,A,B,False,20.0,0,-8.062185287475586,-3.7806036472320557,-5.030805587768555,-4.7807769775390625,-0.5078244489781998,2.2846830907989952,0.6906748636096127,0.697581208804074,-7.554360838497386,-6.065286738031051,-5.721480451378167,-5.4783581863431365,B,B,False,False
