Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,physical-dynamics,,negation,1.0,The speck on the wheel is rotating.,Is the wheel rolling?,Yes,0,-0.9949280619621277,-0.49713724851608276,-0.4193718985964854,-1.072693411881725,-0.5755561633656423,Yes,True
2.0,1.0,physical-dynamics,,negation,1.0,The speck on the wheel is rotating.,Is the wheel sliding?,No,0,-1.9285264015197754,-0.1787831038236618,-1.352970238154133,-0.7543392671893041,-0.5755561633656423,No,True
3.0,1.0,physical-dynamics,,negation,2.0,The speck on the wheel is not rotating.,Is the wheel rolling?,No,0,-1.3347395658493042,-0.3311304450035095,-0.7591834024836619,-0.9066866083691518,-0.5755561633656423,Yes,False
4.0,1.0,physical-dynamics,,negation,2.0,The speck on the wheel is not rotating.,Is the wheel sliding?,Yes,0,-1.1553665399551392,-0.4074918031692505,-0.5798103765894969,-0.9830479665348928,-0.5755561633656423,Yes,True
5.0,2.0,physical-dynamics,,other,1.0,"In a moment, the top of the wheel will touch the floor.",Is the wheel rolling?,Yes,0,-0.8584776520729065,-0.6082229018211365,-0.2829214887072642,-1.1837790651867788,-0.5755561633656423,Yes,True
6.0,2.0,physical-dynamics,,other,1.0,"In a moment, the top of the wheel will touch the floor.",Is the wheel sliding?,No,0,-0.8581863641738892,-0.6084491610527039,-0.28263020080824686,-1.1840053244183462,-0.5755561633656423,Yes,False
7.0,2.0,physical-dynamics,,other,2.0,"In a moment, the top of the wheel will remain at the top.",Is the wheel rolling?,No,0,-1.1706863641738892,-0.4189978241920471,-0.5951302008082469,-0.9945539875576894,-0.5755561633656423,Yes,False
8.0,2.0,physical-dynamics,,other,2.0,"In a moment, the top of the wheel will remain at the top.",Is the wheel sliding?,Yes,0,-1.3425426483154297,-0.34108829498291016,-0.7669864849497874,-0.9166444583485525,-0.5755561633656423,Yes,True
9.0,3.0,physical-dynamics,,other,1.0,The wheel is moving forward on a surface. The surface is very flat.,Is the wheel rolling?,Yes,0,-0.49882981181144714,-0.9990885853767395,0.07672635155419516,-1.5746447487423818,-0.5755561633656423,Yes,True
10.0,3.0,physical-dynamics,,other,1.0,The wheel is moving forward on a surface. The surface is very flat.,Is the wheel sliding?,No,0,-0.8582229018211365,-0.6088305711746216,-0.28266673845549417,-1.1843867345402639,-0.5755561633656423,Yes,False
11.0,3.0,physical-dynamics,,other,2.0,The wheel is moving forward on a surface. The surface is very slippery.,Is the wheel rolling?,No,0,-0.8621246218681335,-0.6125795841217041,-0.28656845850249124,-1.1881357474873464,-0.5755561633656423,Yes,False
12.0,3.0,physical-dynamics,,other,2.0,The wheel is moving forward on a surface. The surface is very slippery.,Is the wheel sliding?,Yes,0,-0.5107964873313904,-1.00725519657135,0.06475967603425192,-1.5828113599369924,-0.5755561633656423,Yes,True
13.0,4.0,physical-dynamics,,antonym,1.0,The wheel is moving down.,Is the wheel falling?,Yes,1,-0.991283118724823,-0.48933178186416626,-0.5042825211615612,-0.976332379427428,-0.48700059756326175,Yes,True
14.0,4.0,physical-dynamics,,antonym,1.0,The wheel is moving down.,Is the wheel rising?,No,1,-2.139904022216797,-0.13990391790866852,-1.6529034246535352,-0.6269045154719303,-0.48700059756326175,No,True
15.0,4.0,physical-dynamics,,antonym,2.0,The wheel is moving up.,Is the wheel falling?,No,1,-1.9287830591201782,-0.1778074949979782,-1.4417824615569166,-0.66480809256124,-0.48700059756326175,No,True
16.0,4.0,physical-dynamics,,antonym,2.0,The wheel is moving up.,Is the wheel rising?,Yes,1,-0.8428385853767395,-0.5928385853767395,-0.35583798781347775,-1.0798391829400011,-0.48700059756326175,Yes,True
17.0,5.0,physical-dynamics,,antonym,1.0,The wheel is getting closer to the ground.,Is the wheel falling?,Yes,1,-0.9951857924461365,-0.49713724851608276,-0.5081851948828747,-0.9841378460793445,-0.48700059756326175,Yes,True
18.0,5.0,physical-dynamics,,antonym,1.0,The wheel is getting closer to the ground.,Is the wheel rising?,No,1,-1.7178665399551392,-0.2188141942024231,-1.2308659423918775,-0.7058147917656848,-0.48700059756326175,No,True
19.0,5.0,physical-dynamics,,antonym,2.0,The wheel is getting closer to the sky.,Is the wheel falling?,No,1,-1.3347395658493042,-0.33698445558547974,-0.8477389682860424,-0.8239850531487415,-0.48700059756326175,No,True
20.0,5.0,physical-dynamics,,antonym,2.0,The wheel is getting closer to the sky.,Is the wheel rising?,Yes,1,-1.3347395658493042,-0.33308178186416626,-0.8477389682860424,-0.820082379427428,-0.48700059756326175,No,False
21.0,6.0,physical-dynamics,,antonym,1.0,The wheel is losing altitude.,Is the wheel sinking?,Yes,1,-1.155517578125,-0.40374496579170227,-0.6685169805617382,-0.890745563354964,-0.48700059756326175,Yes,True
22.0,6.0,physical-dynamics,,antonym,1.0,The wheel is losing altitude.,Is the wheel floating?,No,1,-1.9289830923080444,-0.18011489510536194,-1.4419824947447828,-0.6671154926686237,-0.48700059756326175,No,True
23.0,6.0,physical-dynamics,,antonym,2.0,The wheel is staying at the same altitude.,Is the wheel sinking?,No,1,-2.3740885257720947,-0.11648309975862503,-1.887087928208833,-0.6034836973218868,-0.48700059756326175,No,True
24.0,6.0,physical-dynamics,,antonym,2.0,The wheel is staying at the same altitude.,Is the wheel floating?,Yes,1,-1.335004448890686,-0.33698445558547974,-0.8480038513274243,-0.8239850531487415,-0.48700059756326175,No,False
25.0,7.0,physical-dynamics,,antonym,1.0,The wheel is going underwater.,Is the wheel sinking?,Yes,2,-0.9914830923080444,-0.49163880944252014,-0.5512514447327703,-0.9318704570177943,-0.4402316475752741,Yes,True
