question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
What kind of rights do coastal States enjoy over their continental shelf?,(A) The coastal State enjoy ipso facto and ab initio sovereign rights over its continental shelf for the purpose of exploring it and exploiting its natural resources,(B) The coastal State may exercise sovereign rights over its continental shelf only upon its declaration,(C) The coastal State exercise sovereign rights over its continental shelf for the purpose of exploiting its fishing resources,(D) The coastal State may exercise only limited rights over its continental shelf and only upon the consent of its neighbouring States,A,A,True,20.0,0,-0.7478148937225342,-3.4963998794555664,-6.5613298416137695,-7.5598649978637695,4.242660599450271,-0.5805825653175511,-3.84317445072035,-2.934879680474599,-4.990475493172805,-2.9158173141380153,-2.7181553908934197,-4.624985317389171,A,A,True,True
Who has the authority to conclude a treaty on the part of States?,"(A) Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority",(B) Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs,(C) Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority,(D) Treaties are concluded only by members of the diplomatic missions of States,A,A,True,20.0,0,-0.9197236895561218,-2.4795336723327637,-4.624195575714111,-5.934695243835449,4.070751803616683,0.4362836418052516,-1.9060401848206916,-1.3097099264462786,-4.990475493172805,-2.9158173141380153,-2.7181553908934197,-4.624985317389171,A,A,True,True
What is the constitutive theory of recognition?,(A) Recognition is determinative of statehood,(B) Recognition requires constitutional approval by third nations,(C) Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees,(D) Countries wishing to be recognised must possess a valid constitution,A,C,False,20.0,0,-3.061873435974121,-2.498497724533081,-1.2416720390319824,-5.248900890350342,1.9286020571986837,0.4173195896049342,1.4764833518614373,-0.6239155729611712,-4.990475493172805,-2.9158173141380153,-2.7181553908934197,-4.624985317389171,C,A,False,True
What is jus cogens?,"(A) They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States",(B) They are rules of international law that are laid down in multilateral treaties with a wide participation,(C) They are the decisions of the UN Security Council,(D) They are the rules of international law on which the ICJ founds its decisions,A,A,True,20.0,0,-0.6740988492965698,-3.730602502822876,-5.811832904815674,-7.185688018798828,4.316376643876235,-0.8147851886848607,-3.093677513922254,-2.5607027014096575,-4.990475493172805,-2.9158173141380153,-2.7181553908934197,-4.624985317389171,A,A,True,True
When coastal States do enforce their criminal jurisdiction over foreign vessels in their ports?,(A) Port States generally do not enforce their criminal jurisdiction over crimes that do not infringe their customs laws or disrupt peace and public order.,(B) Port States enforce their jurisdiction in all cases of delinquent vessels,"(C) Port States enforce their jurisdiction only in respect of very serious crimes, such as drug trafficking",(D) Port States are not entitled to enforce their jurisdiction over any foreign vessel,A,C,False,20.0,1,-3.420199155807495,-3.7312464714050293,-0.8503831624984741,-5.465856075286865,1.3649442655344801,-0.8903727556268373,2.206662088011702,-0.6158326926330728,-4.785143421341975,-2.840873715778192,-3.057045250510176,-4.850023382653792,C,C,False,False
Which of the following articles are not qualified rights?,(A) Article 3,(B) Article 8,(C) Article 9,(D) Article 11,A,B,False,20.0,1,-5.499411582946777,-3.1863298416137695,-3.9372546672821045,-4.749664783477783,-0.7142681616048021,-0.3454561258355775,-0.8802094167719283,0.1003585991760092,-4.785143421341975,-2.840873715778192,-3.057045250510176,-4.850023382653792,B,D,False,False
Which of the following statements is true?,(A) The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law,(B) The Human Rights Act 1998 allows a court to invalidate primary legislation,(C) The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court,(D) The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law,A,A,True,20.0,1,-1.7722395658493042,-2.028445243835449,-2.1554200649261475,-4.841760158538818,3.012903855492671,0.8124284719427428,0.9016251855840287,0.008263224114974044,-4.785143421341975,-2.840873715778192,-3.057045250510176,-4.850023382653792,A,A,True,True
What is the meaning of justiciability?,(A) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders,(B) Justiciability refers to the just nature or cause of a particular right,(C) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice,(D) Justiciability refers to the obligation of a State to enforce a particular Right,A,C,False,20.0,1,-1.778774380683899,-3.5902605056762695,-1.6553665399551392,-4.153531551361084,3.0063690406580763,-0.7493867898980775,1.401678710555037,0.6964918312927084,-4.785143421341975,-2.840873715778192,-3.057045250510176,-4.850023382653792,C,A,False,True
Which one of the statements below is false?,(A) The war crimes trials at Nuremberg and Tokyo took place immediately after the First World War,(B) The war crimes trials introduced a 'crime against humanity' as an offence,(C) The war crimes trials held individuals legally responsible for acts such as war crimes and crimes against humanity,"(D) The war crimes trials found that ""superior orders"" could not be used as a defence for war crimes or crimes against humanity",A,D,False,20.0,2,-5.874373435974121,-3.1235885620117188,-2.7497386932373047,-1.4364006519317627,-1.3048419567445917,-0.13709982112050056,0.1600263652702174,3.4219402360419435,-4.569531479229529,-2.986488740891218,-2.909765058507522,-4.858340887973706,D,D,False,False
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",(A) The ICJ was not hostile to the accumulation theory,"(B) The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force",(C) In the Nicaragua case the ICJ dismissed the accumulation theory,(D) The ICJ has never addressed this issue,A,C,False,20.0,2,-3.233631134033203,-2.8578007221221924,-1.0382260084152222,-3.3578007221221924,1.3359003451963263,0.1286880187690258,1.8715390500923,1.5005401658515138,-4.569531479229529,-2.986488740891218,-2.909765058507522,-4.858340887973706,C,C,False,False
What is the meaning of implied authorisation?,(A) Presumption of Security Council approval of armed force when a State has been forewarned,(B) Implicit authorisation on the basis of a specific number of votes by UNSC members,(C) Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC,(D) In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation,A,B,False,20.0,2,-1.811467170715332,-1.622524380683899,-3.3744471073150635,-2.060997724533081,2.7580643085141974,1.3639643602073193,-0.4646820488075414,2.797343163440625,-4.569531479229529,-2.986488740891218,-2.909765058507522,-4.858340887973706,B,D,False,False
How are the members of the arbitral tribunal appointed?,(A) All the members of the arbitral tribunal are appointed by the parties,(B) All the members of the arbitral tribunal are appointed by the parties,"(C) All the members of the arbitral tribunal are appointed by an impartial third party, such as the president of the ICJ",(D) All the members of the arbitral tribunal are appointed by the parties from a restricted list of arbitrators,A,C,False,20.0,2,-3.6397552490234375,-2.2010397911071777,-1.0227961540222168,-3.32659912109375,0.9297762302060919,0.7854489497840405,1.8869689044853053,1.5317417668799562,-4.569531479229529,-2.986488740891218,-2.909765058507522,-4.858340887973706,C,C,False,False
What is the major difference between naturalism and positivism?,"(A) On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires","(B) While naturalism serves only the theory human rights law, positivism has a wider and more general scope","(C) Naturalism concerns the underpinning values of the international society, while positivism the international rules as such","(D) Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory",A,C,False,20.0,3,-2.935688018798828,-2.872195243835449,-1.115600824356079,-2.934695243835449,1.8166742759446306,0.13726741944750165,1.6115035954862833,1.8430402216811972,-4.752362294743459,-3.009462663282951,-2.7271044198423624,-4.777735465516646,C,D,False,False
