question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Magnesium has an atomic radius of 160 pm and a first ionization energy of 737 kJ. Based on periodic trends and the data given above, what are the most probable values for the ionization energy and atomic radius of sodium?","(A) 186 pm, 496 kJ/mol","(B) 186 pm, 898 kJ/mol","(C) 135 pm, 523 kJ/mol","(D) 147 pm, 523 kJ/mol",A,B,False,20.0,0,-4.4684038162231445,-2.702784299850464,-3.4526875019073486,-3.9525632858276367,-0.06910699889773397,1.08445344155743,0.826750111721811,-0.31200589913697474,-4.399296817325411,-3.787237741407894,-4.27943761362916,-3.640557386690662,B,B,False,False
"Consider the Lewis structures for the following molecules: CO2, CO32-, NO2-, and NO3-. Which molecule would have the shortest bonds?",(A) CO2,(B) CO32-,(C) NO2-,(D) NO3-,A,D,False,20.0,0,-5.499796390533447,-3.2341177463531494,-3.2339510917663574,-2.2341177463531494,-1.1004995732080367,0.5531199950547445,1.0454865218628022,1.4064396403375126,-4.399296817325411,-3.787237741407894,-4.27943761362916,-3.640557386690662,D,D,False,False
What is the molar mass of a monoprotic weak acid that requires 26.3 mL of 0.122 M KOH to neutralize 0.682 gram of the acid?,(A) 212 g mol-1,(B) 4.70 g mol-1,(C) 147 g mol-1,(D) 682 g mol-1,A,B,False,20.0,0,-4.3434247970581055,-3.843061923980713,-4.84286642074585,-5.59286642074585,0.05587202026730509,-0.05582418257281896,-0.56342880711669,-1.9523090340551876,-4.399296817325411,-3.787237741407894,-4.27943761362916,-3.640557386690662,B,A,False,True
The Pauli exclusion principle states that,(A) no two electrons can have the same four quantum numbers,(B) no two electrons with the same spin can occupy an orbital,(C) no two electrons can occupy separate orbitals,(D) no two electrons can pair up if there is an empty orbital available,A,B,False,20.0,0,-5.687164783477783,-1.9291387796401978,-5.937069416046143,-5.436946868896484,-1.2878679661523726,1.8580989617676962,-1.657631802416983,-1.7963894822058224,-4.399296817325411,-3.787237741407894,-4.27943761362916,-3.640557386690662,B,B,False,False
Radon is a health hazard because,(A) it is a gas that can be inhaled and then it may decay to a solid that resides in the lungs,"(B) it is a gas that is extremely soluble in the bloodstream, and it decays in vital organs",(C) it is a gas that enters the body easily and targets the thyroid because it is chemically similar to iodine,(D) it is a gas that enters the body easily and targets bones because it is chemically similar to calcium,A,A,True,20.0,0,-1.304485559463501,-4.311946868896484,-4.0617899894714355,-2.2961761951446533,3.0948112578619096,-0.5247091274885904,0.2176476241577241,1.3443811915460087,-4.399296817325411,-3.787237741407894,-4.27943761362916,-3.640557386690662,A,A,True,True
"A certain radioactive material has a half-life of 36 minutes. Starting with 10.00 grams of this material, how many grams will be left after 2 hours?",(A) 1.00 grams,(B) 1.5 × 10^-4 grams,(C) 3.33 grams,(D) 0.25 gram,A,C,False,20.0,0,-4.405561923980713,-3.655115842819214,-2.4047937393188477,-3.1547937393188477,-0.006265106655302333,0.13212189858868006,1.874643874310312,0.4857636473718143,-4.399296817325411,-3.787237741407894,-4.27943761362916,-3.640557386690662,C,C,False,False
A first-order reaction has a half-life of 34 minutes. What is the rate constant for this reaction?,(A) 3.4 × 10^-4 s-1,(B) 2.04 × 10^-2 s-1,(C) 2.9 × 10^-1 min-1,(D) 34 min,A,A,True,20.0,0,-3.030996799468994,-4.0307769775390625,-5.030561923980713,-3.2807140350341797,1.3683000178564164,-0.24353923613116857,-0.7511243103515532,0.3598433516564823,-4.399296817325411,-3.787237741407894,-4.27943761362916,-3.640557386690662,A,A,True,True
Less than 1/1000 of the mass of any atom is contributed by,(A) the electrons,(B) the electrons and neutrons,(C) the electrons and protons,(D) the protons and neutrons,A,D,False,20.0,1,-2.5309250354766846,-5.030561923980713,-4.28071403503418,-2.280561923980713,1.9848622253962924,-1.2492938417763937,-0.01603256236939199,1.1124254601697126,-4.515787260872977,-3.781268082204319,-4.264681472664788,-3.3929873841504254,D,A,False,True
"Potassium-40 is a minor isotope found in naturally occurring potassium. It is radioactive and can be detected on simple radiation counters. How many protons, neutrons, and electrons does potassium-40 have when it is part of K2SO4?","(A) 21 neutrons, 19 protons, 18 electrons","(B) 20 neutrons, 19 protons, 19 electrons","(C) 21 neutrons, 19 protons, 19 electrons","(D) 19 neutrons, 19 protons, 19 electrons",A,B,False,20.0,1,-3.1553666591644287,-2.4047937393188477,-2.6538503170013428,-3.1547937393188477,1.3604206017085483,1.3764743428854715,1.610831155663445,0.2381936448315778,-4.515787260872977,-3.781268082204319,-4.264681472664788,-3.3929873841504254,B,C,False,False
London dispersion forces are caused by,(A) temporary dipoles created by the position of electrons around the nuclei in a molecule,(B) the three-dimensional intermolecular bonding present in all covalent substances,(C) the uneven electron-to-proton ratio found on individual atoms of a molecule,(D) the electronegativity differences between the different atoms in a molecule,A,A,True,20.0,1,-0.5034739971160889,-4.9992899894714355,-5.999088764190674,-4.999088764190674,4.012313263756888,-1.2180219072671163,-1.7344072915258861,-1.6061013800402484,-4.515787260872977,-3.781268082204319,-4.264681472664788,-3.3929873841504254,A,A,True,True
