question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following trisomy karyotypes has the mildest effect on human development?,"(A) 47,XXX","(B) 47,XXY","(C) 47,XX,+13","(D) 47,XY,+21",A,D,False,20.0,0,-7.428332328796387,-5.937376499176025,-3.812478542327881,-0.43749916553497314,-1.4792042116324104,-0.37444671780491845,3.398775549729665,5.625450382630031,-5.949128117163976,-5.562929781371107,-7.211254092057546,-6.062949548165004,D,D,False,False
Severe anaemia at birth is a feature of what?,(A) Alpha-thalassaemia,(B) Beta-thalassaemia,(C) Hereditary persistence of fetal haemoglobin,(D) Sickle cell disease,A,A,True,20.0,0,-0.4003711938858032,-4.4687395095825195,-9.124290466308594,-7.999195575714111,5.548756923278173,1.0941902717885874,-1.9130363742510479,-1.9362460275491076,-5.949128117163976,-5.562929781371107,-7.211254092057546,-6.062949548165004,A,A,True,True
The most common cystic fibrosis mutation consists of:,(A) a deletion.,(B) a duplication.,(C) a substitution.,(D) an insertion.,A,A,True,20.0,0,-0.07467913627624512,-7.937184810638428,-5.062425136566162,-7.686467170715332,5.874448980887731,-2.374255029267321,2.1488289554913838,-1.6235176225503283,-5.949128117163976,-5.562929781371107,-7.211254092057546,-6.062949548165004,A,A,True,True
Transcriptional activator proteins,(A) bind regions near a eukaryotic gene and allow an RNA polymerase to transcribe a gene,(B) bind to ribosomes to activate the production of specific proteins,(C) are produced during an infection of bacteria by a phage,(D) are essential to function of transfer RNAs during translation,A,A,True,20.0,0,-0.14917781949043274,-12.244071006774902,-11.806929588317871,-12.48895263671875,5.7999502976735435,-6.681141225403795,-4.595675496260325,-6.426003088553746,-5.949128117163976,-5.562929781371107,-7.211254092057546,-6.062949548165004,A,A,True,True
X-chromosome inactivation,(A) results in genetically turning off one of the two X chromosomes in female mammals,(B) takes place in humans so that the same X chromosome is inactive in all of the cells of a female,(C) is the cause of the Y chromosome being genetically inactive,(D) occurs in fruit flies but not in mammals,A,A,True,20.0,0,-0.24116301536560059,-9.247946739196777,-9.124290466308594,-10.624088287353516,5.707965101798376,-3.6850169578256704,-1.9130363742510479,-4.561138739188512,-5.949128117163976,-5.562929781371107,-7.211254092057546,-6.062949548165004,A,A,True,True
Homeobox sequences,(A) are present in the genome of many animal species,(B) are found in prokaryotes but not in eukaryotes,(C) were identified as the integration sites for bacterial viruses,(D) represent integration sites for transposable elements,A,A,True,20.0,1,-0.2635681629180908,-11.24592113494873,-9.810900688171387,-9.871822357177734,5.932861098150412,-5.75451863805453,-3.2253763616085056,-3.870474255084991,-6.196429261068503,-5.4914024968942,-6.585524326562881,-6.001348102092743,A,A,True,True
Twin studies in humans are useful because,(A) they allow genetic as opposed to environmental influences on variation in a trait to be estimated,(B) cloning of genes is facilitated by the presence of extra copies,(C) they allow improved expression of genes,(D) twins have a greater likelihood of being heterozygous,A,A,True,20.0,1,-0.11125433444976807,-11.994766235351562,-11.433158874511719,-12.553332328796387,6.085174926618735,-6.503363738457362,-4.847634547948838,-6.551984226703643,-6.196429261068503,-5.4914024968942,-6.585524326562881,-6.001348102092743,A,A,True,True
Which component of transcribed RNA in eukaryotes is present in the initial transcript but is removed before translation occurs?,(A) Intron,(B) 3’ Poly A tail,(C) Ribosome binding site,(D) 5’ cap,A,A,True,20.0,1,-0.22166013717651367,-9.995379447937012,-10.43486499786377,-8.622946739196777,5.974769123891989,-4.503976951042811,-3.8493406713008884,-2.621598637104034,-6.196429261068503,-5.4914024968942,-6.585524326562881,-6.001348102092743,A,A,True,True
The mutational mechanism in δβ-thalassaemia consists of:,(A) a deletion.,(B) a duplication.,(C) an insertion.,(D) a point mutation.,A,D,False,20.0,1,-7.428885459899902,-7.874769687652588,-8.624030113220215,-0.11327123641967773,-1.2324561988313993,-2.3833671907583875,-2.0385057866573337,5.8880768656730655,-6.196429261068503,-5.4914024968942,-6.585524326562881,-6.001348102092743,D,D,False,False
Zinc finger proteins and helix-turn-helix proteins are,(A) types of DNA-binding proteins,(B) involved in the control of translation,(C) components of ribosomes,(D) part of the hemoglobin in blood cells,A,A,True,20.0,1,-0.7654738426208496,-10.186254501342773,-12.179405212402344,-12.366385459899902,5.430955418447653,-4.694852004448573,-5.593880885839463,-6.365037357807159,-6.196429261068503,-5.4914024968942,-6.585524326562881,-6.001348102092743,A,A,True,True
