question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",(A) 10%,(B) 20%,(C) 40%,(D) 80%,C,-6.2359185218811035,-7.164285182952881,-6.7588324546813965,-6.765744209289551,A,False
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,(A) About $300,(B) About $3k,(C) About $8k,(D) About $15k,B,-7.6409502029418945,-8.663215637207031,-7.441146373748779,-6.924615383148193,D,False
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",(A) 52%,(B) 62%,(C) 72%,(D) 82%,C,-7.220229625701904,-8.042433738708496,-7.455265998840332,-7.824790954589844,A,False
Which of the following countries generated the most total energy from solar sources in 2019?,(A) China,(B) United States,(C) Germany,(D) Japan,A,-6.769602298736572,-5.881097793579102,-9.220195770263672,-9.116427421569824,B,False
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",(A) by 5 fold,(B) by 10 fold,(C) by 15 fold,(D) by 20 fold,C,-6.255234718322754,-5.391911029815674,-4.825199604034424,-4.674587726593018,D,False
What is the biggest cause of death in children under five years old (as of 2017)?,(A) Lower respiratory infections,(B) Preterm birth complications,(C) Diarrheal diseases,(D) Malaria,A,-5.932144641876221,-8.408211708068848,-4.093573570251465,-4.9060235023498535,C,False
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",(A) 10%,(B) 20%,(C) 30%,(D) 40%,C,-6.741421699523926,-5.89285135269165,-7.406966686248779,-4.943368434906006,D,False
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,(A) 29%,(B) 49%,(C) 69%,(D) 89%,C,-6.780882358551025,-6.5733466148376465,-8.244851112365723,-7.519626140594482,B,False
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",(A) 18%,(B) 38%,(C) 58%,(D) 78%,C,-6.103747844696045,-4.560889720916748,-4.393697261810303,-6.09134578704834,C,True
"As of 2017, what fraction of the population in India used the internet in the past three months?",(A) 11%,(B) 26%,(C) 41%,(D) 56%,B,-7.6204681396484375,-5.505440711975098,-6.589025020599365,-4.096845626831055,D,False
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",(A) 23%,(B) 38%,(C) 53%,(D) 68%,D,-7.660331726074219,-5.903000831604004,-6.189432621002197,-5.798064708709717,D,True
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",(A) 5%,(B) 10%,(C) 15%,(D) 25%,B,-5.748335838317871,-8.164115905761719,-7.743618488311768,-7.8741044998168945,A,False
"As of 2020, about what percentage of the world population practices open defecation?",(A) 2%,(B) 4%,(C) 9%,(D) 18%,C,-7.968900203704834,-6.526429176330566,-5.960114002227783,-3.747704267501831,D,False
Which of the following is not an element of the redistribution-with-growth policy approach?,(A) minimum wage legislation,(B) land reform,(C) progressive taxation,(D) increased access to education,A,-7.165931224822998,-8.098259925842285,-6.174633026123047,-0.8447774648666382,D,False
About what percentage of the global population was literate in 1950?,(A) 36%,(B) 56%,(C) 76%,(D) 96%,B,-11.02042293548584,-11.262940406799316,-10.88174057006836,-9.954750061035156,D,False
