question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",(A) 0,(B) 4,(C) 2,(D) 6,B,-9.435797691345215,-7.47202730178833,-7.243690013885498,-8.37219524383545,C,False
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",(A) 8,(B) 2,(C) 24,(D) 120,C,-8.121822357177734,-6.880748748779297,-6.771185874938965,-8.358965873718262,C,True
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,(A) 0,(B) 1,"(C) 0,1","(D) 0,4",D,-6.118690013885498,-5.507617950439453,-4.1693501472473145,-5.975273609161377,C,False
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-5.998900890350342,-7.6693501472473145,-6.497815132141113,-8.183158874511719,A,False
"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",(A) 2x^2 + 5,(B) 6x^2 + 4x + 6,(C) 0,(D) x^2 + 1,B,-6.998673915863037,-6.422430038452148,-5.30787992477417,-7.245082378387451,C,False
"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-6.435315132141113,-7.970249652862549,-7.24537992477417,-9.679893493652344,A,True
Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-5.99701452255249,-7.584554195404053,-7.1815714836120605,-8.86324405670166,A,True
Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",D,-5.339271545410156,-7.96229362487793,-7.084292888641357,-7.142519474029541,A,False
Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.,(A) 0,(B) 4,(C) 2,(D) 6,B,-9.185900688171387,-7.22202730178833,-6.931929588317871,-8.43469524383545,C,False
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7,(A) 1,(B) 2,"(C) 2,3",(D) 6,C,-6.898877143859863,-5.8530120849609375,-3.3232080936431885,-6.889710903167725,C,True
"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",C,-6.090669631958008,-7.646671772003174,-6.338003158569336,-8.42574405670166,A,False
"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is",(A) symmetric only,(B) anti-symmetric only,(C) both symmetric and anti-symmetric,(D) an equivalence relation,C,-8.061695098876953,-8.8624906539917,-4.435024261474609,-7.05951452255249,C,True
"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",(A) 1,(B) 2,(C) 5,(D) 11,A,-7.030115604400635,-5.152535915374756,-5.528531551361084,-7.7152605056762695,B,False
The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,(A) (x − 2)(x + 2)(x − 1),(B) (x + 1)(x + 4)(x − 2),(C) (x + 1)(x − 4)(x − 2),(D) (x - 1)(x − 4)(x − 2),C,-5.997195243835449,-5.4181904792785645,-4.493284702301025,-6.743284702301025,C,True
Find the maximum possible order for an element of S_n for n = 10.,(A) 6,(B) 12,(C) 30,(D) 105,C,-8.373071670532227,-6.644853591918945,-5.464796543121338,-7.716631889343262,C,True
Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-5.93287992477417,-7.492563724517822,-6.178885459899902,-7.36168909072876,A,False
"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",(A) 1,(B) -1,(C) i,(D) -i,C,-6.681929588317871,-4.848699569702148,-4.364618301391602,-5.735836505889893,C,True
"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9","(A) (1,1)","(B) (3,1)","(C) (1,6)","(D) (3,6)",C,-7.998071193695068,-4.916958332061768,-6.741905212402344,-9.055784225463867,B,False
The set of all real numbers under the usual multiplication operation is not a group since,(A) multiplication is not a binary operation,(B) multiplication is not associative,(C) identity element does not exist,(D) zero has no inverse,D,-5.404131889343262,-2.6514835357666016,-1.2771716117858887,-4.028696060180664,C,False
Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-6.116385459899902,-7.848785877227783,-7.295440196990967,-8.274458885192871,A,True
"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-5.933159351348877,-7.546110153198242,-6.929405212402344,-8.86324405670166,A,True
"Find the sum of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",(A) 2x^2 + 5,(B) 6x^2 + 4x + 6,(C) 0,(D) x^2 + 1,A,-7.029964923858643,-6.205845832824707,-5.214796543121338,-7.213983535766602,C,False
"Statement 1 | Any set of two vectors in R^2 is linearly independent. Statement 2 | If V = span(v1, ... , vk) and {v1, ... , vk} are linearly independent, then dim(V) = k.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",D,-5.247195243835449,-7.0892229080200195,-7.181929588317871,-8.678332328796387,A,False
The set of all nth roots of unity under multiplication of complex numbers form a/an,(A) semi group with identity,(B) commutative semigroups with identity,(C) group,(D) abelian group,D,-5.310997486114502,-3.41438627243042,-3.6648385524749756,-6.805353164672852,B,False
"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-6.4947662353515625,-7.988216876983643,-7.364618301391602,-8.171465873718262,A,False
Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,(A) subgroup,(B) finite abelian group,"(C) infinite, non abelian group","(D) ininite, abelian",C,-4.963003158569336,-2.6248373985290527,-2.7488276958465576,-6.327210903167725,B,False
Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",C,-5.966760158538818,-7.505748748779297,-6.152535915374756,-7.713350296020508,A,False
Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. 8x^3 + 6x^2 - 9x + 24,"(A) Yes, with p=2.","(B) Yes, with p=3.","(C) Yes, with p=5.",(D) No.,B,-5.374088764190674,-5.548336505889893,-6.620921611785889,-6.49616813659668,A,False
Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",D,-6.403850555419922,-7.566626071929932,-6.463003158569336,-8.80145263671875,A,False
Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-6.309695243835449,-7.405860900878906,-7.3697662353515625,-8.741385459899902,A,True
"Statement 1 | If H is a subgroup of a group G and a belongs to G, then aH = Ha. Statement 2 | If H is normal of G and a belongs to G, then ah = ha for all h in H.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-5.7779717445373535,-7.521671772003174,-6.2126336097717285,-8.55074405670166,A,False
"If (G, .) is a group such that (ab)^-1 = a^-1b^-1, for all a, b in G, then G is a/an",(A) commutative semi group,(B) abelian group,(C) non-abelian group,(D) None of these,B,-8.061174392700195,-4.578205108642578,-3.2142715454101562,-7.340669631958008,C,False
"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-6.12116813659668,-6.957000732421875,-6.554893970489502,-7.67574405670166,A,True
"Some group (G, 0) is known to be abelian. Then which one of the following is TRUE for G?",(A) g = g^-1 for every g in G,(B) g = g^2 for every g in G,"(C) (g o h)^2 = g^2 o h^2 for every g,h in G",(D) G is of finite order,C,-7.648403167724609,-7.3921966552734375,-5.388653755187988,-7.7600626945495605,C,True
"Statement 1 | If T: V -> W is a linear transformation and dim(V ) < dim(W) < 1, then T must be injective. Statement 2 | Let dim(V) = n and suppose that T: V -> V is linear. If T is injective, then it is a bijection.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-5.5904717445373535,-8.059165000915527,-7.087240695953369,-8.7999906539917,A,True
"Find the degree for the given field extension Q(sqrt(2), sqrt(3)) over Q.",(A) 0,(B) 4,(C) 2,(D) 6,B,-9.560688018798828,-7.470249652862549,-7.117853164672852,-8.871822357177734,C,False
Compute the product in the given ring. (20)(-8) in Z_26,(A) 0,(B) 1,(C) 11,(D) 22,D,-10.434514999389648,-7.441626071929932,-9.48824405670166,-11.92574405670166,B,False
Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. x^2 - 12,"(A) Yes, with p=2.","(B) Yes, with p=3.","(C) Yes, with p=5.",(D) No.,B,-4.999088764190674,-5.23668909072876,-6.245921611785889,-6.99616813659668,A,False
Find the generator for the finite field Z_7.,(A) 1,(B) 2,(C) 3,(D) 4,C,-8.060315132141113,-7.47202730178833,-7.867393970489502,-7.991905212402344,B,False
