Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,physical-interactions,,variable_swap,1,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel heating the nail?,Yes,20.0,0,-0.10020323097705841,-2.4682466983795166,0.6663061764039513,-1.4527393450650077,-0.7665094073810097,-1.015507353314509,Yes,True,True,True
2,1,physical-interactions,,variable_swap,1,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel cooling the nail?,No,20.0,0,-0.3354966342449188,-1.3353713750839233,0.4310127731360909,-0.3198640217694144,-0.7665094073810097,-1.015507353314509,Yes,False,True,False
3,1,physical-interactions,,variable_swap,2,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel heating the nail?,No,20.0,0,-0.45650163292884827,-1.0774039030075073,0.31000777445216143,-0.061896549692998404,-0.7665094073810097,-1.015507353314509,Yes,False,True,False
4,1,physical-interactions,,variable_swap,2,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel cooling the nail?,Yes,20.0,0,-0.49954164028167725,-0.9994470477104187,0.26696776709933245,0.01606030560409022,-0.7665094073810097,-1.015507353314509,Yes,True,True,True
6,1,physical-interactions,,variable_swap,1,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail heating the wheel?,No,20.0,0,-1.007288932800293,-0.5071809887886047,-0.24077952541928327,0.5083263645259042,-0.7665094073810097,-1.015507353314509,No,True,False,True
8,1,physical-interactions,,variable_swap,2,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail heating the wheel?,Yes,20.0,0,-0.19585463404655457,-1.81975519657135,0.5706547733344551,-0.8042478432568412,-0.7665094073810097,-1.015507353314509,Yes,True,True,True
9,1,physical-interactions,,variable_swap,1,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail cooling the wheel?,Yes,20.0,0,-0.5503281354904175,-0.9252678155899048,0.21618127189059222,0.09023953772460414,-0.7665094073810097,-1.015507353314509,Yes,True,True,True
11,1,physical-interactions,,variable_swap,2,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail cooling the wheel?,No,20.0,0,-0.3706648051738739,-1.2495120763778687,0.3958446022071358,-0.23400472306335973,-0.7665094073810097,-1.015507353314509,Yes,False,True,False
13,2,physical-interactions,,antonym,1,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel heating the nail?,Yes,20.0,0,-0.19989554584026337,-1.8277390003204346,0.5666138615407463,-0.8122316470059256,-0.7665094073810097,-1.015507353314509,Yes,True,True,True
14,2,physical-interactions,,antonym,1,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel cooling the nail?,No,20.0,0,-0.4215448498725891,-1.1715009212493896,0.3449645575084206,-0.15599356793488073,-0.7665094073810097,-1.015507353314509,Yes,False,True,False
15,2,physical-interactions,,antonym,2,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the wheel heating the nail?,No,20.0,0,-1.0230940580368042,-0.5190920829772949,-0.2565846506557945,0.496415270337214,-0.7665094073810097,-1.015507353314509,No,True,False,True
16,2,physical-interactions,,antonym,2,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the wheel cooling the nail?,Yes,20.0,0,-0.3766170144081116,-1.2495955228805542,0.3898923929728981,-0.23408816956604528,-0.7665094073810097,-1.015507353314509,Yes,True,True,True
19,2,physical-interactions,,variable swap,2,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the wheel heating the nail?,No,20.0,0,-1.5542861223220825,-0.30225110054016113,-0.7877767149410728,0.7132562527743478,-0.7665094073810097,-1.015507353314509,No,True,False,True
20,2,physical-interactions,,variable swap,2,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the wheel cooling the nail?,Yes,20.0,0,-0.612949788570404,-0.8628556728363037,0.15355961881060565,0.1526516804782052,-0.7665094073810097,-1.015507353314509,Yes,True,True,True
21,2,physical-interactions,,variable swap,1,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the wheel heating the nail?,Yes,20.0,0,-0.8629283308982849,-0.6128556728363037,-0.09641892351727521,0.4026516804782052,-0.7665094073810097,-1.015507353314509,No,False,False,False
22,2,physical-interactions,,variable swap,1,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the wheel cooling the nail?,No,20.0,0,-0.4137348532676697,-1.1636147499084473,0.35277455411334,-0.14810739659393835,-0.7665094073810097,-1.015507353314509,Yes,False,True,False
26,2,physical-interactions,,antonym,1,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the nail heating the wheel?,No,20.0,0,-2.2964510917663574,-0.16942715644836426,-1.5299416843853477,0.8460801968661447,-0.7665094073810097,-1.015507353314509,No,True,False,True
28,2,physical-interactions,,antonym,2,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the nail heating the wheel?,Yes,20.0,0,-1.4605485200881958,-0.33744892477989197,-0.6940391127071861,0.678058428534617,-0.7665094073810097,-1.015507353314509,No,False,False,False
