Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,agent-properties,1.0,negation,1.0,Chao is looking at the wheel.,Does Chao see the wheel?,Yes,0,-0.0006946325302124023,-7.718748569488525,-0.01647617865127371,-7.702967023367464,0.015781546121061307,Yes,True
2.0,1.0,agent-properties,1.0,negation,2.0,Chao is not looking at the wheel.,Does Chao see the wheel?,No,0,-10.687466621398926,-5.042553675593808e-05,-10.703248167519988,0.01573112058430537,0.015781546121061307,No,True
3.0,1.0,agent-properties,1.0,negation,1.0,Chao is looking at the wheel.,Does Chao not see the wheel?,No,0,-5.624964714050293,-0.0038248300552368164,-5.640746260171355,0.011956716065824491,0.015781546121061307,No,True
4.0,1.0,agent-properties,1.0,negation,2.0,Chao is not looking at the wheel.,Does Chao not see the wheel?,Yes,0,-0.0034514665603637695,-5.749993801116943,-0.019233012681425077,-5.734212254995882,0.015781546121061307,Yes,True
5.0,2.0,agent-properties,2.0,antonym,1.0,The wheel is in front of Chao. Chao is awake.,Does Chao see the wheel?,Yes,0,-0.0025576353073120117,-6.062497615814209,-0.01833918142837332,-6.046716069693147,0.015781546121061307,Yes,True
6.0,2.0,agent-properties,2.0,antonym,2.0,The wheel is in front of Chao. Chao is asleep.,Does Chao see the wheel?,No,0,-12.562474250793457,-2.825260344252456e-05,-12.578255796914519,0.015753293517618783,0.015781546121061307,No,True
7.0,2.0,agent-properties,2.0,antonym,1.0,The wheel is in front of Chao. Chao is awake.,Does Chao not see the wheel?,No,0,-0.28317463397979736,-1.4062373638153076,-0.29895618010085867,-1.3904558176942463,0.015781546121061307,Yes,False
8.0,2.0,agent-properties,2.0,antonym,2.0,The wheel is in front of Chao. Chao is asleep.,Does Chao not see the wheel?,Yes,0,-0.00877225399017334,-5.031242847442627,-0.024553800111234647,-5.015461301321565,0.015781546121061307,Yes,True
9.0,3.0,agent-properties,3.0,antonym,1.0,The wheel is in front of Chao. Chao's eyes are open.,Does Chao see the wheel?,Yes,0,-0.002190709114074707,-6.343747138977051,-0.017972255235136014,-6.327965592855989,0.015781546121061307,Yes,True
10.0,3.0,agent-properties,3.0,antonym,2.0,The wheel is in front of Chao. Chao's eyes are closed.,Does Chao see the wheel?,No,0,-12.062474250793457,-2.121925717801787e-05,-12.078255796914519,0.01576032686388329,0.015781546121061307,No,True
11.0,3.0,agent-properties,3.0,antonym,1.0,The wheel is in front of Chao. Chao's eyes are open.,Does Chao not see the wheel?,No,0,-1.054654598236084,-0.4296760559082031,-1.0704361443571453,-0.4138945097871418,0.015781546121061307,No,True
12.0,3.0,agent-properties,3.0,antonym,2.0,The wheel is in front of Chao. Chao's eyes are closed.,Does Chao not see the wheel?,Yes,0,-0.23923909664154053,-1.5546801090240479,-0.25502064276260183,-1.5388985629029865,0.015781546121061307,Yes,True
13.0,4.0,agent-properties,4.0,antonym,1.0,The wheel is in front of Chao.,Does Chao see the wheel?,Yes,0,-0.006494402885437012,-5.062497615814209,-0.02227594900649832,-5.046716069693147,0.015781546121061307,Yes,True
14.0,4.0,agent-properties,4.0,antonym,2.0,The wheel is behind Chao.,Does Chao see the wheel?,No,0,-1.6015552282333374,-0.22558414936065674,-1.6173367743543987,-0.20980260323959543,0.015781546121061307,No,True
15.0,4.0,agent-properties,4.0,antonym,1.0,The wheel is in front of Chao.,Does Chao not see the wheel?,No,0,-0.7265440225601196,-0.6640565395355225,-0.7423255686811809,-0.6482749934144612,0.015781546121061307,No,True
16.0,4.0,agent-properties,4.0,antonym,2.0,The wheel is behind Chao.,Does Chao not see the wheel?,Yes,0,-0.05907130241394043,-2.874994993209839,-0.07485284853500174,-2.8592134470887776,0.015781546121061307,Yes,True
