question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,(A) 7 N,(B) 5 N,(C) 10 N,(D) 12 N,A,-3.4218099117279053,-4.687404155731201,-1.6715447902679443,-1.9217803478240967,C,False
A completely submerged object always displaces its own,(A) weight of fluid.,(B) volume of fluid.,(C) density of fluid.,(D) All of these.,B,-4.03115701675415,-5.281096458435059,-4.5309247970581055,-0.2869110405445099,D,False
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",(A) totally internally reflects,(B) passes into the air above,(C) is absorbed,(D) None of these,B,-3.8436570167541504,-3.84363055229187,-3.5934250354766846,-0.5936568975448608,D,False
"According to four-dimensional geometry, the angles of a triangle add to 180°",(A) always.,(B) sometimes.,(C) never.,(D) on planet Earth only.,B,-3.078120231628418,-6.0624799728393555,-6.06245756149292,-1.5781058073043823,D,False
A voltage will be induced in a wire loop when the magnetic field within that loop,(A) changes,(B) aligns with the electric field,(C) is at right angles to the electric field,(D) converts to magnetic energy,A,-3.6405892372131348,-4.156189918518066,-4.656086444854736,-0.8944717645645142,D,False
"Among these colors, the one that has the most energy per photon is",(A) red,(B) yellow-green,(C) blue,(D) violet,D,-5.093637466430664,-4.34344482421875,-2.8433055877685547,-1.0857292413711548,D,True
"According to general relativity,",(A) mass distorts spacetime.,(B) gravity affects clocks.,(C) light can’t escape from a black hole.,(D) All of these.,D,-5.531181812286377,-5.781040191650391,-6.780805587768555,-0.5232752561569214,D,True
A step-up transformer in an electric circuit can step up,(A) voltage,(B) energy,(C) Both of these,(D) Neither of these,A,-3.577918291091919,-4.3434038162231445,-1.0775632858276367,-1.07785964012146,C,False
Spectral lines of the elements are,(A) chaotic,(B) ordered,(C) positioned by amplitude,(D) in phase,B,-3.6873767375946045,-3.4373767375946045,-2.1870694160461426,-1.1950491666793823,D,False
A wave transfers,(A) amplitude,(B) wavelength,(C) frequency,(D) energy,D,-2.1404640674591064,-3.890284299850464,-2.389904022216797,-0.894189178943634,D,True
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",(A) the same,(B) opposite,(C) Either of these,(D) Need more information,B,-4.968703269958496,-4.718689918518066,-3.2029995918273926,-0.4550318717956543,D,False
The surface of planet Earth loses energy to outer space due mostly to,(A) conduction,(B) convection,(C) radiation,(D) radioactivity,C,-4.499904155731201,-4.499841690063477,-2.2497386932373047,-2.4998416900634766,C,True
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","(A) half, 1 A",(B) 2 A,(C) Depends on which lamp is closer to the battery,(D) Not enough information to say,B,-3.2030274868011475,-1.9607752561569214,-2.9526875019073486,-0.9607292413711548,D,False
