question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
The Barkhausen criterion for an oscillator,(A) Loop gain should be unity,(B) Loop gain should be less than unity,(C) The phase of a feedback signal with respect to input should be 0° or 360°,(D) Both A and C,D,-8.56002426147461,-7.028850555419922,-8.05842113494873,-6.03036642074585,D,True
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,(A) It loads the circuit moderately.,(B) It loads the circuit to maximum extent.,(C) It uses centre zero galvanometer instead of voltmeter.,(D) It does not load the circuit at all.,D,-5.994357585906982,-5.4841227531433105,-5.494357585906982,-4.008004665374756,D,True
Which of these sets of logic gates are designated as universal gates?,"(A) NOR, NAND.","(B) XOR, NOR, NAND.","(C) OR, NOT, AND.","(D) NOR, NAND, XNOR.",A,-6.183421611785889,-5.680784702301025,-8.680784225463867,-6.185024261474609,B,False
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",(A) 30° to 150°.,(B) 30° to 180°.,(C) 60° to 120°.,(D) 60° to 180°.,A,-4.551452159881592,-6.298336505889893,-7.548336505889893,-4.553885459899902,A,True
A box which tells the effect of inputs on control sub system is known as,(A) Data Box.,(B) Logical box.,(C) Decision box.,(D) State box.,C,-5.652296543121338,-5.149740695953369,-2.652296781539917,-3.1538503170013428,C,True
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,(A) same as that produced by one plate.,(B) double the field produced by one plate.,(C) dependent on coordinates of field points.,(D) zero.,D,-6.539254665374756,-6.0443501472473145,-8.03274917602539,-4.798336505889893,D,True
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,(A) Low.,(B) Very low.,(C) High.,(D) Almost zero.,C,-5.053885459899902,-5.801452159881592,-8.29833698272705,-6.051452159881592,A,False
The following are the necessary requirements of an oscillator,(A) Amplitude stability,(B) Frequency stability,(C) Power stability,(D) Both A and B,D,-6.558421611785889,-6.559322357177734,-7.8072662353515625,-4.058421611785889,D,True
The normal voltage used in directional heating is,(A) 1.5 KV.,(B) 15 KV.,(C) 33 KV.,(D) 66 KV.,A,-6.649322032928467,-3.649322271347046,-5.649322032928467,-5.152042388916016,B,False
LC oscillators are used for produce a waveform with frequency ranging from,(A) 1MHz to 500 MHz,(B) 100 KHz to 500 MHz,(C) 1 KHz to 1 MHz,(D) 1MHz to 100 GHz,A,-6.488952159881592,-6.988952159881592,-9.481849670410156,-6.993284702301025,A,True
A working diode must have,(A) High resistance when forward or reverse biased,"(B) Low resistance when forward biased, while high resistance when reverse bias","(C) High resistance when forward biased, while low resistance when reverse bias",(D) Low resistance when forward or reverse biased,B,-5.8072662353515625,-4.5572662353515625,-6.055784702301025,-5.8072662353515625,B,True
What is the name of the fluorescent material that gives red colour fluorescence?,(A) Zinc silicate.,(B) Calcium silicate.,(C) Zinc sulphide.,(D) Magnesium silicate.,D,-6.741385459899902,-6.235836505889893,-4.988952159881592,-4.741385459899902,D,True
How many bits are required to store one BCD digit ?,(A) 1,(B) 2,(C) 3,(D) 4,D,-5.124088764190674,-3.6084775924682617,-3.607896089553833,-3.607896089553833,C,False
Commutator in DC generator is used for,(A) collecting of current,(B) reduce losses,(C) increase efficiency,(D) convert AC armature current in to DC,D,-5.555784702301025,-5.513912677764893,-6.5443501472473145,-5.551452159881592,B,False
1 F is theoretically equal to,(A) 1 ohm of resistance,(B) ratio of 1 V to 1 C,(C) ratio of 1 C to 1 V,(D) none of these,C,-5.591350555419922,-5.589796543121338,-5.089796543121338,-6.091350555419922,C,True
How many entries will be in the truth table of a 3 input NAND gate ?,(A) 3,(B) 6,(C) 8,(D) 9,C,-6.834863185882568,-6.334863185882568,-5.582353591918945,-2.8141796588897705,D,False
In decimal number system what is MSD,(A) First digit from left to right,(B) First digit from right to left,(C) Middle digit,(D) Mean of all digits,A,-8.059322357177734,-8.30145263671875,-5.022899627685547,-5.526176929473877,C,False
"In Digital Logic Designs, GAL is abbreviated as",(A) General Advance Logic,(B) General Array Logic,(C) Generic Advance Logic,(D) Generic Array Logic,D,-8.06099796295166,-3.0600242614746094,-10.05842113494873,-9.561088562011719,B,False
Inintel 8085A microprocessor ALE signal is made high to,(A) Enable the data bus to be used as low order address bus,(B) To latch data D0-D7 from data bus,(C) To disable data bus,(D) To achieve all the functions listed above,A,-4.118284702301025,-5.613952159881592,-6.113952159881592,-3.1182847023010254,D,False
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,(A) 111.9 ohm,(B) 11.19 ohm,(C) 108 ohm,(D) 115 ohm,A,-4.714542388916016,-3.7145423889160156,-4.714542388916016,-3.7145423889160156,B,False
The concept of V/f control of inverters driving induction motors resuls in,(A) constant torque operation,(B) speed reversal,(C) reduced magnetic loss,(D) hormonic elimination,A,-3.113952159881592,-6.095249652862549,-5.6068501472473145,-6.613952159881592,A,True
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",(A) 0.015 joule.,(B) 0.15 joule.,(C) 0.015 joule.,(D) 1.15 joule.,B,-5.270540237426758,-4.770540237426758,-6.263653755187988,-3.5359976291656494,D,False
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",(A) protect the insulation.,(B) avoid effect of saturation.,(C) improve the capabilities of the inverter.,(D) protect thyristor from dV / dt.,B,-4.513653755187988,-5.002401828765869,-7.502401828765869,-6.508711814880371,A,False
Which of the following windings are necessary in case of all dc machines?,(A) closed winding,(B) lap winding,(C) wave winding,(D) open type winding,A,-4.030561923980713,-6.280115604400635,-8.311588287353516,-5.78036642074585,A,True
Relaxation Voltage controlled oscillators are used to generate,(A) Sinusoidal wave,(B) Triangular wave,(C) Sawtooth wave,(D) Both B and C,D,-7.028696060180664,-7.025850296020508,-8.993284225463867,-5.5279717445373535,D,True
