question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
How can you describe the thinking and outlook of transformational leaders?,(A) Strategic,(B) Operational,(C) Functional,(D) Developmental,A,D,False,20.0,0,-7.031086444854736,-6.966760158538818,-8.06201171875,-3.218061923980713,0.6703611612319946,-1.3182866473992663,-2.572785499195258,3.233111222585042,-7.701447606086731,-5.648473511139552,-5.489226219554742,-6.451173146565755,D,D,False,False
What are the key characteristics of transactional leaders?,"(A) Guiding, mentoring and motivating","(B) Guiding, commanding and motivating","(C) Guiding, demonstrating and motivating","(D) Guiding, mentoring and demonstrating",A,C,False,20.0,0,-5.093596458435059,-4.09286642074585,-3.468332529067993,-4.843142509460449,2.6078511476516724,1.5556070903937025,2.0208936904867487,1.6080306371053057,-7.701447606086731,-5.648473511139552,-5.489226219554742,-6.451173146565755,C,A,False,True
What is the definition of a scenario in scenario planning?,(A) An imagined sequence of future events,(B) An unpredictable event,(C) A planned for event,(D) An unplanned for event,A,A,True,20.0,0,-6.28071403503418,-6.84220027923584,-8.936467170715332,-7.967464923858643,1.4207335710525513,-1.1937267680962877,-3.44724095116059,-1.5162917772928877,-7.701447606086731,-5.648473511139552,-5.489226219554742,-6.451173146565755,A,A,True,True
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,(A) Work specialisation,(B) Work design,(C) Work schedule,(D) Work shift,A,B,False,20.0,0,-7.4682769775390625,-4.53004264831543,-7.593103408813477,-5.40536642074585,0.23317062854766846,1.1184308628241224,-2.1038771892587347,1.0458067258199053,-7.701447606086731,-5.648473511139552,-5.489226219554742,-6.451173146565755,B,B,False,False
Which of these is not part of the recognised challenges for modern managers?,(A) Micro-managing the workforce,(B) Managing communications,(C) Managing change,(D) Managing the learning organisation,A,D,False,20.0,1,-8.062143325805664,-6.09254264831543,-4.3434038162231445,-3.858830690383911,-0.10615055759747793,-0.1261306256055832,0.9241079191366834,2.565924209853013,-7.955992768208186,-5.9664120227098465,-5.267511735359828,-6.424754900236924,D,D,False,False
What is a virtual organisation?,(A) An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,(B) An organisation that uses internet technologies to sell products to customers,(C) An organisation that manages the supply chain using digital technologies,(D) An organisation that coordinates the workforce via video conferencing,A,A,True,20.0,1,-5.280470371246338,-8.371399879455566,-8.311530113220215,-7.966495513916016,2.6755223969618482,-2.40498785674572,-3.044018377860387,-1.5417406136790914,-7.955992768208186,-5.9664120227098465,-5.267511735359828,-6.424754900236924,A,A,True,True
What is not a characteristic of a corporate social responsibility framework?,(A) Retaining the status quo,(B) Understanding society,(C) Harnessing diversity,(D) Building capacity,A,D,False,20.0,1,-6.84344482421875,-4.905115604400635,-4.905832767486572,-3.4057140350341797,1.1125479439894361,1.0612964183092117,0.3616789678732557,3.0190408652027445,-7.955992768208186,-5.9664120227098465,-5.267511735359828,-6.424754900236924,D,D,False,False
To what time-frame do strategic plans relate?,(A) Long-term,(B) Medium-term,(C) Short-term,(D) Unspecified time it takes to achieve an aim,A,C,False,20.0,1,-5.218512058258057,-4.842919826507568,-3.7338945865631104,-5.843061923980713,2.7374807099501295,1.1234921962022781,1.5336171487967176,0.5816929762562113,-7.955992768208186,-5.9664120227098465,-5.267511735359828,-6.424754900236924,C,A,False,True
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,(A) Expectations,(B) Choice opportunities,(C) Problems,(D) Solutions,A,D,False,20.0,2,-8.436873435974121,-6.2473649978637695,-4.499244213104248,-3.9987542629241943,-0.5947880347569781,-0.5650094747543335,0.9750770255923271,1.9599846924344702,-7.842085401217143,-5.682355523109436,-5.474321238696575,-5.9587389553586645,D,D,False,False
What is not an assumption underpinning the rational decision making model?,(A) Incomplete information,(B) An agreed goal,(C) A structured problem,(D) High level of certainty regarding the environment,A,D,False,20.0,2,-5.937164783477783,-4.811400890350342,-5.061911582946777,-4.436832904815674,1.9049206177393598,0.8709546327590942,0.4124096557497978,1.5219060505429907,-7.842085401217143,-5.682355523109436,-5.474321238696575,-5.9587389553586645,D,A,False,True
