Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel heating the nail?,Yes,0,-1.2715238332748413,-2.2334775924682617,-0.6124904006719589,-2.892511025071144,-0.6590334326028824,Yes,True
2.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel cooling the nail?,No,0,-1.5840238332748413,-1.6162830591201782,-0.9249904006719589,-2.2753164917230606,-0.6590334326028824,Yes,False
3.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel heating the nail?,No,0,-2.074233055114746,-1.4122364521026611,-1.4151996225118637,-2.0712698847055435,-0.6590334326028824,Yes,False
4.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel cooling the nail?,Yes,0,-2.1221063137054443,-1.2564761638641357,-1.463072881102562,-1.9155095964670181,-0.6590334326028824,Yes,True
6.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail heating the wheel?,No,0,-2.620379686355591,-1.2871187925338745,-1.9613462537527084,-1.946152225136757,-0.6590334326028824,No,True
8.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail heating the wheel?,Yes,0,-1.489490032196045,-2.0612542629241943,-0.8304565995931625,-2.7202876955270767,-0.6590334326028824,Yes,True
9.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail cooling the wheel?,Yes,0,-2.5904715061187744,-1.1784124374389648,-1.931438073515892,-1.8374458700418472,-0.6590334326028824,No,False
11.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail cooling the wheel?,No,0,-1.9898797273635864,-1.584944248199463,-1.330846294760704,-2.2439776808023453,-0.6590334326028824,Yes,False
13.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel heating the nail?,Yes,0,-2.260472059249878,-1.80215322971344,-1.6014386266469955,-2.4611866623163223,-0.6590334326028824,Yes,True
14.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel cooling the nail?,No,0,-2.8250925540924072,-1.2720801830291748,-2.166059121489525,-1.9311136156320572,-0.6590334326028824,No,True
15.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the wheel heating the nail?,No,0,-2.7154715061187744,-1.2251399755477905,-2.056438073515892,-1.884173408150673,-0.6590334326028824,No,True
16.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the wheel cooling the nail?,Yes,0,-2.5750925540924072,-1.5531967878341675,-1.9160591214895248,-2.21223022043705,-0.6590334326028824,Yes,True
19.0,2.0,physical-interactions,,variable swap,2.0,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the wheel heating the nail?,No,0,-3.0270423889160156,-1.3108501434326172,-2.3680089563131332,-1.9698835760354996,-0.6590334326028824,No,True
20.0,2.0,physical-interactions,,variable swap,2.0,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the wheel cooling the nail?,Yes,0,-2.6527605056762695,-1.6625003814697266,-1.9937270730733871,-2.321533814072609,-0.6590334326028824,Yes,True
21.0,2.0,physical-interactions,,variable swap,1.0,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the wheel heating the nail?,Yes,0,-2.6850242614746094,-2.1553096771240234,-2.025990828871727,-2.814343109726906,-0.6590334326028824,Yes,True
22.0,2.0,physical-interactions,,variable swap,1.0,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the wheel cooling the nail?,No,0,-2.669280767440796,-2.2800426483154297,-2.0102473348379135,-2.939076080918312,-0.6590334326028824,Yes,False
26.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the nail heating the wheel?,No,0,-3.259967088699341,-1.107085108757019,-2.6009336560964584,-1.7661185413599014,-0.6590334326028824,No,True
28.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the nail heating the wheel?,Yes,0,-2.9652605056762695,-1.178287148475647,-2.306227073073387,-1.8373205810785294,-0.6590334326028824,No,False
32.0,2.0,physical-interactions,,variable swap,2.0,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the nail heating the wheel?,Yes,0,-2.417983055114746,-2.3418805599212646,-1.7589496225118637,-3.000913992524147,-0.6590334326028824,Yes,True
34.0,2.0,physical-interactions,,variable swap,1.0,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the nail heating the wheel?,No,0,-3.2007625102996826,-1.9678665399551392,-2.5417290776968002,-2.6268999725580215,-0.6590334326028824,Yes,False
37.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the nail cooling the wheel?,Yes,0,-3.0902605056762695,-1.1547476053237915,-2.431227073073387,-1.813781037926674,-0.6590334326028824,No,False
