question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",(A) 10%,(B) 20%,(C) 40%,(D) 80%,C,-8.435315132141113,-3.5892715454101562,-3.466632127761841,-4.840669631958008,C,True
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,(A) About $300,(B) About $3k,(C) About $8k,(D) About $15k,B,-8.874290466308594,-6.183421611785889,-2.123967170715332,-7.185315132141113,C,False
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",(A) 52%,(B) 62%,(C) 72%,(D) 82%,C,-5.8729472160339355,-3.5428595542907715,-3.419853925704956,-3.293102502822876,D,False
Which of the following countries generated the most total energy from solar sources in 2019?,(A) China,(B) United States,(C) Germany,(D) Japan,A,-8.374244689941406,-5.872195243835449,-9.936400413513184,-9.248071670532227,B,False
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",(A) by 5 fold,(B) by 10 fold,(C) by 15 fold,(D) by 20 fold,C,-5.748400688171387,-5.114618301391602,-2.3886661529541016,-3.132899522781372,C,True
What is the biggest cause of death in children under five years old (as of 2017)?,(A) Lower respiratory infections,(B) Preterm birth complications,(C) Diarrheal diseases,(D) Malaria,A,-6.651483535766602,-9.427743911743164,-9.80074405670166,-11.049188613891602,A,True
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",(A) 10%,(B) 20%,(C) 30%,(D) 40%,C,-8.685688018798828,-5.027296543121338,-4.279881954193115,-4.528850555419922,C,True
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,(A) 29%,(B) 49%,(C) 69%,(D) 89%,C,-8.997673988342285,-4.93366813659668,-3.060797929763794,-5.810024261474609,C,True
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",(A) 18%,(B) 38%,(C) 58%,(D) 78%,C,-8.935446739196777,-5.151176929473877,-4.404600143432617,-5.404131889343262,C,True
"As of 2017, what fraction of the population in India used the internet in the past three months?",(A) 11%,(B) 26%,(C) 41%,(D) 56%,B,-9.05866813659668,-3.8065714836120605,-3.8100242614746094,-5.68451452255249,B,True
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",(A) 23%,(B) 38%,(C) 53%,(D) 68%,D,-7.717684268951416,-5.154380798339844,-2.04591965675354,-5.03004264831543,C,False
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",(A) 5%,(B) 10%,(C) 15%,(D) 25%,B,-7.904881954193115,-5.029260158538818,-4.155419826507568,-4.904260158538818,C,False
"As of 2020, about what percentage of the world population practices open defecation?",(A) 2%,(B) 4%,(C) 9%,(D) 18%,C,-8.55986499786377,-5.0572662353515625,-3.560900926589966,-3.9336681365966797,C,True
Which of the following is not an element of the redistribution-with-growth policy approach?,(A) minimum wage legislation,(B) land reform,(C) progressive taxation,(D) increased access to education,A,-8.74592113494873,-7.703205108642578,-5.775503158569336,-5.647899627685547,D,False
About what percentage of the global population was literate in 1950?,(A) 36%,(B) 56%,(C) 76%,(D) 96%,B,-8.49849796295166,-4.776483535766602,-4.903850555419922,-6.0279717445373535,B,True
"As of 2016, about what percentage of adults aged 18 years or older were obese?",(A) 6%,(B) 13%,(C) 27%,(D) 46%,B,-9.372673988342285,-5.805784702301025,-3.0591177940368652,-6.183159351348877,C,False
