Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,physical-relations,,antonym,1,The truck is in front of the bed.,Is the truck blocking the bed?,Yes,20.0,0,-0.9913893342018127,-0.49371251463890076,0.15129650094442892,-0.05619234922859406,-1.1426858351462417,-0.4375201654103067,No,False,True,True
2,1,physical-relations,,antonym,1,The truck is in front of the bed.,Is the bed blocking the truck?,No,20.0,0,-0.9914377331733704,-0.4917602241039276,0.1512481019728713,-0.05424005869362092,-1.1426858351462417,-0.4375201654103067,No,True,True,False
3,1,physical-relations,,antonym,2,The truck is behind the bed.,Is the truck blocking the bed?,No,20.0,0,-1.0695017576217651,-0.4488094747066498,0.07318407752447653,-0.011289309296343086,-1.1426858351462417,-0.4375201654103067,No,True,True,False
4,1,physical-relations,,antonym,2,The truck is behind the bed.,Is the bed blocking the truck?,Yes,20.0,0,-0.9914377331733704,-0.49178609251976013,0.1512481019728713,-0.05426592710945344,-1.1426858351462417,-0.4375201654103067,No,False,True,True
7,1,physical-relations,,variable swap,2,The bed is in front of the truck.,Is the truck blocking the bed?,No,20.0,0,-1.069449543952942,-0.4468027353286743,0.07323629119329977,-0.009282569918367622,-1.1426858351462417,-0.4375201654103067,No,True,True,False
8,1,physical-relations,,variable swap,2,The bed is in front of the truck.,Is the bed blocking the truck?,Yes,20.0,0,-0.9913893342018127,-0.4917032718658447,0.15129650094442892,-0.05418310645553803,-1.1426858351462417,-0.4375201654103067,No,False,True,True
9,1,physical-relations,,variable swap,1,The bed is behind the truck.,Is the truck blocking the bed?,Yes,20.0,0,-0.9914377331733704,-0.4917326867580414,0.1512481019728713,-0.05421252134773469,-1.1426858351462417,-0.4375201654103067,No,False,True,True
10,1,physical-relations,,variable swap,1,The bed is behind the truck.,Is the bed blocking the truck?,No,20.0,0,-1.1553665399551392,-0.4038533866405487,-0.012680704808897492,0.03366677876975799,-1.1426858351462417,-0.4375201654103067,No,True,False,True
13,2,physical-relations,,variable swap,1,Chao needs to move the truck to reach the bed.,Is the truck blocking the bed?,Yes,20.0,0,-0.913276731967926,-0.5386147499084473,0.22940910317831564,-0.10109458449814057,-1.1426858351462417,-0.4375201654103067,No,False,True,True
14,2,physical-relations,,variable swap,1,Chao needs to move the truck to reach the bed.,Is the bed blocking the truck?,No,20.0,0,-0.913276731967926,-0.5386147499084473,0.22940910317831564,-0.10109458449814057,-1.1426858351462417,-0.4375201654103067,No,True,True,False
15,2,physical-relations,,variable swap,2,Chao needs to move the bed to reach the truck.,Is the truck blocking the bed?,No,20.0,0,-0.9873804450035095,-0.48975110054016113,0.15530539014273215,-0.05223093512985444,-1.1426858351462417,-0.4375201654103067,No,True,True,False
